Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-09-26,3.0,3.0,22.326,DAL,WAS,W 18-16,True,4,4,63,15.75,0,100.0%,15.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,True,18,16
2011.0,2011-10-02,4.0,4.0,22.332,DAL,DET,L 30-34,True,5,3,37,12.33,2,60.0%,7.40,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,False,30,34
2011.0,2011-10-16,5.0,6.0,22.346,DAL,NWE,L 16-20,True,8,4,78,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Dez Bryant,False,16,20
2011.0,2011-10-23,6.0,7.0,22.353,DAL,STL,W 34-7,False,8,5,90,18.00,1,62.5%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,True,34,7
2011.0,2011-10-30,7.0,8.0,22.36,DAL,PHI,L 7-34,True,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Dez Bryant,False,7,34
2011.0,2011-11-06,8.0,9.0,23.002,DAL,SEA,W 23-13,True,9,4,76,19.00,0,44.4%,8.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,Dez Bryant,True,23,13
2011.0,2011-11-13,9.0,10.0,23.009,DAL,BUF,W 44-7,True,6,6,74,12.33,1,100.0%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,True,44,7
2011.0,2011-11-20,10.0,11.0,23.016,DAL,WAS,W 27-24,True,8,3,68,22.67,1,37.5%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Dez Bryant,True,27,24
2011.0,2011-11-24,11.0,12.0,23.02,DAL,MIA,W 20-19,True,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,20,20.00,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,True,20,19
2011.0,2011-12-04,12.0,13.0,23.03,DAL,ARI,L 13-19,True,14,8,86,10.75,1,57.1%,6.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,6.00,0,,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,True,Dez Bryant,False,13,19
2011.0,2011-12-11,13.0,14.0,23.037,DAL,NYG,L 34-37,True,2,1,50,50.00,1,50.0%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,False,34,37
2011.0,2011-12-17,14.0,15.0,23.043,DAL,TAM,W 31-15,True,4,4,40,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,15,3.75,0,,1,6,0,0,0,0,0,,0,0,0,0,,,,,,,True,Dez Bryant,True,31,15
2011.0,2011-12-24,15.0,16.0,23.05,DAL,PHI,L 7-20,False,8,6,62,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Dez Bryant,False,7,20
2011.0,2012-01-01,16.0,17.0,23.058,DAL,NYG,L 14-31,True,8,6,70,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,2,13,6.50,0,,0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,True,Dez Bryant,False,14,31
2012.0,2012-09-05,1.0,1.0,23.306,DAL,NYG,W 24-17,True,5,4,85,21.25,0,80.0%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,,0,0,0,0,0,0,0,0,0,0,0,0,51,84%,0,0%,2,9%,True,Dez Bryant,True,24,17
2012.0,2012-09-16,2.0,2.0,23.317,DAL,SEA,L 7-27,True,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,,0,0,0,0,0,0,2,0,0,1,0,0,51,89%,0,0%,3,12%,True,Dez Bryant,False,7,27
2012.0,2012-09-23,3.0,3.0,23.324,DAL,TAM,W 16-10,True,8,6,62,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,43,14.33,0,,0,0,0,0,0,0,0,0,0,0,0,0,62,91%,0,0%,3,12%,False,Dez Bryant,True,16,10
2012.0,2012-10-01,4.0,4.0,23.332,DAL,CHI,L 18-34,True,13,8,105,13.13,0,61.5%,8.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,68,97%,0,0%,2,8%,False,Dez Bryant,False,18,34
2012.0,2012-10-14,5.0,6.0,23.345,DAL,BAL,L 29-31,True,15,13,95,7.31,2,86.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,2,12,0,0,0,0,0,0,0,0,0,0,72,81%,0,0%,2,7%,True,Dez Bryant,False,29,31
2012.0,2012-10-21,6.0,7.0,23.352,DAL,CAR,W 19-14,False,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,0,0,0,0,0,0,0,0,0,0,48,71%,0,0%,5,19%,True,Dez Bryant,True,19,14
