Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-08,1,1,23.015,DEN,,CAR,W 21-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,140,46.67,0,0,0%,0,0%,6,25%,False,Riley Dixon
2016,2016-09-18,2,2,23.025,DEN,,IND,W 34-20,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,98,49.00,0,0,0%,0,0%,9,30%,False,Riley Dixon
2016,2016-09-25,3,3,23.032,DEN,@,CIN,W 29-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,231,46.20,0,0,0%,0,0%,9,33%,True,Riley Dixon
2016,2016-10-02,4,4,23.039,DEN,@,TAM,W 27-7,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,330,47.14,0,0,0%,0,0%,12,43%,True,Riley Dixon
2016,2016-10-09,5,5,23.046,DEN,,ATL,L 16-23,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,290,48.33,0,0,0%,0,0%,10,33%,False,Riley Dixon
2016,2016-10-13,6,6,23.050,DEN,@,SDG,L 13-21,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,221,44.20,0,0,0%,0,0%,10,33%,True,Riley Dixon
2016,2016-10-24,7,7,23.061,DEN,,HOU,W 27-9,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,255,42.50,0,0,0%,0,0%,11,37%,False,Riley Dixon
2016,2016-10-30,8,8,23.067,DEN,,SDG,W 27-19,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,253,50.60,0,0,0%,0,0%,10,34%,False,Riley Dixon
2016,2016-11-06,9,9,23.074,DEN,@,OAK,L 20-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,267,44.50,0,0,0%,0,0%,10,31%,True,Riley Dixon
2016,2016-11-13,10,10,23.081,DEN,@,NOR,W 25-23,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,124,41.33,0,0,0%,0,0%,9,33%,True,Riley Dixon
2016,2016-11-27,11,12,23.095,DEN,,KAN,L 27-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,271,45.17,0,0,0%,0,0%,15,37%,False,Riley Dixon
