Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-11-22,10,11,,CIN,@,WAS,L 9-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Austin Seibert
2020,2020-11-29,11,12,,CIN,,NYG,L 17-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Austin Seibert
2020,2020-12-06,12,13,,CIN,@,MIA,L 7-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Austin Seibert
2020,2020-12-13,13,14,24.028,CIN,,DAL,L 7-30,False,1,1,100.0,,,,0,1,0,0,,0,0,0%,0,0%,3,14%,False,Austin Seibert
2020,2020-12-21,14,15,24.036,CIN,,PIT,W 27-17,False,3,3,100.0,2,3,66.7,0,9,0,0,,0,0,0%,0,0%,12,38%,False,Austin Seibert
2020,2020-12-27,15,16,24.042,CIN,@,HOU,W 37-31,False,4,4,100.0,3,4,75.0,0,13,0,0,,0,0,0%,0,0%,16,50%,True,Austin Seibert
2020,2021-01-03,16,17,24.049,CIN,,BAL,L 3-38,False,,,,1,1,100.0,0,3,0,0,,0,0,0%,0,0%,3,12%,False,Austin Seibert
2021,2021-09-12,1,1,24.301,DET,,SFO,L 33-41,False,2,2,100.0,1,2,50.0,0,5,0,0,,0,0,0%,0,0%,10,32%,False,Austin Seibert
2021,2021-09-20,2,2,24.309,DET,@,GNB,L 17-35,False,2,2,100.0,1,1,100.0,0,5,0,0,,0,0,0%,0,0%,7,30%,True,Austin Seibert
2021,2021-09-26,3,3,,DET,,BAL,L 17-19,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Seibert
2021,2021-10-03,4,4,,DET,@,CHI,L 14-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2021-10-10,5,5,24.329,DET,@,MIN,L 17-19,False,,,,3,3,100.0,0,9,0,0,,0,0,0%,0,0%,8,31%,True,Austin Seibert
2021,2021-10-17,6,6,24.336,DET,,CIN,L 11-34,False,,,,1,1,100.0,0,3,0,0,,0,0,0%,0,0%,4,16%,False,Austin Seibert
2021,2021-10-24,7,7,24.343,DET,@,LAR,L 19-28,False,1,1,100.0,4,4,100.0,0,13,0,0,,0,0,0%,0,0%,11,44%,True,Austin Seibert
2021,2021-10-31,8,8,24.350,DET,,PHI,L 6-44,False,,,,,1,0.0,0,0,0,0,,0,0,0%,0,0%,3,12%,False,Austin Seibert
2021,2021-11-14,9,10,,DET,@,PIT,T 16-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2021-11-21,10,11,,DET,@,CLE,L 10-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2021-11-25,11,12,,DET,,CHI,L 14-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Seibert
2021,2021-12-05,12,13,,DET,,MIN,W 29-27,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Seibert
2021,2021-12-12,13,14,,DET,@,DEN,L 10-38,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2021-12-19,14,15,,DET,,ARI,W 30-12,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Seibert
2021,2021-12-26,15,16,,DET,@,ATL,L 16-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2022-01-02,16,17,,DET,@,SEA,L 29-51,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Austin Seibert
2021,2022-01-09,17,18,,DET,,GNB,W 37-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Austin Seibert
,27 Games,,,,,,,8-19-0,False,43,49,87.8,41,50,82.0,0,166,1,37,37.00,0,,,,,,,False,Austin Seibert
