Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-10,1,1,24.214,OAK,SDG,True,10,4,27,6.75,1,40.0%,2.70,0,0,,0,1,1,8,0.0,0,0,0,,,1,1,0,0,0,0,71,99%,0,0%,1,4%,False,False,14,22,Rod Streater
2012,2012-09-16,2,2,24.220,OAK,MIA,False,4,2,19,9.50,0,50.0%,4.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,0,0%,True,False,13,35,Rod Streater
2012,2012-09-23,3,3,24.227,OAK,PIT,False,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,33%,0,0%,0,0%,False,True,34,31,Rod Streater
2012,2012-09-30,4,4,24.234,OAK,DEN,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,44%,0,0%,0,0%,True,False,6,37,Rod Streater
2012,2012-10-14,5,6,24.248,OAK,ATL,False,3,3,24,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,45%,0,0%,0,0%,True,False,20,23,Rod Streater
2012,2012-10-21,6,7,24.255,OAK,JAX,True,4,2,41,20.50,0,50.0%,10.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,46%,0,0%,0,0%,False,True,26,23,Rod Streater
2012,2012-10-28,7,8,24.262,OAK,KAN,False,5,1,9,9.00,0,20.0%,1.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,51%,0,0%,2,6%,True,True,26,16,Rod Streater
2012,2012-11-04,8,9,24.269,OAK,TAM,False,10,4,54,13.50,1,40.0%,5.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,45,56%,0,0%,0,0%,False,False,32,42,Rod Streater
2012,2012-11-11,9,10,24.276,OAK,BAL,False,3,1,11,11.00,0,33.3%,3.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,60%,0,0%,0,0%,True,False,20,55,Rod Streater
2012,2012-11-18,10,11,24.283,OAK,NOR,False,4,2,26,13.00,0,50.0%,6.50,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,27,37%,0,0%,1,4%,False,False,17,38,Rod Streater
2012,2012-11-25,11,12,24.290,OAK,CIN,False,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,5,8%,0,0%,0,0%,True,False,10,34,Rod Streater
2012,2012-12-02,12,13,24.297,OAK,CLE,False,4,3,96,32.00,1,75.0%,24.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,37,51%,0,0%,1,4%,False,False,17,20,Rod Streater
2012,2012-12-06,13,14,24.301,OAK,DEN,False,7,4,100,25.00,0,57.1%,14.29,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,78%,0,0%,2,8%,False,False,13,26,Rod Streater
2012,2012-12-16,14,15,24.311,OAK,KAN,False,6,5,62,12.40,0,83.3%,10.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,52%,0,0%,0,0%,False,True,15,0,Rod Streater
2012,2012-12-23,15,16,24.318,OAK,CAR,False,5,2,16,8.00,0,40.0%,3.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,66%,0,0%,0,0%,True,False,6,17,Rod Streater
2012,2012-12-30,16,17,24.325,OAK,SDG,False,5,4,77,19.25,0,80.0%,15.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,72%,0,0%,1,3%,True,False,21,24,Rod Streater
2013,2013-09-08,1,1,25.211,OAK,IND,True,8,5,70,14.00,0,62.5%,8.75,1,9,9.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,70%,0,0%,0,0%,True,False,17,21,Rod Streater
2013,2013-09-15,2,2,25.218,OAK,JAX,True,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,71%,0,0%,1,3%,False,True,19,9,Rod Streater
2013,2013-09-23,3,3,25.226,OAK,DEN,True,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,80%,0,0%,0,0%,True,False,21,37,Rod Streater
2013,2013-09-29,4,4,25.232,OAK,WAS,True,3,2,18,9.00,0,66.7%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,76%,0,0%,0,0%,False,False,14,24,Rod Streater
2013,2013-10-06,5,5,25.239,OAK,SDG,True,3,3,56,18.67,1,100.0%,18.67,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,43,74%,0,0%,0,0%,False,True,27,17,Rod Streater
2013,2013-10-13,6,6,25.246,OAK,KAN,True,7,3,46,15.33,0,42.9%,6.57,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,True,False,7,24,Rod Streater
2013,2013-10-27,7,8,25.260,OAK,PIT,True,6,4,45,11.25,0,66.7%,7.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,66%,0,0%,1,3%,False,True,21,18,Rod Streater
