Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-18,2.0,2.0,22.324,TEN,DET,W 16-15,True,25,33,75.76,238,2,1,102.8,3,14,7.21,7.06,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,66,99%,0,0%,0,0%,True,Marcus Mariota,True,16,15
2016.0,2016-09-25,3.0,3.0,22.331,TEN,OAK,L 10-17,True,17,33,51.52,214,0,2,46.8,1,2,6.48,3.76,3,22,7.33,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,68,100%,0,0%,0,0%,False,Marcus Mariota,False,10,17
2016.0,2016-10-02,4.0,4.0,22.338,TEN,HOU,L 20-27,True,13,29,44.83,202,0,1,54.1,1,6,6.97,5.41,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,True,Marcus Mariota,False,20,27
2016.0,2016-10-09,5.0,5.0,22.345,TEN,MIA,W 30-17,True,20,29,68.97,163,3,0,117.5,0,0,5.62,7.69,7,60,8.57,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Marcus Mariota,True,30,17
2016.0,2016-10-16,6.0,6.0,22.352,TEN,CLE,W 28-26,True,17,24,70.83,284,3,1,132.6,2,14,11.83,12.46,7,64,9.14,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Marcus Mariota,True,28,26
2016.0,2016-10-23,7.0,7.0,22.359,TEN,IND,L 26-34,True,22,37,59.46,232,2,0,95.8,3,25,6.27,7.35,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-9,0,73,100%,0,0%,0,0%,False,Marcus Mariota,False,26,34
2016.0,2016-10-27,8.0,8.0,22.363,TEN,JAX,W 36-22,True,18,22,81.82,270,2,0,148.1,0,0,12.27,14.09,3,11,3.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-12,0,60,90%,0,0%,0,0%,False,Marcus Mariota,True,36,22
2016.0,2016-11-06,9.0,9.0,23.007,TEN,SDG,L 35-43,True,27,43,62.79,313,3,2,88.6,0,0,7.28,6.58,3,14,4.67,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,65,100%,0,0%,0,0%,True,Marcus Mariota,False,35,43
2016.0,2016-11-13,10.0,10.0,23.014,TEN,GNB,W 47-25,True,19,26,73.08,295,4,0,149.8,1,13,11.35,14.42,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Marcus Mariota,True,47,25
2016.0,2016-11-20,11.0,11.0,23.021,TEN,IND,L 17-24,True,25,38,65.79,290,2,0,106.2,5,36,7.63,8.68,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Marcus Mariota,False,17,24
