Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,23.263,JAX,TEN,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,31,10.33,0,0,0,0,,0,0,0,0,,,,,,,False,True,16,14,Cecil Shorts
2011,2011-09-18,2,2,23.270,JAX,NYJ,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0,0,,0,0,0,0,,,,,,,True,False,3,32,Cecil Shorts
2011,2011-09-25,3,3,23.277,JAX,CAR,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,16,Cecil Shorts
2011,2011-10-02,4,4,23.284,JAX,NOR,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,10,23,Cecil Shorts
2011,2011-10-09,5,5,23.291,JAX,CIN,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,1.00,0,0,0,0,,0,0,0,0,,,,,,,False,False,20,30,Cecil Shorts
2011,2011-10-16,6,6,23.298,JAX,PIT,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,0,0,0,,0,0,0,0,,,,,,,True,False,13,17,Cecil Shorts
2011,2011-10-24,7,7,23.306,JAX,BAL,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,12,7,Cecil Shorts
2011,2011-10-30,8,8,,JAX,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,24,Cecil Shorts
2011,2011-11-13,9,10,,JAX,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,17,3,Cecil Shorts
2011,2011-11-20,10,11,,JAX,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,14,Cecil Shorts
2011,2011-11-27,11,12,23.340,JAX,HOU,False,3,1,25,25.00,0,33.3%,8.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,20,Cecil Shorts
2011,2011-12-05,12,13,23.348,JAX,SDG,False,1,1,5,5.00,1,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,63,21.00,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,False,14,38,Cecil Shorts
2011,2011-12-11,13,14,23.354,JAX,TAM,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,41,14,Cecil Shorts
2011,2011-12-15,14,15,,JAX,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,41,Cecil Shorts
2011,2011-12-24,15,16,,JAX,TEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,23,Cecil Shorts
2011,2012-01-01,16,17,,JAX,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,13,Cecil Shorts
2012,2012-09-09,1,1,24.262,JAX,MIN,False,7,4,74,18.50,1,57.1%,10.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,14,18%,0,0%,0,0%,True,False,23,26,Cecil Shorts
2012,2012-09-16,2,2,24.269,JAX,HOU,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,10,23%,0,0%,0,0%,False,False,7,27,Cecil Shorts
2012,2012-09-23,3,3,24.276,JAX,IND,False,2,1,80,80.00,1,50.0%,40.00,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,20,33%,0,0%,0,0%,True,True,22,17,Cecil Shorts
2012,2012-09-30,4,4,24.283,JAX,CIN,False,5,1,8,8.00,0,20.0%,1.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,27,45%,0,0%,0,0%,False,False,10,27,Cecil Shorts
2012,2012-10-07,5,5,24.290,JAX,CHI,False,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,15,26%,0,0%,0,0%,False,False,3,41,Cecil Shorts
2012,2012-10-21,6,7,24.304,JAX,OAK,True,10,4,79,19.75,1,40.0%,7.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,1,0,0,0,0,62,97%,0,0%,1,2%,True,False,23,26,Cecil Shorts
