Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-10-25,7.0,7.0,24.25,CLE,STL,L 6-24,False,4,4,15,3.75,0,100.0%,3.75,0,0,,0,0,0,,0,,0,0,1,1,0,0,0,0,38,51%,0,0%,0,0%,True,Taylor Gabriel,False,6,24
2015.0,2015-11-01,8.0,8.0,24.257,CLE,ARI,L 20-34,False,7,4,32,8.00,0,57.1%,4.57,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,62%,0,0%,0,0%,False,Taylor Gabriel,False,20,34
2015.0,2015-11-05,9.0,9.0,24.261,CLE,CIN,L 10-31,True,6,1,3,3.00,0,16.7%,0.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,91%,0,0%,0,0%,True,Taylor Gabriel,False,10,31
2015.0,2015-11-15,10.0,10.0,24.271,CLE,PIT,L 9-30,False,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,22,32%,0,0%,0,0%,True,Taylor Gabriel,False,9,30
2015.0,2015-11-30,11.0,12.0,,CLE,BAL,L 27-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,False,27,33
2015.0,2015-12-06,12.0,13.0,,CLE,CIN,L 3-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,False,3,37
2015.0,2015-12-13,13.0,14.0,,CLE,SFO,W 24-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,True,24,10
2015.0,2015-12-20,14.0,15.0,24.306,CLE,SEA,L 13-30,True,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,84%,0,0%,0,0%,True,Taylor Gabriel,False,13,30
2015.0,2015-12-27,15.0,16.0,24.313,CLE,KAN,L 13-17,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,True,Taylor Gabriel,False,13,17
2015.0,2016-01-03,16.0,17.0,24.32,CLE,PIT,L 12-28,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,6,7%,0,0%,0,0%,False,Taylor Gabriel,False,12,28
2016.0,2016-09-11,1.0,1.0,,ATL,TAM,L 24-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,False,24,31
2016.0,2016-09-18,2.0,2.0,25.214,ATL,OAK,W 35-28,False,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,9,14%,0,0%,9,30%,True,Taylor Gabriel,True,35,28
2016.0,2016-09-26,3.0,3.0,25.222,ATL,NOR,W 45-32,False,3,2,33,16.50,0,66.7%,11.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,36,56%,0,0%,6,21%,True,Taylor Gabriel,True,45,32
2016.0,2016-10-02,4.0,4.0,25.228,ATL,CAR,W 48-33,False,3,3,49,16.33,0,100.0%,16.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,17,25%,0,0%,9,26%,False,Taylor Gabriel,True,48,33
2016.0,2016-10-09,5.0,5.0,25.235,ATL,DEN,W 23-16,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,14,21%,0,0%,9,30%,True,Taylor Gabriel,True,23,16
2016.0,2016-10-16,6.0,6.0,25.242,ATL,SEA,L 24-26,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,13,19%,0,0%,5,17%,True,Taylor Gabriel,False,24,26
2016.0,2016-10-23,7.0,7.0,,ATL,SDG,L 30-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,False,30,33
2016.0,2016-10-30,8.0,8.0,25.256,ATL,GNB,W 33-32,False,3,3,68,22.67,1,100.0%,22.67,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,32,51%,0,0%,0,0%,False,Taylor Gabriel,True,33,32
2016.0,2016-11-03,9.0,9.0,25.26,ATL,TAM,W 43-28,False,5,5,52,10.40,0,100.0%,10.40,2,24,12.00,1,0,0,,0,,1,6,0,0,0,0,0,0,33,45%,0,0%,0,0%,True,Taylor Gabriel,True,43,28
2016.0,2016-11-13,10.0,10.0,25.27,ATL,PHI,L 15-24,False,5,1,76,76.00,1,20.0%,15.20,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,34,68%,0,0%,0,0%,True,Taylor Gabriel,False,15,24
2016.0,2016-11-27,11.0,12.0,25.284,ATL,ARI,W 38-19,True,5,4,75,18.75,2,80.0%,15.00,1,27,27.00,0,0,0,,0,,2,12,0,0,0,0,0,0,35,50%,0,0%,1,4%,False,Taylor Gabriel,True,38,19
2016.0,2016-12-04,12.0,13.0,25.291,ATL,KAN,L 28-29,False,6,5,44,8.80,0,83.3%,7.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,38%,0,0%,0,0%,False,Taylor Gabriel,False,28,29
2016.0,2016-12-11,13.0,14.0,25.298,ATL,LAR,W 42-14,True,6,3,82,27.33,1,50.0%,13.67,1,0,0.00,0,0,0,,0,,1,6,0,0,0,0,0,0,45,78%,0,0%,2,6%,True,Taylor Gabriel,True,42,14
2016.0,2016-12-18,14.0,15.0,25.305,ATL,SFO,W 41-13,False,6,3,60,20.00,1,50.0%,10.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,24,35%,0,0%,0,0%,False,Taylor Gabriel,True,41,13
2016.0,2016-12-24,15.0,16.0,25.311,ATL,CAR,W 33-16,False,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,44%,0,0%,0,0%,True,Taylor Gabriel,True,33,16
2016.0,2017-01-01,16.0,17.0,,ATL,NOR,W 38-32,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Taylor Gabriel,True,38,32
2017.0,2017-09-10,1.0,1.0,26.205,ATL,CHI,W 23-17,True,4,3,36,12.00,0,75.0%,9.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Taylor Gabriel,True,23,17
2017.0,2017-09-17,2.0,2.0,26.212,ATL,GNB,W 34-23,True,3,2,14,7.00,0,66.7%,4.67,1,7,7.00,0,0,0,,0,,0,0,0,0,0,0,0,0,26,45%,0,0%,0,0%,False,Taylor Gabriel,True,34,23
2017.0,2017-09-24,3.0,3.0,26.219,ATL,DET,W 30-26,False,6,5,79,15.80,1,83.3%,13.17,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,36,53%,0,0%,0,0%,True,Taylor Gabriel,True,30,26
2017.0,2017-10-01,4.0,4.0,26.226,ATL,BUF,L 17-23,False,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,80%,0,0%,0,0%,False,Taylor Gabriel,False,17,23
2017.0,2017-10-15,5.0,6.0,26.24,ATL,MIA,L 17-20,True,8,4,39,9.75,0,50.0%,4.88,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,84%,0,0%,0,0%,False,Taylor Gabriel,False,17,20
2017.0,2017-10-22,6.0,7.0,26.247,ATL,NWE,L 7-23,False,2,2,24,12.00,0,100.0%,12.00,1,-5,-5.00,0,0,0,,0,,0,0,0,0,0,0,0,0,35,61%,0,0%,0,0%,True,Taylor Gabriel,False,7,23
2017.0,2017-10-29,7.0,8.0,26.254,ATL,NYJ,W 25-20,False,1,1,-3,-3.00,0,100.0%,-3.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,47%,0,0%,0,0%,True,Taylor Gabriel,True,25,20
2017.0,2017-11-05,8.0,9.0,26.261,ATL,CAR,L 17-20,False,4,3,56,18.67,0,75.0%,14.00,1,3,3.00,0,0,0,,0,,0,0,0,0,0,0,0,0,38,63%,0,0%,0,0%,True,Taylor Gabriel,False,17,20
2017.0,2017-11-12,9.0,10.0,26.268,ATL,DAL,W 27-7,False,3,3,58,19.33,0,100.0%,19.33,1,15,15.00,0,0,0,,0,,0,0,0,0,0,0,0,0,27,42%,0,0%,0,0%,False,Taylor Gabriel,True,27,7
2017.0,2017-11-20,10.0,11.0,26.276,ATL,SEA,W 34-31,False,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,34,55%,0,0%,0,0%,True,Taylor Gabriel,True,34,31
2017.0,2017-11-26,11.0,12.0,26.282,ATL,TAM,W 34-20,True,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,66%,0,0%,0,0%,False,Taylor Gabriel,True,34,20
2017.0,2017-12-03,12.0,13.0,26.289,ATL,MIN,L 9-14,False,2,1,6,6.00,0,50.0%,3.00,1,5,5.00,0,0,0,,0,,0,0,0,0,0,0,0,0,28,53%,0,0%,0,0%,False,Taylor Gabriel,False,9,14
2017.0,2017-12-07,13.0,14.0,26.293,ATL,NOR,W 20-17,False,1,1,10,10.00,0,100.0%,10.00,1,9,9.00,0,0,0,,0,,0,0,0,0,0,0,0,0,31,42%,0,0%,0,0%,False,Taylor Gabriel,True,20,17
