Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2009,2009-09-13,1,1,22.134,IND,,JAX,W 14-12,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,2,88,44.00,0,,,,,,,False,Pat McAfee
2009,2009-09-21,2,2,22.142,IND,@,MIA,W 27-23,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,3,145,48.33,0,,,,,,,True,Pat McAfee
2009,2009-09-27,3,3,22.148,IND,@,ARI,W 31-10,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,4,168,42.00,0,,,,,,,True,Pat McAfee
2009,2009-10-04,4,4,22.155,IND,,SEA,W 34-17,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,1,1,0,0,0,,0,0,0,0,2,81,40.50,0,,,,,,,False,Pat McAfee
2009,2009-10-11,5,5,22.162,IND,@,TEN,W 31-9,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,4,197,49.25,0,,,,,,,True,Pat McAfee
2009,2009-10-25,6,7,22.176,IND,@,STL,W 42-6,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,4,167,41.75,0,,,,,,,True,Pat McAfee
2009,2009-11-01,7,8,22.183,IND,,SFO,W 18-14,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,7,324,46.29,0,,,,,,,False,Pat McAfee
2009,2009-11-08,8,9,22.190,IND,,HOU,W 20-17,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,1,0,1,0,0,0,,0,0,0,0,3,98,32.67,0,,,,,,,False,Pat McAfee
2009,2009-11-15,9,10,22.197,IND,,NWE,W 35-34,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,7,339,48.43,0,,,,,,,False,Pat McAfee
2009,2009-11-22,10,11,22.204,IND,@,BAL,W 17-15,False,0,0,,0,0,0,,0,0,0,,,,,,0.0,0,0,0,,,0,,0,0,0,0,3,120,40.00,0,,,,,,,True,Pat McAfee
