Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,20.292,PIT,CLE,W 21-18,True,0,0,0,,0,0.0%,,0,0,,0,1,4,4.00,0,,0,0,0,0,0,0,0,0,25,42%,0,0%,4,16%,True,JuJu Smith-Schuster,True,21,18
2017.0,2017-09-17,2.0,2.0,20.299,PIT,MIN,W 26-9,False,4,3,16,5.33,1,75.0%,4.00,0,0,,0,1,20,20.00,0,,1,6,0,0,0,0,0,0,38,51%,0,0%,3,10%,False,JuJu Smith-Schuster,True,26,9
2017.0,2017-09-24,3.0,3.0,20.306,PIT,CHI,L 17-23,False,6,2,39,19.50,0,33.3%,6.50,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,80%,0,0%,3,11%,True,JuJu Smith-Schuster,False,17,23
2017.0,2017-10-01,4.0,4.0,20.313,PIT,BAL,W 26-9,False,4,3,47,15.67,1,75.0%,11.75,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,54,71%,0,0%,3,12%,True,JuJu Smith-Schuster,True,26,9
2017.0,2017-10-08,5.0,5.0,20.32,PIT,JAX,L 9-30,False,6,4,58,14.50,0,66.7%,9.67,0,0,,0,1,9,9.00,0,,0,0,0,0,0,0,0,0,66,82%,0,0%,6,23%,False,JuJu Smith-Schuster,False,9,30
2017.0,2017-10-15,6.0,6.0,20.327,PIT,KAN,W 19-13,False,3,3,32,10.67,0,100.0%,10.67,0,0,,0,1,11,11.00,0,,0,0,0,0,0,0,0,0,43,67%,0,0%,5,20%,True,JuJu Smith-Schuster,True,19,13
2017.0,2017-10-22,7.0,7.0,20.334,PIT,CIN,W 29-14,False,3,2,39,19.50,1,66.7%,13.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,31,45%,0,0%,3,11%,False,JuJu Smith-Schuster,True,29,14
2017.0,2017-10-29,8.0,8.0,20.341,PIT,DET,W 20-15,True,10,7,193,27.57,1,70.0%,19.30,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,51,80%,0,0%,6,22%,True,JuJu Smith-Schuster,True,20,15
2017.0,2017-11-12,9.0,10.0,20.355,PIT,IND,W 20-17,True,7,5,97,19.40,1,71.4%,13.86,0,0,,0,1,25,25.00,0,,1,6,0,0,0,0,0,0,53,80%,0,0%,4,13%,True,JuJu Smith-Schuster,True,20,17
2017.0,2017-11-16,10.0,11.0,20.359,PIT,TEN,W 40-17,True,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,88%,0,0%,4,13%,False,JuJu Smith-Schuster,True,40,17
2017.0,2017-11-26,11.0,12.0,,PIT,GNB,W 31-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,JuJu Smith-Schuster,True,31,28
2017.0,2017-12-04,12.0,13.0,21.012,PIT,CIN,W 23-20,False,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,54,82%,0,0%,0,0%,True,JuJu Smith-Schuster,True,23,20
