Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-09-13,1.0,1.0,22.243,TAM,TEN,L 14-42,False,2.0,2,100.0,,,,0,2,0.0,0%,0.0,0%,5.0,19%,False,Kyle Brindza,False,14,42
2015.0,2015-09-20,2.0,2.0,22.25,TAM,NOR,W 26-19,False,2.0,2,100.0,4.0,5.0,80.0,0,14,0.0,0%,0.0,0%,14.0,50%,True,Kyle Brindza,True,26,19
2015.0,2015-09-27,3.0,3.0,22.257,TAM,HOU,L 9-19,False,,1,0.0,1.0,4.0,25.0,0,3,0.0,0%,0.0,0%,8.0,26%,True,Kyle Brindza,False,9,19
2015.0,2015-10-04,4.0,4.0,22.264,TAM,CAR,L 23-37,False,2.0,3,66.7,1.0,3.0,33.3,0,5,0.0,0%,0.0,0%,11.0,34%,False,Kyle Brindza,False,23,37
,4 Games,,,,,,1-3-0,False,6.0,8,75.0,6.0,12.0,50.0,0,24,,,,,,,False,Kyle Brindza,False,3,0
