Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,22.082,NWE,PIT,W 33-3,False,0.0,0,0,0,0,0,3,123,41.0,0,0.0,0%,0.0,0%,10.0,38%,False,Jake Bailey,True,33,3
2019.0,2019-09-15,2.0,2.0,22.089,NWE,MIA,W 43-0,False,0.0,0,0,0,0,0,3,144,48.0,0,0.0,0%,0.0,0%,11.0,41%,True,Jake Bailey,True,43,0
2019.0,2019-09-22,3.0,3.0,22.096,NWE,NYJ,W 30-14,False,0.0,0,0,0,0,0,7,310,44.29,0,0.0,0%,0.0,0%,14.0,40%,False,Jake Bailey,True,30,14
2019.0,2019-09-29,4.0,4.0,22.103,NWE,BUF,W 16-10,False,0.0,0,0,0,0,0,9,435,48.33,0,0.0,0%,0.0,0%,12.0,43%,True,Jake Bailey,True,16,10
2019.0,2019-10-06,5.0,5.0,22.11,NWE,WAS,W 33-7,False,0.0,0,0,0,0,0,6,286,47.67,0,0.0,0%,0.0,0%,19.0,59%,True,Jake Bailey,True,33,7
2019.0,2019-10-10,6.0,6.0,22.114,NWE,NYG,W 35-14,False,0.0,0,0,0,0,0,3,122,40.67,0,0.0,0%,0.0,0%,15.0,58%,False,Jake Bailey,True,35,14
2019.0,2019-10-21,7.0,7.0,22.125,NWE,NYJ,W 33-0,False,0.0,0,0,0,0,0,7,261,37.29,0,0.0,0%,0.0,0%,18.0,72%,True,Jake Bailey,True,33,0
2019.0,2019-10-27,8.0,8.0,22.131,NWE,CLE,W 27-13,False,0.0,0,0,0,0,0,5,227,45.4,0,1.0,1%,0.0,0%,19.0,61%,False,Jake Bailey,True,27,13
2019.0,2019-11-03,9.0,9.0,22.138,NWE,BAL,L 20-37,False,0.0,0,0,0,0,0,5,233,46.6,0,0.0,0%,0.0,0%,14.0,47%,True,Jake Bailey,False,20,37
2019.0,2019-11-17,10.0,11.0,22.152,NWE,PHI,W 17-10,False,0.0,0,0,0,0,0,8,381,47.63,0,0.0,0%,0.0,0%,16.0,55%,True,Jake Bailey,True,17,10
2019.0,2019-11-24,11.0,12.0,22.159,NWE,DAL,W 13-9,False,0.0,0,0,0,0,0,6,263,43.83,0,0.0,0%,0.0,0%,14.0,48%,False,Jake Bailey,True,13,9
2019.0,2019-12-01,12.0,13.0,22.166,NWE,HOU,L 22-28,False,0.0,0,0,0,0,0,4,176,44.0,0,0.0,0%,0.0,0%,12.0,46%,True,Jake Bailey,False,22,28
2019.0,2019-12-08,13.0,14.0,22.173,NWE,KAN,L 16-23,False,0.0,0,0,0,0,0,4,165,41.25,0,0.0,0%,0.0,0%,11.0,42%,False,Jake Bailey,False,16,23
2019.0,2019-12-15,14.0,15.0,22.18,NWE,CIN,W 34-13,False,0.0,0,0,0,0,0,5,241,48.2,0,0.0,0%,0.0,0%,18.0,64%,True,Jake Bailey,True,34,13
2019.0,2019-12-21,15.0,16.0,22.186,NWE,BUF,W 24-17,False,0.0,0,0,0,0,0,2,93,46.5,0,0.0,0%,0.0,0%,12.0,46%,False,Jake Bailey,True,24,17
2019.0,2019-12-29,16.0,17.0,22.194,NWE,MIA,L 24-27,False,0.0,0,0,0,0,0,4,178,44.5,0,0.0,0%,0.0,0%,13.0,43%,False,Jake Bailey,False,24,27
2020.0,2020-09-13,1.0,1.0,23.087,NWE,MIA,W 21-11,False,0.0,0,0,0,0,0,3,119,39.67,0,0.0,0%,0.0,0%,12.0,63%,False,Jake Bailey,True,21,11
2020.0,2020-09-20,2.0,2.0,23.094,NWE,SEA,L 30-35,False,0.0,1,0,1,0,0,2,113,56.5,0,0.0,0%,0.0,0%,13.0,46%,True,Jake Bailey,False,30,35
2020.0,2020-09-27,3.0,3.0,23.101,NWE,LVR,W 36-20,False,0.0,0,0,0,0,0,2,95,47.5,0,0.0,0%,0.0,0%,18.0,58%,False,Jake Bailey,True,36,20
2020.0,2020-10-05,4.0,4.0,23.109,NWE,KAN,L 10-26,False,0.0,0,0,0,0,0,3,157,52.33,0,0.0,0%,0.0,0%,8.0,35%,True,Jake Bailey,False,10,26
2020.0,2020-10-18,5.0,6.0,23.122,NWE,DEN,L 12-18,False,0.0,0,0,0,0,0,3,145,48.33,0,0.0,0%,0.0,0%,9.0,38%,False,Jake Bailey,False,12,18
2020.0,2020-10-25,6.0,7.0,23.129,NWE,SFO,L 6-33,False,0.0,0,0,0,0,0,2,90,45.0,0,0.0,0%,0.0,0%,7.0,33%,False,Jake Bailey,False,6,33
2020.0,2020-11-01,7.0,8.0,23.136,NWE,BUF,L 21-24,False,0.0,0,0,0,0,0,4,173,43.25,0,0.0,0%,0.0,0%,13.0,52%,True,Jake Bailey,False,21,24
2020.0,2020-11-09,8.0,9.0,23.144,NWE,NYJ,W 30-27,False,0.0,0,0,0,0,0,1,59,59.0,0,0.0,0%,0.0,0%,14.0,52%,True,Jake Bailey,True,30,27
2020.0,2020-11-15,9.0,10.0,23.15,NWE,BAL,W 23-17,False,0.0,0,0,0,0,0,4,173,43.25,0,0.0,0%,0.0,0%,13.0,57%,False,Jake Bailey,True,23,17
2020.0,2020-11-22,10.0,11.0,23.157,NWE,HOU,L 20-27,False,0.0,0,0,0,0,0,3,151,50.33,0,0.0,0%,0.0,0%,12.0,44%,True,Jake Bailey,False,20,27
2020.0,2020-11-29,11.0,12.0,23.164,NWE,ARI,W 20-17,False,0.0,0,0,0,0,0,3,169,56.33,0,0.0,0%,0.0,0%,11.0,50%,False,Jake Bailey,True,20,17
2020.0,2020-12-06,12.0,13.0,23.171,NWE,LAC,W 45-0,False,0.0,0,1,1,0,0,4,197,49.25,0,0.0,0%,0.0,0%,19.0,70%,True,Jake Bailey,True,45,0
2020.0,2020-12-10,13.0,14.0,23.175,NWE,LAR,L 3-24,False,0.0,0,0,0,0,0,6,310,51.67,0,0.0,0%,0.0,0%,9.0,38%,True,Jake Bailey,False,3,24
2020.0,2020-12-20,14.0,15.0,23.185,NWE,MIA,L 12-22,False,0.0,0,0,0,0,0,2,93,46.5,0,0.0,0%,0.0,0%,9.0,41%,True,Jake Bailey,False,12,22
2020.0,2020-12-28,15.0,16.0,23.193,NWE,BUF,L 9-38,False,0.0,0,0,0,0,0,7,362,51.71,0,0.0,0%,0.0,0%,12.0,43%,False,Jake Bailey,False,9,38
2020.0,2021-01-03,16.0,17.0,23.199,NWE,NYJ,W 28-14,False,0.0,0,0,0,0,0,6,272,45.33,0,0.0,0%,0.0,0%,15.0,58%,False,Jake Bailey,True,28,14
2021.0,2021-09-12,1.0,1.0,24.086,NWE,MIA,L 16-17,False,0.0,0,0,0,0,0,2,99,49.5,0,0.0,0%,0.0,0%,11.0,52%,False,Jake Bailey,False,16,17
2021.0,2021-09-19,2.0,2.0,24.093,NWE,NYJ,W 25-6,False,0.0,0,0,0,0,0,5,219,43.8,0,0.0,0%,0.0,0%,18.0,72%,True,Jake Bailey,True,25,6
2021.0,2021-09-26,3.0,3.0,24.1,NWE,NOR,L 13-28,False,0.0,0,0,0,0,0,5,283,56.6,1,0.0,0%,0.0,0%,13.0,45%,False,Jake Bailey,False,13,28
2021.0,2021-10-03,4.0,4.0,24.107,NWE,TAM,L 17-19,False,0.0,0,0,0,0,0,4,188,47.0,0,0.0,0%,0.0,0%,13.0,45%,False,Jake Bailey,False,17,19
2021.0,2021-10-10,5.0,5.0,24.114,NWE,HOU,W 25-22,False,0.0,0,0,0,0,0,1,58,58.0,0,0.0,0%,0.0,0%,14.0,52%,True,Jake Bailey,True,25,22
2021.0,2021-10-17,6.0,6.0,24.121,NWE,DAL,L 29-35,False,0.0,0,0,0,0,0,4,161,40.25,1,0.0,0%,0.0,0%,13.0,46%,False,Jake Bailey,False,29,35
2021.0,2021-10-24,7.0,7.0,24.128,NWE,NYJ,W 54-13,False,0.0,0,0,0,0,0,1,35,35.0,0,0.0,0%,0.0,0%,20.0,74%,False,Jake Bailey,True,54,13
2021.0,2021-10-31,8.0,8.0,24.135,NWE,LAC,W 27-24,False,0.0,0,0,0,0,0,3,146,48.67,0,0.0,0%,0.0,0%,15.0,50%,True,Jake Bailey,True,27,24
2021.0,2021-11-07,9.0,9.0,24.142,NWE,CAR,W 24-6,False,0.0,0,0,0,0,0,3,152,50.67,0,0.0,0%,0.0,0%,11.0,50%,True,Jake Bailey,True,24,6
2021.0,2021-11-14,10.0,10.0,24.149,NWE,CLE,W 45-7,False,0.0,0,0,0,0,0,1,66,66.0,0,0.0,0%,0.0,0%,14.0,61%,False,Jake Bailey,True,45,7
2021.0,2021-11-18,11.0,11.0,24.153,NWE,ATL,W 25-0,False,0.0,0,0,0,0,0,4,193,48.25,0,0.0,0%,0.0,0%,15.0,63%,True,Jake Bailey,True,25,0
2021.0,2021-11-28,12.0,12.0,24.163,NWE,TEN,W 36-13,False,0.0,0,0,0,0,0,1,48,48.0,0,0.0,0%,0.0,0%,19.0,68%,False,Jake Bailey,True,36,13
2021.0,2021-12-06,13.0,13.0,24.171,NWE,BUF,W 14-10,False,0.0,0,0,0,0,0,6,252,42.0,0,0.0,0%,0.0,0%,8.0,35%,True,Jake Bailey,True,14,10
2021.0,2021-12-18,14.0,15.0,24.183,NWE,IND,L 17-27,False,0.0,0,0,0,0,0,2,80,40.0,1,0.0,0%,0.0,0%,9.0,36%,True,Jake Bailey,False,17,27
2021.0,2021-12-26,15.0,16.0,24.191,NWE,BUF,L 21-33,False,0.0,0,0,0,0,0,3,158,52.67,0,0.0,0%,0.0,0%,10.0,45%,False,Jake Bailey,False,21,33
2021.0,2022-01-02,16.0,17.0,24.198,NWE,JAX,W 50-10,False,0.0,0,0,0,0,0,1,40,40.0,0,0.0,0%,0.0,0%,18.0,67%,False,Jake Bailey,True,50,10
2021.0,2022-01-09,17.0,18.0,24.205,NWE,MIA,L 24-33,False,0.0,0,0,0,0,0,3,138,46.0,0,0.0,0%,0.0,0%,12.0,41%,True,Jake Bailey,False,24,33
,49 Games,,,,,,29-20-0,False,0.0,1,1,2,0,0,185,8632,46.66,3,,,,,,,False,Jake Bailey,False,20,0
