Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
1997,1997-08-31,1,1,21.185,KAN,DEN,False,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,3,19,Tony Gonzalez
1997,1997-09-08,2,2,21.193,KAN,OAK,False,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,28,27,Tony Gonzalez
1997,1997-09-14,3,3,21.199,KAN,BUF,False,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,22,16,Tony Gonzalez
1997,1997-09-21,4,4,21.206,KAN,CAR,False,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,True,True,35,14,Tony Gonzalez
1997,1997-09-28,5,5,21.213,KAN,SEA,False,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,20,17,Tony Gonzalez
1997,1997-10-05,6,6,21.220,KAN,MIA,False,1,1,21,21.00,1,100.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,False,14,17,Tony Gonzalez
1997,1997-10-16,7,8,21.231,KAN,SDG,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,31,3,Tony Gonzalez
1997,1997-10-26,8,9,21.241,KAN,STL,False,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,0,0,,,,,,1,0,2,0,,0,0,0,0,,,,,,,True,True,28,20,Tony Gonzalez
1997,1997-11-03,9,10,21.249,KAN,PIT,False,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,13,10,Tony Gonzalez
1997,1997-11-09,10,11,21.255,KAN,JAX,False,11,7,69,9.86,0,63.6%,6.27,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,10,24,Tony Gonzalez
1997,1997-11-16,11,12,21.262,KAN,DEN,False,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,24,22,Tony Gonzalez
