Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,,TAM,CLE,W 17-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeGarrette Blount,True,17,14
2010.0,2010-09-19,2.0,2.0,,TAM,CAR,W 20-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,LeGarrette Blount,True,20,7
2010.0,2010-09-26,3.0,3.0,23.295,TAM,PIT,L 13-38,False,6,27,4.50,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,False,13,38
2010.0,2010-10-10,4.0,5.0,23.309,TAM,CIN,W 24-21,False,4,3,0.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,True,24,21
2010.0,2010-10-17,5.0,6.0,,TAM,NOR,L 6-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,LeGarrette Blount,False,6,31
2010.0,2010-10-24,6.0,7.0,23.323,TAM,STL,W 18-17,False,11,72,6.55,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,True,18,17
2010.0,2010-10-31,7.0,8.0,23.33,TAM,ARI,W 38-35,False,22,120,5.45,2,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,True,LeGarrette Blount,True,38,35
2010.0,2010-11-07,8.0,9.0,23.337,TAM,ATL,L 21-27,False,13,46,3.54,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,False,21,27
2010.0,2010-11-14,9.0,10.0,23.344,TAM,CAR,W 31-16,False,19,91,4.79,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,True,31,16
2010.0,2010-11-21,10.0,11.0,23.351,TAM,SFO,W 21-0,True,26,82,3.15,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,True,21,0
2010.0,2010-11-28,11.0,12.0,23.358,TAM,BAL,L 10-17,True,13,55,4.23,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,False,10,17
2010.0,2010-12-05,12.0,13.0,24.0,TAM,ATL,L 24-28,True,20,103,5.15,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,False,24,28
2010.0,2010-12-12,13.0,14.0,24.007,TAM,WAS,W 17-16,True,15,68,4.53,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,LeGarrette Blount,True,17,16
2010.0,2010-12-19,14.0,15.0,24.014,TAM,DET,L 20-23,True,15,110,7.33,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,False,20,23
2010.0,2010-12-26,15.0,16.0,24.021,TAM,SEA,W 38-15,True,18,164,9.11,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,False,LeGarrette Blount,True,38,15
2010.0,2011-01-02,16.0,17.0,24.028,TAM,NOR,W 23-13,True,19,66,3.47,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,True,LeGarrette Blount,True,23,13
2011.0,2011-09-11,1.0,1.0,24.28,TAM,DET,L 20-27,True,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,False,20,27
2011.0,2011-09-18,2.0,2.0,24.287,TAM,MIN,W 24-20,True,13,71,5.46,2,0,0,0,,0,0.0%,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,True,24,20
2011.0,2011-09-25,3.0,3.0,24.294,TAM,ATL,W 16-13,True,24,81,3.38,0,3,1,13,13.00,0,33.3%,4.33,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,True,16,13
2011.0,2011-10-03,4.0,4.0,24.302,TAM,IND,W 24-17,True,25,127,5.08,1,2,1,14,14.00,0,50.0%,7.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,LeGarrette Blount,True,24,17
2011.0,2011-10-09,5.0,5.0,24.308,TAM,SFO,L 3-48,True,10,34,3.40,0,3,2,31,15.50,0,66.7%,10.33,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,LeGarrette Blount,False,3,48
