Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-14,1,1,22.069,PIT,@,NYG,W 26-16,False,2,2,39,19.50,0,100.0%,19.50,1,8,8.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,30%,0,0%,14,54%,True,Chase Claypool
2020,2020-09-20,2,2,22.075,PIT,,DEN,W 26-21,False,3,3,88,29.33,1,100.0%,29.33,0,0,,0,1,6,0.0,1,2,3,0,0,0,0,0,0,0,0,24,37%,0,0%,15,50%,False,Chase Claypool
2020,2020-09-27,3,3,22.082,PIT,,HOU,W 28-21,False,4,1,24,24.00,0,25.0%,6.00,0,0,,0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,61,76%,0,0%,9,32%,False,Chase Claypool
2020,2020-10-11,4,5,22.096,PIT,,PHI,W 38-29,True,11,7,110,15.71,3,63.6%,10.00,3,6,2.00,1,4,24,0.0,0,0,0,0,0,0,0,0,0,0,0,52,68%,0,0%,9,35%,False,Chase Claypool
2020,2020-10-18,5,6,22.103,PIT,,CLE,W 38-7,False,4,4,74,18.50,0,100.0%,18.50,2,7,3.50,1,1,6,0.0,0,1,1,0,0,0,0,0,0,0,0,51,78%,0,0%,6,22%,False,Chase Claypool
2020,2020-10-25,6,7,22.110,PIT,@,TEN,W 27-24,True,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,51,65%,0,0%,8,29%,True,Chase Claypool
2020,2020-11-01,7,8,22.117,PIT,@,BAL,W 28-24,False,9,5,42,8.40,1,55.6%,4.67,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,41,76%,0,0%,6,23%,True,Chase Claypool
2020,2020-11-08,8,9,22.124,PIT,@,DAL,W 24-19,False,13,8,69,8.63,0,61.5%,5.31,1,4,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,81%,0,0%,7,26%,True,Chase Claypool
2020,2020-11-15,9,10,22.131,PIT,,CIN,W 36-10,False,10,4,56,14.00,2,40.0%,5.60,2,-3,-1.50,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,44,60%,0,0%,6,16%,False,Chase Claypool
2020,2020-11-22,10,11,22.138,PIT,@,JAX,W 27-3,False,8,4,59,14.75,1,50.0%,7.38,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,63%,0,0%,2,7%,True,Chase Claypool
2020,2020-12-02,11,12,22.148,PIT,,BAL,W 19-14,False,9,6,52,8.67,0,66.7%,5.78,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,63%,0,0%,4,16%,False,Chase Claypool
2020,2020-12-07,12,13,22.153,PIT,,WAS,L 17-23,True,4,2,38,19.00,0,50.0%,9.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,8,25%,False,Chase Claypool
2020,2020-12-13,13,14,22.159,PIT,@,BUF,L 15-26,True,6,3,15,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,38,67%,0,0%,6,21%,True,Chase Claypool
2020,2020-12-21,14,15,22.167,PIT,@,CIN,L 17-27,False,8,3,54,18.00,0,37.5%,6.75,1,-6,-6.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,66%,0,0%,8,25%,True,Chase Claypool
2020,2020-12-27,15,16,22.173,PIT,,IND,W 28-24,True,6,4,54,13.50,0,66.7%,9.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,79%,0,0%,9,30%,False,Chase Claypool
2020,2021-01-03,16,17,22.180,PIT,@,CLE,L 22-24,True,11,5,101,20.20,1,45.5%,9.18,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,35,52%,0,0%,7,28%,True,Chase Claypool
2021,2021-09-12,1,1,23.067,PIT,@,BUF,W 23-16,False,5,3,45,15.00,0,60.0%,9.00,1,25,25.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,67%,0,0%,1,3%,True,Chase Claypool
2021,2021-09-19,2,2,23.074,PIT,,LVR,L 17-26,True,9,3,70,23.33,0,33.3%,7.78,1,-3,-3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,77%,0,0%,0,0%,False,Chase Claypool
2021,2021-09-26,3,3,23.081,PIT,,CIN,L 10-24,True,15,9,96,10.67,0,60.0%,6.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,92%,0,0%,0,0%,False,Chase Claypool
2021,2021-10-03,4,4,,PIT,@,GNB,L 17-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chase Claypool
2021,2021-10-10,5,5,23.095,PIT,,DEN,W 27-19,True,6,5,130,26.00,1,83.3%,21.67,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,36,55%,0,0%,0,0%,False,Chase Claypool
