Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,,TAM,CAR,L 14-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Charles Sims,False,14,20
2014.0,2014-09-14,2.0,2.0,,TAM,STL,L 17-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Charles Sims,False,17,19
2014.0,2014-09-18,3.0,3.0,,TAM,ATL,L 14-56,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Charles Sims,False,14,56
2014.0,2014-09-28,4.0,4.0,,TAM,PIT,W 27-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Charles Sims,True,27,24
2014.0,2014-10-05,5.0,5.0,,TAM,NOR,L 31-37,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Charles Sims,False,31,37
2014.0,2014-10-12,6.0,6.0,,TAM,BAL,L 17-48,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Charles Sims,False,17,48
2014.0,2014-10-26,7.0,8.0,,TAM,MIN,L 13-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Charles Sims,False,13,19
2014.0,2014-11-02,8.0,9.0,,TAM,CLE,L 17-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Charles Sims,False,17,22
2014.0,2014-11-09,9.0,10.0,24.051,TAM,ATL,L 17-27,False,8,23,2.88,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,1,1,0,0,0,0,23,32%,0,0%,0,0%,False,Charles Sims,False,17,27
2014.0,2014-11-16,10.0,11.0,24.058,TAM,WAS,W 27-7,False,13,36,2.77,0,4,3,8,2.67,0,75.0%,2.00,0,0,,0,0,0,0,0,0,0,0,0,31,62%,0,0%,0,0%,True,Charles Sims,True,27,7
2014.0,2014-11-23,11.0,12.0,24.065,TAM,CHI,L 13-21,False,6,22,3.67,0,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0,0,0,0,0,0,25,33%,0,0%,0,0%,True,Charles Sims,False,13,21
2014.0,2014-11-30,12.0,13.0,24.072,TAM,CIN,L 13-14,False,5,6,1.20,0,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,0,0,0,0,0,0,20,31%,0,0%,0,0%,False,Charles Sims,False,13,14
2014.0,2014-12-07,13.0,14.0,24.079,TAM,DET,L 17-34,False,5,-4,-0.80,0,2,1,24,24.00,0,50.0%,12.00,0,0,,0,0,0,0,0,0,0,0,0,40,62%,0,0%,0,0%,True,Charles Sims,False,17,34
2014.0,2014-12-14,14.0,15.0,24.086,TAM,CAR,L 17-19,False,7,34,4.86,0,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,1,0,0,0,0,0,25,45%,0,0%,0,0%,True,Charles Sims,False,17,19
2014.0,2014-12-21,15.0,16.0,24.093,TAM,GNB,L 3-20,False,4,-1,-0.25,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,0,0,0,0,0,0,31,63%,0,0%,0,0%,False,Charles Sims,False,3,20
2014.0,2014-12-28,16.0,17.0,24.1,TAM,NOR,L 20-23,False,18,69,3.83,1,2,1,6,6.00,0,50.0%,3.00,0,0,,0,1,6,0,0,0,0,0,0,36,54%,0,0%,0,0%,False,Charles Sims,False,20,23
2015.0,2015-09-13,1.0,1.0,24.359,TAM,TEN,L 14-42,False,5,12,2.40,0,5,2,23,11.50,0,40.0%,4.60,0,0,,0,0,0,0,0,0,0,0,0,28,40%,0,0%,0,0%,False,Charles Sims,False,14,42
2015.0,2015-09-20,2.0,2.0,25.001,TAM,NOR,W 26-19,False,8,38,4.75,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,0,0,0,0,0,0,27,41%,0,0%,0,0%,True,Charles Sims,True,26,19
2015.0,2015-09-27,3.0,3.0,25.008,TAM,HOU,L 9-19,False,6,11,1.83,0,2,2,41,20.50,1,100.0%,20.50,0,0,,0,1,6,0,0,0,0,0,0,30,51%,0,0%,0,0%,True,Charles Sims,False,9,19
2015.0,2015-10-04,4.0,4.0,25.015,TAM,CAR,L 23-37,False,6,23,3.83,0,5,3,30,10.00,1,60.0%,6.00,0,0,,0,1,6,0,0,0,0,0,0,39,49%,0,0%,0,0%,False,Charles Sims,False,23,37
2015.0,2015-10-11,5.0,5.0,25.022,TAM,JAX,W 38-31,False,12,51,4.25,0,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,0,0,0,0,0,0,26,39%,0,0%,1,3%,False,Charles Sims,True,38,31
2015.0,2015-10-25,6.0,7.0,25.036,TAM,WAS,L 30-31,False,10,49,4.90,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,1,1,0,0,0,0,23,36%,0,0%,0,0%,True,Charles Sims,False,30,31
2015.0,2015-11-01,7.0,8.0,25.043,TAM,ATL,W 23-20,False,6,22,3.67,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0,0,0,0,0,0,29,41%,0,0%,0,0%,True,Charles Sims,True,23,20
2015.0,2015-11-08,8.0,9.0,25.05,TAM,NYG,L 18-32,False,8,78,9.75,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,1,1,0,0,0,0,32,51%,0,0%,0,0%,False,Charles Sims,False,18,32
2015.0,2015-11-15,9.0,10.0,25.057,TAM,DAL,W 10-6,False,5,18,3.60,0,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,0,0,0,0,0,0,26,37%,0,0%,0,0%,False,Charles Sims,True,10,6
2015.0,2015-11-22,10.0,11.0,25.064,TAM,PHI,W 45-17,False,10,43,4.30,0,4,3,26,8.67,1,75.0%,6.50,0,0,,0,1,6,0,0,0,0,0,0,28,36%,0,0%,0,0%,True,Charles Sims,True,45,17
2015.0,2015-11-29,11.0,12.0,25.071,TAM,IND,L 12-25,False,4,8,2.00,0,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,0,0,0,0,0,0,30,45%,0,0%,0,0%,True,Charles Sims,False,12,25
2015.0,2015-12-06,12.0,13.0,25.078,TAM,ATL,W 23-19,False,7,56,8.00,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,0,0,0,0,0,0,22,31%,0,0%,0,0%,False,Charles Sims,True,23,19
2015.0,2015-12-13,13.0,14.0,25.085,TAM,NOR,L 17-24,False,5,10,2.00,0,8,6,64,10.67,0,75.0%,8.00,0,0,,0,0,0,0,0,0,0,0,0,27,49%,0,0%,0,0%,False,Charles Sims,False,17,24
2015.0,2015-12-17,14.0,15.0,25.089,TAM,STL,L 23-31,False,7,50,7.14,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,0,0,0,0,0,0,30,37%,0,0%,0,0%,True,Charles Sims,False,23,31
2015.0,2015-12-27,15.0,16.0,25.099,TAM,CHI,L 21-26,False,4,45,11.25,0,5,3,72,24.00,1,60.0%,14.40,0,0,,0,1,6,0,0,0,0,0,0,24,43%,0,0%,0,0%,False,Charles Sims,False,21,26
2015.0,2016-01-03,16.0,17.0,25.106,TAM,CAR,L 10-38,False,4,15,3.75,0,11,9,74,8.22,0,81.8%,6.73,0,0,,0,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,True,Charles Sims,False,10,38
