Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2007.0,2007-11-05,8.0,9.0,25.084,BAL,PIT,L 7-38,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,10,436,43.60,0,,,,,,,True,Sam Koch,False,7,38
2007.0,2007-11-11,9.0,10.0,25.09,BAL,CIN,L 7-21,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,3,110,36.67,0,,,,,,,False,Sam Koch,False,7,21
2007.0,2007-11-18,10.0,11.0,25.097,BAL,CLE,L 30-33,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,4,194,48.50,0,,,,,,,False,Sam Koch,False,30,33
2007.0,2007-11-25,11.0,12.0,25.104,BAL,SDG,L 14-32,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,6,222,37.00,0,,,,,,,True,Sam Koch,False,14,32
2007.0,2007-12-03,12.0,13.0,25.112,BAL,NWE,L 24-27,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,5,191,38.20,0,,,,,,,False,Sam Koch,False,24,27
2007.0,2007-12-09,13.0,14.0,25.118,BAL,IND,L 20-44,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,1,35,35.00,1,,,,,,,False,Sam Koch,False,20,44
2007.0,2007-12-16,14.0,15.0,25.125,BAL,MIA,L 16-22,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,4,200,50.00,0,,,,,,,True,Sam Koch,False,16,22
2007.0,2007-12-23,15.0,16.0,25.132,BAL,SEA,L 6-27,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,9,369,41.00,0,,,,,,,True,Sam Koch,False,6,27
2007.0,2007-12-30,16.0,17.0,25.139,BAL,PIT,W 27-21,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,4,188,47.00,0,,,,,,,False,Sam Koch,True,27,21
2008.0,2008-09-07,1.0,1.0,26.025,BAL,CIN,W 17-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,241,48.20,0,,,,,,,False,Sam Koch,True,17,10
2008.0,2008-09-21,2.0,3.0,26.039,BAL,CLE,W 28-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,146,48.67,0,,,,,,,False,Sam Koch,True,28,10
2008.0,2008-09-29,3.0,4.0,26.047,BAL,PIT,L 20-23,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,8,379,47.38,0,,,,,,,True,Sam Koch,False,20,23
2008.0,2008-10-05,4.0,5.0,26.053,BAL,TEN,L 10-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,4,156,39.00,0,,,,,,,False,Sam Koch,False,10,13
2008.0,2008-10-12,5.0,6.0,26.06,BAL,IND,L 3-31,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,245,49.00,0,,,,,,,True,Sam Koch,False,3,31
2008.0,2008-10-19,6.0,7.0,26.067,BAL,MIA,W 27-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,177,59.00,0,,,,,,,True,Sam Koch,True,27,13
2008.0,2008-10-26,7.0,8.0,26.074,BAL,OAK,W 29-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,6,242,40.33,0,,,,,,,False,Sam Koch,True,29,10
2008.0,2008-11-02,8.0,9.0,26.081,BAL,CLE,W 37-27,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,6,250,41.67,0,,,,,,,True,Sam Koch,True,37,27
2008.0,2008-11-09,9.0,10.0,26.088,BAL,HOU,W 41-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,200,50.00,0,,,,,,,True,Sam Koch,True,41,13
2008.0,2008-11-16,10.0,11.0,26.095,BAL,NYG,L 10-30,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,94,31.33,0,,,,,,,True,Sam Koch,False,10,30
2008.0,2008-11-23,11.0,12.0,26.102,BAL,PHI,W 36-7,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,8,362,45.25,0,,,,,,,False,Sam Koch,True,36,7
2008.0,2008-11-30,12.0,13.0,26.109,BAL,CIN,W 34-3,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,7,331,47.29,0,,,,,,,True,Sam Koch,True,34,3
2008.0,2008-12-07,13.0,14.0,26.116,BAL,WAS,W 24-10,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,6,248,41.33,0,,,,,,,False,Sam Koch,True,24,10
2008.0,2008-12-14,14.0,15.0,26.123,BAL,PIT,L 9-13,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,7,292,41.71,0,,,,,,,False,Sam Koch,False,9,13
2008.0,2008-12-20,15.0,16.0,26.129,BAL,DAL,W 33-24,False,0,0,,0,0,0,,,,,,1,9,9.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,5,261,52.20,0,,,,,,,True,Sam Koch,True,33,24
2008.0,2008-12-28,16.0,17.0,26.137,BAL,JAX,W 27-7,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,153,38.25,0,,,,,,,False,Sam Koch,True,27,7
2009.0,2009-09-13,1.0,1.0,27.031,BAL,KAN,W 38-24,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,2,87,43.50,1,,,,,,,False,Sam Koch,True,38,24
2009.0,2009-09-20,2.0,2.0,27.038,BAL,SDG,W 31-26,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,166,41.50,0,,,,,,,True,Sam Koch,True,31,26
2009.0,2009-09-27,3.0,3.0,27.045,BAL,CLE,W 34-3,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,4,176,44.00,0,,,,,,,False,Sam Koch,True,34,3
2009.0,2009-10-04,4.0,4.0,27.052,BAL,NWE,L 21-27,False,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,3,139,46.33,0,,,,,,,True,Sam Koch,False,21,27
