Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2017,2017-09-10,1,1,21.030,CAR,@,SFO,W 23-3,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,18%,0,0%,8,40%,True,Curtis Samuel
2017,2017-09-17,2,2,21.037,CAR,,BUF,W 9-3,False,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,19%,0,0%,13,59%,False,Curtis Samuel
2017,2017-09-24,3,3,21.044,CAR,,NOR,L 13-34,True,5,2,5,2.50,0,40.0%,1.00,1,31,31.00,0,1,30,30.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,61%,0,0%,12,46%,False,Curtis Samuel
2017,2017-10-01,4,4,,CAR,@,NWE,W 33-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Curtis Samuel
2017,2017-10-08,5,5,21.058,CAR,@,DET,W 27-24,False,2,0,0,,0,0.0%,0.00,0,0,,0,3,44,14.67,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,20,62%,True,Curtis Samuel
2017,2017-10-12,6,6,21.062,CAR,,PHI,L 23-28,False,0,0,0,,0,0.0%,,1,8,8.00,0,1,33,33.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,28%,0,0%,21,66%,False,Curtis Samuel
2017,2017-10-22,7,7,21.072,CAR,@,CHI,L 3-17,True,1,1,20,20.00,0,100.0%,20.00,0,0,,0,2,43,21.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,26%,0,0%,16,73%,True,Curtis Samuel
2017,2017-10-29,8,8,21.079,CAR,@,TAM,W 17-3,False,3,2,15,7.50,0,66.7%,5.00,1,11,11.00,0,1,23,23.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,14,61%,True,Curtis Samuel
2017,2017-11-05,9,9,21.086,CAR,,ATL,W 20-17,True,5,3,23,7.67,0,60.0%,4.60,1,14,14.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,75%,0,0%,10,40%,False,Curtis Samuel
2017,2017-11-13,10,10,21.094,CAR,,MIA,W 45-21,True,7,5,45,9.00,0,71.4%,6.43,0,0,,0,2,48,24.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,55%,0,0%,7,25%,False,Curtis Samuel
2017,2017-11-26,11,12,,CAR,@,NYJ,W 35-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Curtis Samuel
2017,2017-12-03,12,13,,CAR,@,NOR,L 21-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Curtis Samuel
2017,2017-12-10,13,14,,CAR,,MIN,W 31-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Curtis Samuel
2017,2017-12-17,14,15,,CAR,,GNB,W 31-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Curtis Samuel
2017,2017-12-24,15,16,,CAR,,TAM,W 22-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Curtis Samuel
2017,2017-12-31,16,17,,CAR,@,ATL,L 10-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Curtis Samuel
2018,2018-09-09,1,1,,CAR,,DAL,W 16-8,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Curtis Samuel
2018,2018-09-16,2,2,,CAR,@,ATL,L 24-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Curtis Samuel
2018,2018-09-23,3,3,,CAR,,CIN,W 31-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Curtis Samuel
2018,2018-10-07,4,5,22.057,CAR,,NYG,W 33-31,False,4,2,37,18.50,1,50.0%,9.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,12,17%,0,0%,12,38%,False,Curtis Samuel
2018,2018-10-14,5,6,22.064,CAR,@,WAS,L 17-23,False,0,0,0,,0,0.0%,,0,0,,0,2,37,18.50,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,3,5%,0,0%,16,67%,True,Curtis Samuel
2018,2018-10-21,6,7,22.071,CAR,@,PHI,W 21-17,False,1,1,16,16.00,0,100.0%,16.00,2,9,4.50,1,2,51,25.50,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,19,32%,0,0%,16,73%,True,Curtis Samuel
2018,2018-10-28,7,8,22.078,CAR,,BAL,W 36-21,True,3,3,28,9.33,0,100.0%,9.33,0,0,,0,1,14,14.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,40%,0,0%,17,61%,False,Curtis Samuel
2018,2018-11-04,8,9,22.085,CAR,,TAM,W 42-28,True,4,2,25,12.50,1,50.0%,6.25,1,33,33.00,1,0,0,,0,2,12,0.0,1,0,1,0,0,0,0,0,0,0,0,17,27%,0,0%,20,62%,False,Curtis Samuel
2018,2018-11-08,9,10,22.089,CAR,@,PIT,L 21-52,False,4,4,18,4.50,0,100.0%,4.50,1,1,1.00,0,5,107,21.40,0,0,0,0.0,2,0,2,0,0,1,1,0,0,0,0,19,33%,0,0%,20,65%,True,Curtis Samuel
2018,2018-11-18,10,11,22.099,CAR,@,DET,L 19-20,False,7,5,55,11.00,1,71.4%,7.86,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,16,28%,0,0%,8,30%,True,Curtis Samuel
2018,2018-11-25,11,12,22.106,CAR,,SEA,L 27-30,True,2,2,17,8.50,1,100.0%,8.50,1,25,25.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,92%,0,0%,3,11%,False,Curtis Samuel
2018,2018-12-02,12,13,22.113,CAR,@,TAM,L 17-24,True,11,6,88,14.67,0,54.5%,8.00,1,8,8.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58,83%,0,0%,1,4%,True,Curtis Samuel
2018,2018-12-09,13,14,22.120,CAR,@,CLE,L 20-26,True,8,4,80,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,93%,0,0%,0,0%,True,Curtis Samuel
2018,2018-12-17,14,15,22.128,CAR,,NOR,L 9-12,True,4,1,17,17.00,0,25.0%,4.25,2,8,4.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,95%,0,0%,1,5%,False,Curtis Samuel
2018,2018-12-23,15,16,22.134,CAR,,ATL,L 10-24,True,13,7,41,5.86,0,53.8%,3.15,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,86%,0,0%,0,0%,False,Curtis Samuel
2018,2018-12-30,16,17,22.141,CAR,@,NOR,W 33-14,True,4,2,72,36.00,1,50.0%,18.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,56%,0,0%,0,0%,True,Curtis Samuel
2019,2019-09-08,1,1,23.028,CAR,,LAR,L 27-30,True,4,3,32,10.67,0,75.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,1,3%,False,Curtis Samuel
2019,2019-09-12,2,2,23.032,CAR,,TAM,L 14-20,True,13,5,91,18.20,0,38.5%,7.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,97%,0,0%,0,0%,False,Curtis Samuel
2019,2019-09-22,3,3,23.042,CAR,@,ARI,W 38-20,True,7,5,53,10.60,1,71.4%,7.57,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,47,78%,0,0%,0,0%,True,Curtis Samuel
2019,2019-09-29,4,4,23.049,CAR,@,HOU,W 16-10,True,7,3,32,10.67,0,42.9%,4.57,1,1,1.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,90%,0,0%,0,0%,True,Curtis Samuel
2019,2019-10-06,5,5,23.056,CAR,,JAX,W 34-27,True,6,3,19,6.33,0,50.0%,3.17,2,25,12.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,57,90%,0,0%,0,0%,False,Curtis Samuel
2019,2019-10-13,6,6,23.063,CAR,@,TAM,W 37-26,True,6,4,70,17.50,1,66.7%,11.67,1,8,8.00,1,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,Curtis Samuel
2019,2019-10-27,7,8,23.077,CAR,@,SFO,L 13-51,True,11,4,46,11.50,0,36.4%,4.18,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,88%,0,0%,0,0%,True,Curtis Samuel
2019,2019-11-03,8,9,23.084,CAR,,TEN,W 30-20,True,6,3,64,21.33,1,50.0%,10.67,1,10,10.00,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,75%,0,0%,0,0%,False,Curtis Samuel
2019,2019-11-10,9,10,23.091,CAR,@,GNB,L 16-24,False,8,4,35,8.75,1,50.0%,4.38,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,83%,0,0%,0,0%,True,Curtis Samuel
2019,2019-11-17,10,11,23.098,CAR,,ATL,L 3-29,True,6,4,25,6.25,0,66.7%,4.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,96%,0,0%,0,0%,False,Curtis Samuel
2019,2019-11-24,11,12,23.105,CAR,@,NOR,L 31-34,True,4,1,9,9.00,0,25.0%,2.25,4,40,10.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,84%,0,0%,0,0%,True,Curtis Samuel
2019,2019-12-01,12,13,23.112,CAR,,WAS,L 21-29,True,7,4,65,16.25,1,57.1%,9.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,93%,0,0%,1,3%,False,Curtis Samuel
2019,2019-12-08,13,14,23.119,CAR,@,ATL,L 20-40,True,4,2,25,12.50,0,50.0%,6.25,3,17,5.67,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,92%,0,0%,1,3%,True,Curtis Samuel
2019,2019-12-15,14,15,23.126,CAR,,SEA,L 24-30,True,7,5,31,6.20,1,71.4%,4.43,4,23,5.75,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,92%,0,0%,0,0%,False,Curtis Samuel
2019,2019-12-22,15,16,23.133,CAR,@,IND,L 6-38,True,5,2,17,8.50,0,40.0%,3.40,2,4,2.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,76%,0,0%,0,0%,True,Curtis Samuel
2019,2019-12-29,16,17,23.140,CAR,,NOR,L 10-42,True,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,65%,0,0%,0,0%,False,Curtis Samuel
2020,2020-09-13,1,1,24.033,CAR,,LVR,L 30-34,False,8,5,38,7.60,0,62.5%,4.75,1,5,5.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,75%,0,0%,0,0%,False,Curtis Samuel
2020,2020-09-20,2,2,24.040,CAR,@,TAM,L 17-31,False,2,2,13,6.50,0,100.0%,6.50,4,26,6.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,70%,0,0%,1,4%,True,Curtis Samuel
2020,2020-09-27,3,3,24.047,CAR,@,LAC,W 21-16,True,4,4,45,11.25,0,100.0%,11.25,4,7,1.75,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,65%,0,0%,0,0%,True,Curtis Samuel
2020,2020-10-04,4,4,24.054,CAR,,ARI,W 31-21,False,4,3,51,17.00,0,75.0%,12.75,2,-3,-1.50,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,47%,0,0%,0,0%,False,Curtis Samuel
2020,2020-10-11,5,5,24.061,CAR,@,ATL,W 23-16,True,5,5,36,7.20,0,100.0%,7.20,4,28,7.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,True,Curtis Samuel
2020,2020-10-18,6,6,,CAR,,CHI,L 16-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Curtis Samuel
2020,2020-10-25,7,7,24.075,CAR,@,NOR,L 24-27,False,6,6,48,8.00,0,100.0%,8.00,1,5,5.00,1,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,22,48%,0,0%,0,0%,True,Curtis Samuel
