Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Away_status,Win,Score,Opp Score,Player
2000,2000-09-10,1,2,24.025,CIN,CLE,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,False,False,7,24,Neil Rackers
2000,2000-09-17,2,3,24.032,CIN,JAX,False,0,0,,0,,,,,2,0.0,0,0,0.0,,,,,,0,0,,0,True,False,0,13,Neil Rackers
2000,2000-09-24,3,4,24.039,CIN,BAL,False,,,,,,,,,,,0,0,0.0,,,,,,0,0,,,True,False,0,37,Neil Rackers
2000,2000-10-01,4,5,24.046,CIN,MIA,False,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,,,,0,0,,0,False,False,16,31,Neil Rackers
2000,2000-10-08,5,6,24.053,CIN,TEN,False,0,0,,0,2,2,100.0,,2,0.0,0,2,0.0,,,,,,0,0,,0,False,False,14,23,Neil Rackers
2000,2000-10-15,6,7,24.060,CIN,PIT,False,1,-5,-5.00,0,,,,,,,0,0,0.0,0,0,0,0,,0,0,,0,True,False,0,15,Neil Rackers
2000,2000-10-22,7,8,24.067,CIN,DEN,False,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0,0,,0,False,True,31,21,Neil Rackers
2000,2000-10-29,8,9,24.074,CIN,CLE,False,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,,0,0,,0,True,True,12,3,Neil Rackers
2000,2000-11-05,9,10,24.081,CIN,BAL,False,0,0,,0,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,False,False,7,27,Neil Rackers
2000,2000-11-12,10,11,24.088,CIN,DAL,False,0,0,,0,,,,2,2,100.0,0,6,0.0,,,,,,0,0,,0,True,False,6,23,Neil Rackers
2000,2000-11-19,11,12,24.095,CIN,NWE,False,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0,0,,0,True,False,13,16,Neil Rackers
2000,2000-11-26,12,13,24.102,CIN,PIT,False,0,0,,0,4,4,100.0,,,,0,4,0.0,,,,,,0,0,,,False,False,28,48,Neil Rackers
2000,2000-12-03,13,14,24.109,CIN,ARI,False,0,0,,0,3,3,100.0,1,3,33.3,0,6,0.0,,,,,,0,0,,0,False,True,24,13,Neil Rackers
2000,2000-12-10,14,15,24.116,CIN,TEN,False,0,0,,0,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,True,False,3,35,Neil Rackers
2000,2000-12-17,15,16,24.123,CIN,JAX,False,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,1,0,1,0,,0,0,,0,False,True,17,14,Neil Rackers
2000,2000-12-24,16,17,24.130,CIN,PHI,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,True,False,7,16,Neil Rackers
2001,2001-09-09,1,1,25.024,CIN,NWE,False,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,False,True,23,17,Neil Rackers
2001,2001-09-23,2,2,25.038,CIN,BAL,False,0,0,,0,3,3,100.0,,3,0.0,0,3,0.0,0,0,0,0,,0,0,,0,False,True,21,10,Neil Rackers
2001,2001-09-30,3,3,25.045,CIN,SDG,False,0,0,,0,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,True,False,14,28,Neil Rackers
2001,2001-10-07,4,4,25.052,CIN,PIT,False,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,,,,0,0,,0,True,False,7,16,Neil Rackers
2001,2001-10-14,5,5,25.059,CIN,CLE,False,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,0,,0,False,True,24,14,Neil Rackers
2001,2001-10-21,6,6,25.066,CIN,CHI,False,0,0,,0,,,,,1,0.0,0,0,0.0,,,,,,0,0,,0,False,False,0,24,Neil Rackers
2001,2001-10-28,7,7,25.073,CIN,DET,False,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,True,True,31,27,Neil Rackers
2001,2001-11-11,8,9,25.087,CIN,JAX,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,True,False,13,30,Neil Rackers
2001,2001-11-18,9,10,25.094,CIN,TEN,False,0,0,,0,1,1,100.0,,,,0,1,0.0,0,0,0,0,,1,32,32.00,0,False,False,7,20,Neil Rackers
2001,2001-11-25,10,11,25.101,CIN,CLE,False,0,0,,0,,,,,2,0.0,0,0,0.0,0,0,0,0,,0,0,,0,True,False,0,18,Neil Rackers
2001,2001-12-02,11,12,25.108,CIN,TAM,False,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,False,False,13,16,Neil Rackers
