Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-12-09,13,14,22.109,GNB,,DET,W 27-20,True,7,7,102,14.57,0,100.0%,14.57,0,0,,0,0,0,,0,0,0,,0,0,,,3,76,25.33,0,1,13,13.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,77%,0,0%,7,26%,False,Randall Cobb
2012,2012-12-16,14,15,22.116,GNB,@,CHI,W 21-13,False,8,6,115,19.17,0,75.0%,14.38,0,0,,0,0,0,,0,0,0,,0,0,,,2,37,18.50,0,3,-2,-0.67,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,57,77%,0,0%,10,36%,True,Randall Cobb
2012,2012-12-23,15,16,22.123,GNB,,TEN,W 55-7,True,5,3,62,20.67,1,60.0%,12.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,39,13.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,53%,0,0%,6,18%,False,Randall Cobb
2012,2012-12-30,16,17,,GNB,@,MIN,L 34-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Randall Cobb
2013,2013-09-08,1,1,23.017,GNB,@,SFO,L 28-34,True,12,7,108,15.43,1,58.3%,9.00,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,85%,0,0%,3,9%,True,Randall Cobb
2013,2013-09-15,2,2,23.024,GNB,,WAS,W 38-20,False,10,9,128,14.22,1,90.0%,12.80,0,0,,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,88%,0,0%,5,18%,False,Randall Cobb
2013,2013-09-22,3,3,23.031,GNB,@,CIN,L 30-34,True,11,5,54,10.80,0,45.5%,4.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,98%,0,0%,2,7%,True,Randall Cobb
2013,2013-10-06,4,5,23.045,GNB,,DET,W 22-9,True,8,4,35,8.75,0,50.0%,4.38,2,72,36.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,96%,0,0%,5,19%,False,Randall Cobb
2013,2013-10-13,5,6,23.052,GNB,@,BAL,W 19-17,True,4,4,53,13.25,0,100.0%,13.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,53%,0,0%,2,6%,True,Randall Cobb
2013,2013-10-20,6,7,,GNB,,CLE,W 31-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Randall Cobb
