Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
1992,1992-09-06,1,1,22.081,DET,CHI,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,False,24,27,Jason Hanson
1992,1992-09-13,2,2,22.088,DET,MIN,False,4,4,100.0,1,2,50.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,True,31,17,Jason Hanson
1992,1992-09-20,3,3,22.095,DET,WAS,False,1,1,100.0,1,3,33.3,0,4,0.0,,,,,,0,0,,0,,,,,,,True,False,10,13,Jason Hanson
1992,1992-09-27,4,4,22.102,DET,TAM,False,2,2,100.0,3,4,75.0,0,11,0.0,,,,,,0,0,,0,,,,,,,False,False,23,27,Jason Hanson
1992,1992-10-04,5,5,22.109,DET,NOR,False,1,1,100.0,,,,0,1,0.0,,,,,,0,0,,,,,,,,,False,False,7,13,Jason Hanson
1992,1992-10-15,6,7,22.120,DET,MIN,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,False,14,31,Jason Hanson
1992,1992-10-25,7,8,22.130,DET,TAM,False,5,5,100.0,1,1,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,True,True,38,7,Jason Hanson
1992,1992-11-01,8,9,22.137,DET,GNB,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,False,13,27,Jason Hanson
1992,1992-11-08,9,10,22.144,DET,DAL,False,,,,1,1,100.0,0,3,0.0,,,,,,0,0,,0,,,,,,,False,False,3,37,Jason Hanson
1992,1992-11-15,10,11,22.151,DET,PIT,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,False,14,17,Jason Hanson
1992,1992-11-22,11,12,22.158,DET,CIN,False,1,1,100.0,4,4,100.0,0,13,0.0,,,,,,0,0,,0,,,,,,,True,True,19,13,Jason Hanson
1992,1992-11-26,12,13,22.162,DET,HOU,False,3,3,100.0,,,,0,3,0.0,,,,,,0,0,,,,,,,,,False,False,21,24,Jason Hanson
1992,1992-12-06,13,14,22.172,DET,GNB,False,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,True,False,10,38,Jason Hanson
1992,1992-12-13,14,15,22.179,DET,CLE,False,3,3,100.0,1,2,50.0,0,6,0.0,,,,,,0,0,,0,,,,,,,False,True,24,14,Jason Hanson
