Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-12-16,14,15,,BUF,,DET,W 14-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Corey Bojorquez
2018,2018-12-23,15,16,,BUF,@,NWE,L 12-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Corey Bojorquez
2018,2018-12-30,16,17,,BUF,,MIA,W 42-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Corey Bojorquez
2019,2019-09-08,1,1,22.360,BUF,@,NYJ,W 17-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,130,43.33,0,0,0%,0,0%,7,30%,True,Corey Bojorquez
2019,2019-09-15,2,2,23.002,BUF,@,NYG,W 28-14,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,325,46.43,0,0,0%,0,0%,12,43%,True,Corey Bojorquez
2019,2019-09-22,3,3,23.009,BUF,,CIN,W 21-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,173,34.60,0,1,1%,0,0%,9,33%,False,Corey Bojorquez
2019,2019-09-29,4,4,23.016,BUF,,NWE,L 10-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,180,36.00,1,0,0%,0,0%,9,32%,False,Corey Bojorquez
2019,2019-10-06,5,5,23.023,BUF,@,TEN,W 14-7,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,300,50.00,0,0,0%,0,0%,9,36%,True,Corey Bojorquez
2019,2019-10-20,6,7,23.037,BUF,,MIA,W 31-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,127,42.33,0,0,0%,0,0%,8,30%,False,Corey Bojorquez
2019,2019-10-27,7,8,23.044,BUF,,PHI,L 13-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,257,42.83,0,0,0%,0,0%,9,35%,False,Corey Bojorquez
2019,2019-11-03,8,9,23.051,BUF,,WAS,W 24-9,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,120,40.00,0,0,0%,0,0%,7,29%,False,Corey Bojorquez
2019,2019-11-10,9,10,23.058,BUF,@,CLE,L 16-19,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,199,49.75,0,0,0%,0,0%,8,33%,True,Corey Bojorquez
2019,2019-11-17,10,11,23.065,BUF,@,MIA,W 37-20,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,5,218,43.60,0,0,0%,0,0%,12,38%,True,Corey Bojorquez
2019,2019-11-24,11,12,23.072,BUF,,DEN,W 20-3,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,128,32.00,0,0,0%,0,0%,8,33%,False,Corey Bojorquez
2019,2019-11-28,12,13,23.076,BUF,@,DAL,W 26-15,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,126,42.00,0,0,0%,0,0%,9,39%,True,Corey Bojorquez
2019,2019-12-08,13,14,23.086,BUF,,BAL,L 17-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,7,300,42.86,0,0,0%,0,0%,10,32%,False,Corey Bojorquez
2019,2019-12-15,14,15,23.093,BUF,@,PIT,W 17-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,249,41.50,0,0,0%,0,0%,9,38%,True,Corey Bojorquez
2019,2019-12-21,15,16,23.099,BUF,@,NWE,L 17-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,266,44.33,0,0,0%,0,0%,10,38%,True,Corey Bojorquez
2019,2019-12-29,16,17,23.107,BUF,,NYJ,L 6-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,6,215,35.83,0,0,0%,0,0%,8,32%,False,Corey Bojorquez
2020,2020-09-13,1,1,24.000,BUF,,NYJ,W 27-17,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1,53,53.00,0,0,0%,0,0%,8,31%,False,Corey Bojorquez
2020,2020-09-20,2,2,24.007,BUF,@,MIA,W 31-28,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,164,41.00,0,0,0%,0,0%,9,30%,True,Corey Bojorquez
2020,2020-09-27,3,3,24.014,BUF,,LAR,W 35-32,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,2,116,58.00,0,0,0%,0,0%,7,29%,False,Corey Bojorquez
2020,2020-10-04,4,4,24.021,BUF,@,LVR,W 30-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,3,139,46.33,0,0,0%,0,0%,9,33%,True,Corey Bojorquez
2020,2020-10-13,5,5,24.030,BUF,@,TEN,L 16-42,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,1,0,0,0,0,0,0,0,0,2,128,64.00,0,0,0%,0,0%,4,16%,True,Corey Bojorquez
2020,2020-10-19,6,6,24.036,BUF,,KAN,L 17-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,4,213,53.25,0,0,0%,0,0%,8,32%,False,Corey Bojorquez
