Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-11-26,11.0,12.0,22.123,CHI,PHI,L 3-31,False,2,-11,-5.50,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,35%,0,0%,8,35%,True,Tarik Cohen,False,3,31
2017.0,2017-12-03,12.0,13.0,22.13,CHI,SFO,L 14-15,True,2,5,2.50,0,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,0,0,,,1,2,2.00,0,2,68,34.00,1,1,6,0.0,0,0,0,,,0,0,0,0,0,0,16,43%,0,0%,8,35%,False,Tarik Cohen,False,14,15
2017.0,2017-12-10,13.0,14.0,22.137,CHI,CIN,W 33-7,False,12,80,6.67,0,2,2,5,2.50,0,100.0%,2.50,0,0,,0,0,0,,0,0,,,2,39,19.50,0,2,7,3.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,49%,0,0%,7,29%,True,Tarik Cohen,True,33,7
2017.0,2017-12-16,14.0,15.0,22.143,CHI,DET,L 10-20,True,2,1,0.50,0,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,,,3,62,20.67,0,1,2,2.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,36%,0,0%,9,39%,True,Tarik Cohen,False,10,20
2017.0,2017-12-24,15.0,16.0,22.151,CHI,CLE,W 20-3,False,2,9,4.50,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,0,0,,0,3,27,9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,29%,0,0%,9,36%,False,Tarik Cohen,True,20,3
2017.0,2017-12-31,16.0,17.0,22.158,CHI,MIN,L 10-23,False,3,13,4.33,0,8,6,14,2.33,0,75.0%,1.75,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,67,22.33,0,1,13,13.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,34%,0,0%,13,45%,True,Tarik Cohen,False,10,23
2018.0,2018-09-09,1.0,1.0,23.045,CHI,GNB,L 23-24,True,5,25,5.00,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,45,22.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,40%,0,0%,4,14%,True,Tarik Cohen,False,23,24
2018.0,2018-09-17,2.0,2.0,23.053,CHI,SEA,W 24-17,False,4,8,2.00,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,,,0,0,,0,4,58,14.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,32%,0,0%,8,30%,False,Tarik Cohen,True,24,17
2018.0,2018-09-23,3.0,3.0,23.059,CHI,ARI,W 16-14,True,5,53,10.60,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,2,24,12.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,41%,0,0%,4,18%,True,Tarik Cohen,True,16,14
2018.0,2018-09-30,4.0,4.0,23.066,CHI,TAM,W 48-10,True,13,53,4.08,0,8,7,121,17.29,1,87.5%,15.13,0,0,,0,0,0,,0,0,,,0,0,,0,3,14,4.67,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,29,48%,0,0%,5,18%,False,Tarik Cohen,True,48,10
