Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2007.0,2007-11-25,11.0,12.0,22.259,CHI,DEN,W 37-34,False,4,1,10,10.00,0,25.0%,2.50,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,37,34
2007.0,2007-12-02,12.0,13.0,22.266,CHI,NYG,L 16-21,False,3,2,7,3.50,0,66.7%,2.33,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,16,21
2007.0,2007-12-06,13.0,14.0,22.27,CHI,WAS,L 16-24,False,8,3,31,10.33,0,37.5%,3.88,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,16,24
2007.0,2007-12-17,14.0,15.0,22.281,CHI,MIN,L 13-20,False,3,2,18,9.00,0,66.7%,6.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,13,20
2007.0,2007-12-23,15.0,16.0,22.287,CHI,GNB,W 35-7,False,2,1,10,10.00,0,50.0%,5.00,1,0,2,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,35,7
2007.0,2007-12-30,16.0,17.0,22.294,CHI,NOR,W 33-25,True,7,2,17,8.50,0,28.6%,2.43,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,33,25
2008.0,2008-09-07,1.0,1.0,23.18,CHI,IND,W 29-13,True,2,2,36,18.00,0,100.0%,18.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,29,13
2008.0,2008-09-14,2.0,2.0,23.187,CHI,CAR,L 17-20,False,2,2,7,3.50,0,100.0%,3.50,,0,0,2,2,0,0,0,0,,,,,,,True,Greg Olsen,False,17,20
2008.0,2008-09-21,3.0,3.0,23.194,CHI,TAM,L 24-27,False,3,2,16,8.00,0,66.7%,5.33,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,24,27
2008.0,2008-09-28,4.0,4.0,23.201,CHI,PHI,W 24-20,False,7,4,35,8.75,1,57.1%,5.00,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,24,20
2008.0,2008-10-05,5.0,5.0,23.208,CHI,DET,W 34-7,False,3,3,87,29.00,0,100.0%,29.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,34,7
2008.0,2008-10-12,6.0,6.0,23.215,CHI,ATL,L 20-22,False,8,3,41,13.67,0,37.5%,5.13,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,20,22
2008.0,2008-10-19,7.0,7.0,23.222,CHI,MIN,W 48-41,False,8,6,74,12.33,1,75.0%,9.25,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,48,41
2008.0,2008-11-02,8.0,9.0,23.236,CHI,DET,W 27-23,True,5,2,10,5.00,0,40.0%,2.00,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,27,23
2008.0,2008-11-09,9.0,10.0,23.243,CHI,TEN,L 14-21,True,5,5,40,8.00,0,100.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,14,21
2008.0,2008-11-16,10.0,11.0,23.25,CHI,GNB,L 3-37,False,4,4,45,11.25,0,100.0%,11.25,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,3,37
2008.0,2008-11-23,11.0,12.0,23.257,CHI,STL,W 27-3,False,2,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,True,Greg Olsen,True,27,3
2008.0,2008-11-30,12.0,13.0,23.264,CHI,MIN,L 14-34,True,5,1,7,7.00,0,20.0%,1.40,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,14,34
2008.0,2008-12-07,13.0,14.0,23.271,CHI,JAX,W 23-10,False,5,3,52,17.33,1,60.0%,10.40,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,23,10
2008.0,2008-12-11,14.0,15.0,23.275,CHI,NOR,W 27-24,True,10,8,45,5.63,0,80.0%,4.50,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,27,24
2008.0,2008-12-22,15.0,16.0,23.286,CHI,GNB,W 20-17,True,5,5,49,9.80,1,100.0%,9.80,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,20,17
2008.0,2008-12-28,16.0,17.0,23.292,CHI,HOU,L 24-31,True,8,4,30,7.50,1,50.0%,3.75,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,24,31
2009.0,2009-09-13,1.0,1.0,24.186,CHI,GNB,L 15-21,True,6,1,8,8.00,0,16.7%,1.33,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,15,21
2009.0,2009-09-20,2.0,2.0,24.193,CHI,PIT,W 17-14,True,6,3,41,13.67,0,50.0%,6.83,,0,0,0,,0,1,0,0,,,,,,,False,Greg Olsen,True,17,14
2009.0,2009-09-27,3.0,3.0,24.2,CHI,SEA,W 25-19,True,6,5,44,8.80,1,83.3%,7.33,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,25,19
2009.0,2009-10-04,4.0,4.0,24.207,CHI,DET,W 48-24,True,7,1,1,1.00,1,14.3%,0.14,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,48,24
2009.0,2009-10-18,5.0,6.0,24.221,CHI,ATL,L 14-21,True,10,5,57,11.40,1,50.0%,5.70,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,14,21
2009.0,2009-10-25,6.0,7.0,24.228,CHI,CIN,L 10-45,True,5,4,24,6.00,0,80.0%,4.80,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,10,45
2009.0,2009-11-01,7.0,8.0,24.235,CHI,CLE,W 30-6,True,4,3,40,13.33,0,75.0%,10.00,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,30,6
2009.0,2009-11-08,8.0,9.0,24.242,CHI,ARI,L 21-41,True,7,5,71,14.20,3,71.4%,10.14,,3,18,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,21,41
2009.0,2009-11-12,9.0,10.0,24.246,CHI,SFO,L 6-10,True,10,7,75,10.71,0,70.0%,7.50,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,6,10
2009.0,2009-11-22,10.0,11.0,24.256,CHI,PHI,L 20-24,True,12,6,42,7.00,0,50.0%,3.50,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,20,24
2009.0,2009-11-29,11.0,12.0,24.263,CHI,MIN,L 10-36,True,8,7,45,6.43,0,87.5%,5.63,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,10,36
2009.0,2009-12-06,12.0,13.0,24.27,CHI,STL,W 17-9,True,3,2,1,0.50,0,66.7%,0.33,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,17,9
2009.0,2009-12-13,13.0,14.0,24.277,CHI,GNB,L 14-21,True,5,2,14,7.00,0,40.0%,2.80,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,14,21
2009.0,2009-12-20,14.0,15.0,24.284,CHI,BAL,L 7-31,True,5,1,8,8.00,0,20.0%,1.60,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,7,31
2009.0,2009-12-28,15.0,16.0,24.292,CHI,MIN,W 36-30,True,6,3,47,15.67,1,50.0%,7.83,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,36,30
2009.0,2010-01-03,16.0,17.0,24.298,CHI,DET,W 37-23,False,8,5,94,18.80,1,62.5%,11.75,,1,6,0,,0,1,0,0,,,,,,,True,Greg Olsen,True,37,23
2010.0,2010-09-12,1.0,1.0,25.185,CHI,DET,W 19-14,True,6,4,37,9.25,0,66.7%,6.17,,0,0,1,1,0,0,0,0,,,,,,,False,Greg Olsen,True,19,14
2010.0,2010-09-19,2.0,2.0,25.192,CHI,DAL,W 27-20,True,1,1,39,39.00,1,100.0%,39.00,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,27,20
2010.0,2010-09-27,3.0,3.0,25.2,CHI,GNB,W 20-17,False,6,5,64,12.80,1,83.3%,10.67,,1,6,1,0,0,0,0,0,,,,,,,False,Greg Olsen,True,20,17
2010.0,2010-10-03,4.0,4.0,25.206,CHI,NYG,L 3-17,True,9,5,39,7.80,0,55.6%,4.33,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,3,17
2010.0,2010-10-10,5.0,5.0,25.213,CHI,CAR,W 23-6,False,2,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,True,Greg Olsen,True,23,6
2010.0,2010-10-17,6.0,6.0,25.22,CHI,SEA,L 20-23,True,4,0,0,,0,0.0%,0.00,,0,0,0,,,0,0,0,,,,,,,False,Greg Olsen,False,20,23
2010.0,2010-10-24,7.0,7.0,25.227,CHI,WAS,L 14-17,True,6,3,43,14.33,0,50.0%,7.17,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,14,17
2010.0,2010-11-07,8.0,9.0,25.241,CHI,BUF,W 22-19,True,8,3,29,9.67,1,37.5%,3.63,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,22,19
2010.0,2010-11-14,9.0,10.0,25.248,CHI,MIN,W 27-13,True,6,3,31,10.33,1,50.0%,5.17,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,27,13
2010.0,2010-11-18,10.0,11.0,25.252,CHI,MIA,W 16-0,True,6,4,40,10.00,0,66.7%,6.67,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,16,0
2010.0,2010-11-28,11.0,12.0,25.262,CHI,PHI,W 31-26,False,1,1,9,9.00,1,100.0%,9.00,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,31,26
2010.0,2010-12-05,12.0,13.0,25.269,CHI,DET,W 24-20,True,1,1,5,5.00,0,100.0%,5.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,24,20
2010.0,2010-12-12,13.0,14.0,25.276,CHI,NWE,L 7-36,True,1,1,6,6.00,0,100.0%,6.00,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,7,36
2010.0,2010-12-20,14.0,15.0,25.284,CHI,MIN,W 40-14,True,4,4,28,7.00,0,100.0%,7.00,,0,0,0,,0,1,0,0,,,,,,,True,Greg Olsen,True,40,14
2010.0,2010-12-26,15.0,16.0,25.29,CHI,NYJ,W 38-34,True,3,1,5,5.00,0,33.3%,1.67,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,38,34
2010.0,2011-01-02,16.0,17.0,25.297,CHI,GNB,L 3-10,True,6,5,29,5.80,0,83.3%,4.83,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,3,10
2011.0,2011-09-11,1.0,1.0,26.184,CAR,ARI,L 21-28,True,6,4,78,19.50,0,66.7%,13.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,21,28
2011.0,2011-09-18,2.0,2.0,26.191,CAR,GNB,L 23-30,True,4,1,34,34.00,0,25.0%,8.50,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,23,30
2011.0,2011-09-25,3.0,3.0,26.198,CAR,JAX,W 16-10,True,10,7,57,8.14,1,70.0%,5.70,1,1,8,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,16,10
2011.0,2011-10-02,4.0,4.0,26.205,CAR,CHI,L 29-34,True,7,5,50,10.00,1,71.4%,7.14,,1,6,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,29,34
2011.0,2011-10-09,5.0,5.0,26.212,CAR,NOR,L 27-30,True,5,3,21,7.00,1,60.0%,4.20,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,27,30
2011.0,2011-10-16,6.0,6.0,26.219,CAR,ATL,L 17-31,True,10,5,42,8.40,0,50.0%,4.20,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,17,31
2011.0,2011-10-23,7.0,7.0,26.226,CAR,WAS,W 33-20,True,3,1,4,4.00,0,33.3%,1.33,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,33,20
2011.0,2011-10-30,8.0,8.0,26.233,CAR,MIN,L 21-24,True,7,4,73,18.25,1,57.1%,10.43,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,21,24
2011.0,2011-11-13,9.0,10.0,26.247,CAR,TEN,L 3-30,True,11,4,45,11.25,0,36.4%,4.09,,0,0,1,1,0,0,0,0,,,,,,,False,Greg Olsen,False,3,30
2011.0,2011-11-20,10.0,11.0,26.254,CAR,DET,L 35-49,True,9,3,23,7.67,0,33.3%,2.56,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,35,49
2011.0,2011-11-27,11.0,12.0,26.261,CAR,IND,W 27-19,False,3,3,24,8.00,0,100.0%,8.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,27,19
2011.0,2011-12-04,12.0,13.0,26.268,CAR,TAM,W 38-19,True,4,1,21,21.00,0,25.0%,5.25,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,38,19
2011.0,2011-12-11,13.0,14.0,26.275,CAR,ATL,L 23-31,True,6,2,53,26.50,1,33.3%,8.83,,1,6,0,,0,0,0,0,,,,,,,False,Greg Olsen,False,23,31
2011.0,2011-12-18,14.0,15.0,26.282,CAR,HOU,W 28-13,False,2,2,15,7.50,0,100.0%,7.50,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,True,28,13
2011.0,2011-12-24,15.0,16.0,26.288,CAR,TAM,W 48-16,True,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,False,Greg Olsen,True,48,16
2011.0,2012-01-01,16.0,17.0,26.296,CAR,NOR,L 17-45,False,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,Greg Olsen,False,17,45
2012.0,2012-09-09,1.0,1.0,27.182,CAR,TAM,L 10-16,True,7,6,56,9.33,0,85.7%,8.00,,0,0,0,0,0,0,0,0,48,96%,0,0%,0,0%,True,Greg Olsen,False,10,16
2012.0,2012-09-16,2.0,2.0,27.189,CAR,NOR,W 35-27,True,3,1,13,13.00,0,33.3%,4.33,,0,0,0,0,0,0,0,0,63,100%,0,0%,1,3%,False,Greg Olsen,True,35,27
2012.0,2012-09-20,3.0,3.0,27.193,CAR,NYG,L 7-36,True,14,7,98,14.00,0,50.0%,7.00,,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,False,Greg Olsen,False,7,36
2012.0,2012-09-30,4.0,4.0,27.203,CAR,ATL,L 28-30,True,7,6,89,14.83,1,85.7%,12.71,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Greg Olsen,False,28,30
2012.0,2012-10-07,5.0,5.0,27.21,CAR,SEA,L 12-16,True,3,2,37,18.50,0,66.7%,12.33,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,False,Greg Olsen,False,12,16
2012.0,2012-10-21,6.0,7.0,27.224,CAR,DAL,L 14-19,True,5,4,31,7.75,0,80.0%,6.20,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Greg Olsen,False,14,19
2012.0,2012-10-28,7.0,8.0,27.231,CAR,CHI,L 22-23,True,5,3,23,7.67,0,60.0%,4.60,,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,True,Greg Olsen,False,22,23
2012.0,2012-11-04,8.0,9.0,27.238,CAR,WAS,W 21-13,True,9,5,48,9.60,0,55.6%,5.33,,0,0,0,0,0,0,0,0,54,100%,0,0%,1,4%,True,Greg Olsen,True,21,13
2012.0,2012-11-11,9.0,10.0,27.245,CAR,DEN,L 14-36,True,10,9,102,11.33,2,90.0%,10.20,,2,12,0,0,0,0,0,0,62,89%,0,0%,0,0%,False,Greg Olsen,False,14,36
2012.0,2012-11-18,10.0,11.0,27.252,CAR,TAM,L 21-27,True,6,2,42,21.00,0,33.3%,7.00,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Greg Olsen,False,21,27
2012.0,2012-11-26,11.0,12.0,27.26,CAR,PHI,W 30-22,True,5,4,50,12.50,0,80.0%,10.00,,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,Greg Olsen,True,30,22
2012.0,2012-12-02,12.0,13.0,27.266,CAR,KAN,L 21-27,True,4,1,47,47.00,1,25.0%,11.75,,1,6,0,0,0,0,0,0,51,100%,0,0%,0,0%,True,Greg Olsen,False,21,27
2012.0,2012-12-09,13.0,14.0,27.273,CAR,ATL,W 30-20,True,5,4,55,13.75,1,80.0%,11.00,,1,6,0,0,0,0,0,0,68,97%,0,0%,1,4%,False,Greg Olsen,True,30,20
2012.0,2012-12-16,14.0,15.0,27.28,CAR,SDG,W 31-7,True,9,5,56,11.20,0,55.6%,6.22,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,True,Greg Olsen,True,31,7
2012.0,2012-12-23,15.0,16.0,27.287,CAR,OAK,W 17-6,True,7,6,53,8.83,0,85.7%,7.57,,0,0,0,0,0,0,0,0,60,95%,0,0%,0,0%,False,Greg Olsen,True,17,6
2012.0,2012-12-30,16.0,17.0,27.294,CAR,NOR,W 44-38,True,5,4,43,10.75,0,80.0%,8.60,,0,0,0,0,0,0,0,0,76,100%,0,0%,2,5%,True,Greg Olsen,True,44,38
2013.0,2013-09-08,1.0,1.0,28.181,CAR,SEA,L 7-12,True,10,5,56,11.20,0,50.0%,5.60,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,Greg Olsen,False,7,12
2013.0,2013-09-15,2.0,2.0,28.188,CAR,BUF,L 23-24,True,8,7,84,12.00,1,87.5%,10.50,,1,6,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,Greg Olsen,False,23,24
2013.0,2013-09-22,3.0,3.0,28.195,CAR,NYG,W 38-0,True,8,4,54,13.50,0,50.0%,6.75,,0,0,0,0,0,0,0,0,67,88%,0,0%,0,0%,False,Greg Olsen,True,38,0
2013.0,2013-10-06,4.0,5.0,28.209,CAR,ARI,L 6-22,True,6,5,79,15.80,0,83.3%,13.17,,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,True,Greg Olsen,False,6,22
2013.0,2013-10-13,5.0,6.0,28.216,CAR,MIN,W 35-10,True,4,2,19,9.50,0,50.0%,4.75,,0,0,0,0,0,0,0,0,64,91%,0,0%,1,4%,True,Greg Olsen,True,35,10
2013.0,2013-10-20,6.0,7.0,28.223,CAR,STL,W 30-15,True,4,4,47,11.75,0,100.0%,11.75,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,False,Greg Olsen,True,30,15
2013.0,2013-10-24,7.0,8.0,28.227,CAR,TAM,W 31-13,True,4,3,21,7.00,1,75.0%,5.25,,1,6,0,0,0,0,0,0,62,98%,0,0%,1,3%,True,Greg Olsen,True,31,13
2013.0,2013-11-03,8.0,9.0,28.237,CAR,ATL,W 34-10,True,5,4,66,16.50,1,80.0%,13.20,,1,6,0,0,0,0,0,0,72,96%,0,0%,0,0%,False,Greg Olsen,True,34,10
2013.0,2013-11-10,9.0,10.0,28.244,CAR,SFO,W 10-9,True,3,1,14,14.00,0,33.3%,4.67,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,True,Greg Olsen,True,10,9
2013.0,2013-11-18,10.0,11.0,28.252,CAR,NWE,W 24-20,True,8,5,52,10.40,1,62.5%,6.50,,1,6,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,Greg Olsen,True,24,20
2013.0,2013-11-24,11.0,12.0,28.258,CAR,MIA,W 20-16,True,9,5,34,6.80,1,55.6%,3.78,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Greg Olsen,True,20,16
2013.0,2013-12-01,12.0,13.0,28.265,CAR,TAM,W 27-6,True,7,5,85,17.00,0,71.4%,12.14,,0,0,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,Greg Olsen,True,27,6
2013.0,2013-12-08,13.0,14.0,28.272,CAR,NOR,L 13-31,True,12,8,40,5.00,0,66.7%,3.33,,0,0,0,0,0,0,0,0,58,92%,0,0%,1,4%,True,Greg Olsen,False,13,31
2013.0,2013-12-15,14.0,15.0,28.279,CAR,NYJ,W 30-20,True,8,5,88,17.60,0,62.5%,11.00,,0,0,0,0,0,0,0,0,63,98%,0,0%,1,4%,False,Greg Olsen,True,30,20
2013.0,2013-12-22,15.0,16.0,28.286,CAR,NOR,W 17-13,True,7,4,35,8.75,0,57.1%,5.00,,0,0,0,0,0,0,0,0,44,100%,0,0%,0,0%,False,Greg Olsen,True,17,13
2013.0,2013-12-29,16.0,17.0,28.293,CAR,ATL,W 21-20,True,8,6,42,7.00,1,75.0%,5.25,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,Greg Olsen,True,21,20
2014.0,2014-09-07,1.0,1.0,29.18,CAR,TAM,W 20-14,True,11,8,83,10.38,1,72.7%,7.55,,1,6,0,0,0,0,0,0,66,97%,0,0%,0,0%,True,Greg Olsen,True,20,14
2014.0,2014-09-14,2.0,2.0,29.187,CAR,DET,W 24-7,True,8,6,72,12.00,0,75.0%,9.00,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Greg Olsen,True,24,7
2014.0,2014-09-21,3.0,3.0,29.194,CAR,PIT,L 19-37,True,7,5,69,13.80,1,71.4%,9.86,,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Greg Olsen,False,19,37
2014.0,2014-09-28,4.0,4.0,29.201,CAR,BAL,L 10-38,True,5,2,30,15.00,0,40.0%,6.00,,0,0,0,0,0,0,0,0,55,83%,0,0%,0,0%,True,Greg Olsen,False,10,38
2014.0,2014-10-05,5.0,5.0,29.208,CAR,CHI,W 31-24,True,9,6,72,12.00,2,66.7%,8.00,,2,12,0,0,0,0,0,0,62,94%,0,0%,0,0%,False,Greg Olsen,True,31,24
2014.0,2014-10-12,6.0,6.0,29.215,CAR,CIN,T 37-37,True,11,6,62,10.33,1,54.5%,5.64,,1,6,0,0,0,0,0,0,84,100%,0,0%,0,0%,True,Greg Olsen,False,37,37
2014.0,2014-10-19,7.0,7.0,29.222,CAR,GNB,L 17-38,True,8,8,105,13.13,0,100.0%,13.13,,0,0,0,0,0,0,0,0,54,77%,0,0%,0,0%,True,Greg Olsen,False,17,38
2014.0,2014-10-26,8.0,8.0,29.229,CAR,SEA,L 9-13,True,3,1,16,16.00,0,33.3%,5.33,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Greg Olsen,False,9,13
2014.0,2014-10-30,9.0,9.0,29.233,CAR,NOR,L 10-28,True,4,3,30,10.00,0,75.0%,7.50,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,Greg Olsen,False,10,28
2014.0,2014-11-10,10.0,10.0,29.244,CAR,PHI,L 21-45,True,7,6,119,19.83,0,85.7%,17.00,,0,0,0,0,0,1,-4,0,82,100%,0,0%,0,0%,True,Greg Olsen,False,21,45
2014.0,2014-11-16,11.0,11.0,29.25,CAR,ATL,L 17-19,True,11,5,61,12.20,0,45.5%,5.55,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,False,Greg Olsen,False,17,19
2014.0,2014-11-30,12.0,13.0,29.264,CAR,MIN,L 13-31,True,9,5,59,11.80,0,55.6%,6.56,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,True,Greg Olsen,False,13,31
2014.0,2014-12-07,13.0,14.0,29.271,CAR,NOR,W 41-10,True,11,10,72,7.20,1,90.9%,6.55,,1,6,1,0,0,1,0,0,70,95%,0,0%,1,3%,True,Greg Olsen,True,41,10
2014.0,2014-12-14,14.0,15.0,29.278,CAR,TAM,W 19-17,True,13,10,110,11.00,0,76.9%,8.46,,0,0,0,0,0,0,0,0,76,99%,0,0%,0,0%,False,Greg Olsen,True,19,17
