Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2005,2005-12-04,12,13,27.107,CHI,GNB,True,19,93,4.89,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,19,7,Thomas Jones
2005,2005-12-11,13,14,27.114,CHI,PIT,True,14,72,5.14,1,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,9,21,Thomas Jones
2005,2005-12-18,14,15,27.121,CHI,ATL,True,27,91,3.37,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,16,3,Thomas Jones
2005,2005-12-25,15,16,27.128,CHI,GNB,True,25,105,4.20,1,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,24,17,Thomas Jones
2005,2006-01-01,16,17,27.135,CHI,MIN,True,12,62,5.17,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,10,34,Thomas Jones
2006,2006-09-10,1,1,28.022,CHI,GNB,True,21,63,3.00,0,1,1,0,0.00,0,100.0%,0.00,1,1,100.00,-4,0,0,79.2,0,0,-4.00,-4.00,0,0,,0,0,0,0,,0,0,0,0,True,True,26,0,Thomas Jones
2006,2006-09-17,2,2,28.029,CHI,DET,True,21,64,3.05,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,34,7,Thomas Jones
2006,2006-09-24,3,3,28.036,CHI,MIN,True,18,54,3.00,0,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,19,16,Thomas Jones
2006,2006-10-01,4,4,28.043,CHI,SEA,True,24,98,4.08,2,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0,,0,0,0,0,False,True,37,6,Thomas Jones
2006,2006-10-08,5,5,28.050,CHI,BUF,True,21,110,5.24,0,5,4,13,3.25,0,80.0%,2.60,0,0,,0,0,0,,1,1,,,0,0,,0,0,0,0,,0,0,0,0,False,True,40,7,Thomas Jones
2006,2006-10-16,6,6,28.058,CHI,ARI,True,11,43,3.91,0,4,3,14,4.67,0,75.0%,3.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,24,23,Thomas Jones
2006,2006-10-29,7,8,28.071,CHI,SFO,True,23,111,4.83,1,4,4,23,5.75,0,100.0%,5.75,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,41,10,Thomas Jones
2006,2006-11-05,8,9,28.078,CHI,MIA,True,20,69,3.45,0,6,4,24,6.00,0,66.7%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,13,31,Thomas Jones
2006,2006-11-12,9,10,28.085,CHI,NYG,True,30,113,3.77,1,3,3,10,3.33,0,100.0%,3.33,0,0,,0,0,0,,0,,,,0,0,,0,1,6,1,1,0,0,0,0,True,True,38,20,Thomas Jones
2006,2006-11-19,10,11,28.092,CHI,NYJ,True,23,121,5.26,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,10,0,Thomas Jones
2006,2006-11-26,11,12,28.099,CHI,NWE,True,23,99,4.30,0,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,13,17,Thomas Jones
2006,2006-12-03,12,13,28.106,CHI,MIN,True,12,32,2.67,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,23,13,Thomas Jones
2006,2006-12-11,13,14,28.114,CHI,STL,True,11,76,6.91,1,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,42,27,Thomas Jones
2006,2006-12-17,14,15,28.120,CHI,TAM,True,17,68,4.00,1,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,34,31,Thomas Jones
2006,2006-12-24,15,16,28.127,CHI,DET,True,12,62,5.17,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,26,21,Thomas Jones
2006,2006-12-31,16,17,28.134,CHI,GNB,True,9,27,3.00,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,7,26,Thomas Jones
2007,2007-09-09,1,1,29.021,NYJ,NWE,False,14,42,3.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,14,38,Thomas Jones
2007,2007-09-16,2,2,29.028,NYJ,BAL,True,24,67,2.79,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,0,0,0,0,0,True,False,13,20,Thomas Jones
2007,2007-09-23,3,3,29.035,NYJ,MIA,True,25,110,4.40,0,2,2,1,0.50,0,100.0%,0.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,31,28,Thomas Jones
2007,2007-09-30,4,4,29.042,NYJ,BUF,True,12,35,2.92,0,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,14,17,Thomas Jones
2007,2007-10-07,5,5,29.049,NYJ,NYG,False,13,36,2.77,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,24,35,Thomas Jones
2007,2007-10-14,6,6,29.056,NYJ,PHI,True,24,130,5.42,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,9,16,Thomas Jones
2007,2007-10-21,7,7,29.063,NYJ,CIN,True,19,67,3.53,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,31,38,Thomas Jones
2007,2007-10-28,8,8,29.070,NYJ,BUF,True,16,70,4.38,0,5,5,34,6.80,0,100.0%,6.80,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,1,0,0,False,False,3,13,Thomas Jones
2007,2007-11-04,9,9,29.077,NYJ,WAS,True,13,49,3.77,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,20,23,Thomas Jones
2007,2007-11-18,10,11,29.091,NYJ,PIT,True,30,117,3.90,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,19,16,Thomas Jones
2007,2007-11-22,11,12,29.095,NYJ,DAL,True,17,40,2.35,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,34,Thomas Jones
2007,2007-12-02,12,13,29.105,NYJ,MIA,True,24,75,3.13,1,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,40,13,Thomas Jones
2007,2007-12-09,13,14,29.112,NYJ,CLE,True,24,106,4.42,0,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,18,24,Thomas Jones
2007,2007-12-16,14,15,29.119,NYJ,NWE,True,9,19,2.11,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,10,20,Thomas Jones
2007,2007-12-23,15,16,29.126,NYJ,TEN,True,21,58,2.76,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,0,0,1,0,0,True,False,6,10,Thomas Jones
2007,2007-12-30,16,17,29.133,NYJ,KAN,True,25,98,3.92,0,1,1,15,15.00,1,100.0%,15.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,13,10,Thomas Jones
2008,2008-09-07,1,1,30.019,NYJ,MIA,True,22,101,4.59,1,3,3,2,0.67,0,100.0%,0.67,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,20,14,Thomas Jones
2008,2008-09-14,2,2,30.026,NYJ,NWE,True,17,70,4.12,0,4,2,5,2.50,0,50.0%,1.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,19,Thomas Jones
2008,2008-09-22,3,3,30.034,NYJ,SDG,True,10,37,3.70,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,1,0,0,0,0,True,False,29,48,Thomas Jones
2008,2008-09-28,4,4,30.040,NYJ,ARI,False,18,46,2.56,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,56,35,Thomas Jones
2008,2008-10-12,5,6,30.054,NYJ,CIN,True,17,65,3.82,2,3,3,13,4.33,1,100.0%,4.33,0,0,,0,0,0,,,,,,0,0,,0,3,18,0,,0,0,0,0,False,True,26,14,Thomas Jones
2008,2008-10-19,6,7,30.061,NYJ,OAK,False,24,159,6.63,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,13,16,Thomas Jones
2008,2008-10-26,7,8,30.068,NYJ,KAN,True,14,54,3.86,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,28,24,Thomas Jones
2008,2008-11-02,8,9,30.075,NYJ,BUF,True,12,69,5.75,1,7,6,38,6.33,0,85.7%,5.43,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,26,17,Thomas Jones
2008,2008-11-09,9,10,30.082,NYJ,STL,True,26,149,5.73,3,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,3,18,0,,0,0,0,0,False,True,47,3,Thomas Jones
2008,2008-11-13,10,11,30.086,NYJ,NWE,True,30,104,3.47,1,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,34,31,Thomas Jones
2008,2008-11-23,11,12,30.096,NYJ,TEN,True,27,96,3.56,0,3,3,21,7.00,1,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,34,13,Thomas Jones
2008,2008-11-30,12,13,30.103,NYJ,DEN,True,16,138,8.63,2,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,1,0,0,0,0,0,False,False,17,34,Thomas Jones
2008,2008-12-07,13,14,30.110,NYJ,SFO,True,10,56,5.60,1,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,14,24,Thomas Jones
2008,2008-12-14,14,15,30.117,NYJ,BUF,True,20,78,3.90,1,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,31,27,Thomas Jones
2008,2008-12-21,15,16,30.124,NYJ,SEA,True,17,67,3.94,0,3,3,29,9.67,0,100.0%,9.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,13,Thomas Jones
2008,2008-12-28,16,17,30.131,NYJ,MIA,True,10,23,2.30,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,17,24,Thomas Jones
2009,2009-09-13,1,1,31.025,NYJ,HOU,True,20,107,5.35,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,12,1,0,0,1,0,0,True,True,24,7,Thomas Jones
2009,2009-09-20,2,2,31.032,NYJ,NWE,True,14,54,3.86,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,16,9,Thomas Jones
2009,2009-09-27,3,3,31.039,NYJ,TEN,True,14,20,1.43,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,1,0,0,False,True,24,17,Thomas Jones
2009,2009-10-04,4,4,31.046,NYJ,NOR,True,13,48,3.69,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,10,24,Thomas Jones
2009,2009-10-12,5,5,31.054,NYJ,MIA,True,13,42,3.23,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,True,False,27,31,Thomas Jones
2009,2009-10-18,6,6,31.060,NYJ,BUF,True,22,210,9.55,1,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,False,13,16,Thomas Jones
2009,2009-10-25,7,7,31.067,NYJ,OAK,True,26,121,4.65,1,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,,,,,0,0,,0,1,6,1,0,0,0,0,0,True,True,38,0,Thomas Jones
2009,2009-11-01,8,8,31.074,NYJ,MIA,True,27,102,3.78,0,1,1,28,28.00,0,100.0%,28.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,25,30,Thomas Jones
2009,2009-11-15,9,10,31.088,NYJ,JAX,True,21,77,3.67,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,False,22,24,Thomas Jones
2009,2009-11-22,10,11,31.095,NYJ,NWE,True,21,103,4.90,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,14,31,Thomas Jones
2009,2009-11-29,11,12,31.102,NYJ,CAR,True,25,75,3.00,1,4,3,11,3.67,0,75.0%,2.75,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,17,6,Thomas Jones
2009,2009-12-03,12,13,31.106,NYJ,BUF,True,23,109,4.74,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,19,13,Thomas Jones
2009,2009-12-13,13,14,31.116,NYJ,TAM,True,23,99,4.30,2,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,True,True,26,3,Thomas Jones
2009,2009-12-20,14,15,31.123,NYJ,ATL,True,19,52,2.74,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,7,10,Thomas Jones
2009,2009-12-27,15,16,31.130,NYJ,IND,True,23,105,4.57,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,29,15,Thomas Jones
2009,2010-01-03,16,17,31.137,NYJ,CIN,True,27,78,2.89,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,False,True,37,0,Thomas Jones
2010,2010-09-13,1,1,32.025,KAN,SDG,True,11,39,3.55,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,21,14,Thomas Jones
2010,2010-09-19,2,2,32.031,KAN,CLE,True,22,83,3.77,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,16,14,Thomas Jones
2010,2010-09-26,3,3,32.038,KAN,SFO,False,19,95,5.00,1,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,31,10,Thomas Jones
2010,2010-10-10,4,5,32.052,KAN,IND,True,8,19,2.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,9,19,Thomas Jones
2010,2010-10-17,5,6,32.059,KAN,HOU,False,19,100,5.26,1,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,False,31,35,Thomas Jones
2010,2010-10-24,6,7,32.066,KAN,JAX,True,20,125,6.25,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,False,True,42,20,Thomas Jones
2010,2010-10-31,7,8,32.073,KAN,BUF,True,19,77,4.05,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,13,10,Thomas Jones
2010,2010-11-07,8,9,32.080,KAN,OAK,True,19,32,1.68,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,1,0,0,0,0,0,True,False,20,23,Thomas Jones
2010,2010-11-14,9,10,32.087,KAN,DEN,False,4,3,0.75,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,29,49,Thomas Jones
2010,2010-11-21,10,11,32.094,KAN,ARI,True,15,71,4.73,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,2,12,0,,0,0,0,0,False,True,31,13,Thomas Jones
2010,2010-11-28,11,12,32.101,KAN,SEA,True,20,68,3.40,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,True,42,24,Thomas Jones
2010,2010-12-05,12,13,32.108,KAN,DEN,False,11,53,4.82,0,5,4,54,13.50,0,80.0%,10.80,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,True,10,6,Thomas Jones
2010,2010-12-12,13,14,32.115,KAN,SDG,True,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,True,False,0,31,Thomas Jones
2010,2010-12-19,14,15,32.122,KAN,STL,False,22,62,2.82,1,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0,,0,0,0,0,True,True,27,13,Thomas Jones
2010,2010-12-26,15,16,32.129,KAN,TEN,False,23,51,2.22,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,2,1,0,0,0,0,False,True,34,14,Thomas Jones
2010,2011-01-02,16,17,32.136,KAN,OAK,True,10,17,1.70,0,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,31,Thomas Jones
2011,2011-09-11,1,1,33.023,KAN,BUF,False,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,7,41,Thomas Jones
2011,2011-09-18,2,2,33.030,KAN,DET,True,12,40,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,48,Thomas Jones
2011,2011-09-25,3,3,33.037,KAN,SDG,True,14,31,2.21,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,17,20,Thomas Jones
2011,2011-10-02,4,4,33.044,KAN,MIN,False,11,37,3.36,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,22,17,Thomas Jones
2011,2011-10-09,5,5,33.051,KAN,IND,True,10,55,5.50,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,28,24,Thomas Jones
2011,2011-10-23,6,7,33.065,KAN,OAK,True,9,19,2.11,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,28,0,Thomas Jones
2011,2011-10-31,7,8,33.073,KAN,SDG,False,5,10,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,23,20,Thomas Jones
2011,2011-11-06,8,9,33.079,KAN,MIA,False,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,3,31,Thomas Jones
2011,2011-11-13,9,10,33.086,KAN,DEN,False,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,17,Thomas Jones
2011,2011-11-21,10,11,33.094,KAN,NWE,False,8,48,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,34,Thomas Jones
2011,2011-11-27,11,12,33.100,KAN,PIT,False,13,37,2.85,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,9,13,Thomas Jones
2011,2011-12-04,12,13,33.107,KAN,CHI,True,16,36,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,10,3,Thomas Jones
2011,2011-12-11,13,14,33.114,KAN,NYJ,False,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,10,37,Thomas Jones
2011,2011-12-18,14,15,33.121,KAN,GNB,True,15,48,3.20,0,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,19,14,Thomas Jones
2011,2011-12-24,15,16,33.127,KAN,OAK,True,11,51,4.64,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,13,16,Thomas Jones
2011,2012-01-01,16,17,33.135,KAN,DEN,True,15,42,2.80,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,7,3,Thomas Jones
,180 Games,,,,,,False,2678,10591,3.95,68,410,308,2023,6.57,3,75.1%,4.93,1,1,100.00,-4,0,0,79.2,1,1,-4.00,-4.00,17,271,15.94,0,71,426,27,14,0,9,0,0,False,False,95,0,Thomas Jones
