Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2001,2001-10-14,4,5,23.056,ARI,CHI,False,6,14,2.33,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,13,20,Thomas Jones
2001,2001-10-21,5,6,23.063,ARI,KAN,False,7,26,3.71,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,False,True,24,16,Thomas Jones
2001,2001-10-28,6,7,23.070,ARI,DAL,False,1,-1,-1.00,0,5,4,21,5.25,0,80.0%,4.20,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,3,17,Thomas Jones
2001,2001-11-04,7,8,23.077,ARI,PHI,False,6,14,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,0,0,1,0,0,False,False,7,21,Thomas Jones
2001,2001-11-11,8,9,23.084,ARI,NYG,False,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,1,0,0,False,False,10,17,Thomas Jones
2001,2001-11-18,9,10,23.091,ARI,DET,False,2,3,1.50,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,False,True,45,38,Thomas Jones
2001,2001-11-25,10,11,23.098,ARI,SDG,False,5,22,4.40,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,20,17,Thomas Jones
2001,2001-12-02,11,12,23.105,ARI,OAK,False,10,36,3.60,1,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,True,True,34,31,Thomas Jones
2001,2001-12-09,12,13,23.112,ARI,WAS,False,2,2,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,10,20,Thomas Jones
2001,2001-12-15,13,14,23.118,ARI,NYG,False,14,37,2.64,0,4,3,4,1.33,0,75.0%,1.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,13,17,Thomas Jones
2001,2001-12-23,14,15,23.126,ARI,DAL,False,4,18,4.50,0,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,17,10,Thomas Jones
2001,2001-12-30,15,16,23.133,ARI,CAR,False,16,69,4.31,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,True,30,7,Thomas Jones
2001,2002-01-06,16,17,23.140,ARI,WAS,False,7,26,3.71,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,True,False,17,20,Thomas Jones
2002,2002-09-08,1,1,24.020,ARI,WAS,True,17,54,3.18,0,5,3,7,2.33,0,60.0%,1.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,23,31,Thomas Jones
2002,2002-09-15,2,2,24.027,ARI,SEA,True,24,173,7.21,1,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,,0,0,0,0,True,True,24,13,Thomas Jones
2002,2002-09-22,3,3,24.034,ARI,SDG,True,17,73,4.29,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,False,False,15,23,Thomas Jones
2002,2002-09-29,4,4,24.041,ARI,NYG,True,11,10,0.91,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,True,21,7,Thomas Jones
2002,2002-10-06,5,5,,ARI,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,16,13,Thomas Jones
2002,2002-10-20,6,7,24.062,ARI,DAL,True,22,68,3.09,0,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,1,0,0,0,0,False,True,9,6,Thomas Jones
2002,2002-10-27,7,8,24.069,ARI,SFO,True,15,54,3.60,1,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,1,0,0,1,0,0,True,False,28,38,Thomas Jones
2002,2002-11-03,8,9,24.076,ARI,STL,True,12,25,2.08,0,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,14,27,Thomas Jones
2002,2002-11-10,9,10,24.083,ARI,SEA,True,11,24,2.18,0,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,False,False,6,27,Thomas Jones
2002,2002-11-17,10,11,24.090,ARI,PHI,True,9,30,3.33,0,4,2,2,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,True,False,14,38,Thomas Jones
2002,2002-11-24,11,12,,ARI,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,41,Thomas Jones
2002,2002-12-01,12,13,,ARI,KAN,True,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,Non-Football Injury,True,False,0,49,Thomas Jones
