Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-09-08,1,1,21.261,NOR,@,GNB,L 34-42,True,13,40,3.08,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mark Ingram
2011,2011-09-18,2,2,21.271,NOR,,CHI,W 30-13,False,14,51,3.64,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,Mark Ingram
2011,2011-09-25,3,3,21.278,NOR,,HOU,W 40-33,False,9,38,4.22,1,2,2,-3,-1.50,0,100.0%,-1.50,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mark Ingram
2011,2011-10-02,4,4,21.285,NOR,@,JAX,W 23-10,False,17,55,3.24,0,2,2,3,1.50,0,100.0%,1.50,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mark Ingram
2011,2011-10-09,5,5,21.292,NOR,@,CAR,W 30-27,False,9,32,3.56,1,2,2,17,8.50,0,100.0%,8.50,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mark Ingram
2011,2011-10-16,6,6,21.299,NOR,@,TAM,L 20-26,True,9,22,2.44,1,1,1,6,6.00,0,100.0%,6.00,,1,6,0.0,1,0,1,,,0,,0,0,0,0,,,,,,,True,Mark Ingram
2011,2011-10-23,7,7,21.306,NOR,,IND,W 62-7,False,14,91,6.50,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Mark Ingram
2011,2011-10-30,8,8,,NOR,@,STL,L 21-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mark Ingram
2011,2011-11-06,9,9,,NOR,,TAM,W 27-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mark Ingram
2011,2011-11-13,10,10,21.327,NOR,@,ATL,W 26-23,False,8,11,1.38,0,1,1,3,3.00,0,100.0%,3.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Mark Ingram
