Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,23.278,CIN,LAC,L 13-16,True,23,36,63.89,193,0,1,66.1,3,20,5.36,4.11,8,46,5.75,1,1,6,0.0,0,0,0,0,0,1,0,0,0,-5,0,68,100%,0,0%,0,0%,False,Joe Burrow,False,13,16
2020.0,2020-09-17,2.0,2.0,23.282,CIN,CLE,L 30-35,True,37,61,60.66,316,3,0,90.6,3,31,5.18,6.16,7,19,2.71,0,0,0,0.0,0,0,0,0,0,2,1,0,1,-22,0,92,100%,0,0%,0,0%,True,Joe Burrow,False,30,35
2020.0,2020-09-27,3.0,3.0,23.292,CIN,PHI,T 23-23,True,31,44,70.45,312,2,0,105.5,8,56,7.09,8.00,1,-1,-1.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,99%,0,0%,0,0%,True,Joe Burrow,False,23,23
2020.0,2020-10-04,4.0,4.0,23.299,CIN,JAX,W 33-25,True,25,36,69.44,300,1,1,92.4,1,0,8.33,7.64,4,11,2.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Joe Burrow,True,33,25
2020.0,2020-10-11,5.0,5.0,23.306,CIN,BAL,L 3-27,True,19,30,63.33,183,0,1,66.4,7,48,6.10,4.60,3,10,3.33,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,67,100%,0,0%,0,0%,True,Joe Burrow,False,3,27
2020.0,2020-10-18,6.0,6.0,23.313,CIN,IND,L 27-31,True,25,39,64.10,313,0,1,78.3,2,13,8.03,6.87,3,2,0.67,1,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Joe Burrow,False,27,31
2020.0,2020-10-25,7.0,7.0,23.32,CIN,CLE,L 34-37,True,35,47,74.47,406,3,1,112.5,4,35,8.64,8.96,6,34,5.67,1,1,6,0.0,0,0,0,0,0,3,1,0,2,0,0,75,100%,0,0%,0,0%,False,Joe Burrow,False,34,37
2020.0,2020-11-01,8.0,8.0,23.327,CIN,TEN,W 31-20,True,26,37,70.27,249,2,0,106.7,0,0,6.73,7.81,3,9,3.00,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,73,100%,0,0%,0,0%,False,Joe Burrow,True,31,20
2020.0,2020-11-15,9.0,10.0,23.341,CIN,PIT,L 10-36,True,21,40,52.50,213,1,0,76.4,4,28,5.33,5.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Joe Burrow,False,10,36
2020.0,2020-11-22,10.0,11.0,23.348,CIN,WAS,L 9-20,True,22,34,64.71,203,1,0,90.7,0,0,5.97,6.56,2,12,6.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,50,74%,0,0%,0,0%,True,Joe Burrow,False,9,20
2020.0,2020-11-29,11.0,12.0,,CIN,NYG,L 17-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Joe Burrow,False,17,19
2020.0,2020-12-06,12.0,13.0,,CIN,MIA,L 7-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Joe Burrow,False,7,19
