Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-09-12,1,1,,DEN,@,JAX,L 17-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Demaryius Thomas
2010,2010-09-19,2,2,22.268,DEN,,SEA,W 31-14,False,9,8,97,12.13,1,88.9%,10.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Demaryius Thomas
2010,2010-09-26,3,3,22.275,DEN,,IND,L 13-27,False,6,2,43,21.50,0,33.3%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,Demaryius Thomas
2010,2010-10-03,4,4,22.282,DEN,@,TEN,W 26-20,False,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,,,,,,4,144,36.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas
2010,2010-10-10,5,5,22.289,DEN,@,BAL,L 17-31,True,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,True,Demaryius Thomas
2010,2010-10-17,6,6,22.296,DEN,,NYJ,L 20-24,False,4,1,17,17.00,1,25.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Demaryius Thomas
2010,2010-10-24,7,7,22.303,DEN,,OAK,L 14-59,False,1,1,6,6.00,0,100.0%,6.00,1,1,1.00,0,0,0,,0,0,0,,,,,,1,3,3.00,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,,,,,,,False,Demaryius Thomas
2010,2010-10-31,8,8,22.310,DEN,@,SFO,L 16-24,False,1,1,31,31.00,0,100.0%,31.00,1,0,0.00,0,0,0,,0,0,0,,,,,,5,114,22.80,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Demaryius Thomas
2010,2010-11-14,9,10,22.324,DEN,,KAN,W 49-29,False,5,3,51,17.00,0,60.0%,10.20,0,0,,0,0,0,,0,0,0,,,,,,2,68,34.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Demaryius Thomas
2010,2010-11-22,10,11,22.332,DEN,@,SDG,L 14-35,True,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,3,48,16.00,0,,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,Demaryius Thomas
