Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-09,1,1,22.227,PHI,GNB,False,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1,2,0,0,0,,0,0,0,0,,,,,,,True,False,13,16,Brent Celek
2007,2007-09-17,2,2,22.235,PHI,WAS,False,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,12,20,Brent Celek
2007,2007-09-23,3,3,22.241,PHI,DET,False,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,56,21,Brent Celek
2007,2007-09-30,4,4,22.248,PHI,NYG,False,3,3,31,10.33,0,100.0%,10.33,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,3,16,Brent Celek
2007,2007-10-14,5,6,22.262,PHI,NYJ,False,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,16,9,Brent Celek
2007,2007-10-21,6,7,22.269,PHI,CHI,True,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,16,19,Brent Celek
2007,2007-10-28,7,8,22.276,PHI,MIN,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,23,16,Brent Celek
2007,2007-11-04,8,9,22.283,PHI,DAL,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,False,17,38,Brent Celek
2007,2007-11-11,9,10,22.290,PHI,WAS,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,33,25,Brent Celek
2007,2007-11-18,10,11,22.297,PHI,MIA,False,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,17,7,Brent Celek
2007,2007-11-25,11,12,22.304,PHI,NWE,True,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,28,31,Brent Celek
2007,2007-12-02,12,13,22.311,PHI,SEA,False,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,24,28,Brent Celek
2007,2007-12-09,13,14,22.318,PHI,NYG,False,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,16,Brent Celek
2007,2007-12-16,14,15,22.325,PHI,DAL,False,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,True,10,6,Brent Celek
2007,2007-12-23,15,16,22.332,PHI,NOR,True,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,38,23,Brent Celek
2007,2007-12-30,16,17,22.339,PHI,BUF,True,4,3,18,6.00,1,75.0%,4.50,0,0,,0,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,17,9,Brent Celek
2008,2008-09-07,1,1,23.226,PHI,STL,False,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,3,Brent Celek
2008,2008-09-15,2,2,23.234,PHI,DAL,False,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,37,41,Brent Celek
2008,2008-09-21,3,3,23.240,PHI,PIT,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,True,15,6,Brent Celek
2008,2008-09-28,4,4,23.247,PHI,CHI,True,4,3,21,7.00,0,75.0%,5.25,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,24,Brent Celek
2008,2008-10-05,5,5,23.254,PHI,WAS,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,17,23,Brent Celek
2008,2008-10-12,6,6,23.261,PHI,SFO,False,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,40,26,Brent Celek
2008,2008-10-26,7,8,23.275,PHI,ATL,True,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,14,Brent Celek
2008,2008-11-02,8,9,23.282,PHI,SEA,True,6,6,131,21.83,0,100.0%,21.83,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,26,7,Brent Celek
2008,2008-11-09,9,10,23.289,PHI,NYG,False,1,0,0,,0,0.0%,0.00,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,31,36,Brent Celek
2008,2008-11-16,10,11,23.296,PHI,CIN,False,6,3,25,8.33,0,50.0%,4.17,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,13,Brent Celek
2008,2008-11-23,11,12,23.303,PHI,BAL,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,36,Brent Celek
2008,2008-11-27,12,13,23.307,PHI,ARI,False,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,48,20,Brent Celek
2008,2008-12-07,13,14,23.317,PHI,NYG,True,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,20,14,Brent Celek
2008,2008-12-15,14,15,23.325,PHI,CLE,True,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,30,10,Brent Celek
2008,2008-12-21,15,16,23.331,PHI,WAS,False,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,3,10,Brent Celek
2008,2008-12-28,16,17,23.338,PHI,DAL,True,3,3,30,10.00,1,100.0%,10.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,44,6,Brent Celek
2009,2009-09-13,1,1,24.231,PHI,CAR,True,7,6,37,6.17,1,85.7%,5.29,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,38,10,Brent Celek
2009,2009-09-20,2,2,24.238,PHI,NOR,True,11,8,104,13.00,0,72.7%,9.45,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,22,48,Brent Celek
2009,2009-09-27,3,3,24.245,PHI,KAN,True,9,8,104,13.00,1,88.9%,11.56,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,True,34,14,Brent Celek
