Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-09-08,1,1,26.155,LAC,,IND,W 30-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,0,2,98,49.00,0,0,0%,0,0%,12,46%,False,Ty Long
2019,2019-09-15,2,2,26.162,LAC,@,DET,L 10-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,1,1,100.0,1,3,33.3,0,4,0.0,0,0,0,0,0,4,202,50.50,0,0,0%,0,0%,11,50%,True,Ty Long
2019,2019-09-22,3,3,26.169,LAC,,HOU,L 20-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,0,4,193,48.25,0,0,0%,0,0%,13,48%,False,Ty Long
2019,2019-09-29,4,4,26.176,LAC,@,MIA,W 30-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,61%,True,Ty Long
2019,2019-10-06,5,5,26.183,LAC,,DEN,L 13-20,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,5,232,46.40,0,0,0%,0,0%,9,34%,False,Ty Long
2019,2019-10-13,6,6,26.190,LAC,,PIT,L 17-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,128,42.67,0,0,0%,0,0%,8,31%,False,Ty Long
2019,2019-10-20,7,7,26.197,LAC,@,TEN,L 20-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,2,93,46.50,0,0,0%,0,0%,7,29%,True,Ty Long
2019,2019-10-27,8,8,26.204,LAC,@,CHI,W 17-16,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,5,269,53.80,0,0,0%,0,0%,9,35%,True,Ty Long
2019,2019-11-03,9,9,26.211,LAC,,GNB,W 26-11,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,1,38,38.00,0,0,0%,0,0%,9,35%,False,Ty Long
2019,2019-11-07,10,10,26.215,LAC,@,OAK,L 24-26,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,130,43.33,0,0,0%,0,0%,7,24%,True,Ty Long
2019,2019-11-18,11,11,26.226,LAC,,KAN,L 17-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,143,47.67,0,0,0%,0,0%,12,44%,False,Ty Long
2019,2019-12-01,12,13,26.239,LAC,@,DEN,L 20-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,4,181,45.25,0,0,0%,0,0%,15,48%,True,Ty Long
2019,2019-12-08,13,14,26.246,LAC,@,JAX,W 45-10,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,2,104,52.00,0,0,0%,0,0%,17,61%,True,Ty Long
2019,2019-12-15,14,15,26.253,LAC,,MIN,L 10-39,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,1,26,26.00,0,0,0%,0,0%,6,24%,False,Ty Long
2019,2019-12-22,15,16,26.260,LAC,,OAK,L 17-24,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,6,285,47.50,0,0,0%,0,0%,13,48%,False,Ty Long
2019,2019-12-29,16,17,26.267,LAC,@,KAN,L 21-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,134,44.67,0,0,0%,0,0%,10,43%,True,Ty Long
2020,2020-09-13,1,1,27.160,LAC,@,CIN,W 16-13,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,1,0,0,5,244,48.80,0,0,0%,0,0%,14,48%,True,Ty Long
2020,2020-09-20,2,2,27.167,LAC,,KAN,L 20-23,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,131,43.67,0,0,0%,0,0%,12,43%,False,Ty Long
2020,2020-09-27,3,3,27.174,LAC,,CAR,L 16-21,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,119,39.67,0,0,0%,0,0%,9,35%,False,Ty Long
2020,2020-10-04,4,4,27.181,LAC,@,TAM,L 31-38,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,160,53.33,0,0,0%,0,0%,15,47%,True,Ty Long
2020,2020-10-12,5,5,27.189,LAC,@,NOR,L 27-30,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,7,339,48.43,0,0,0%,0,0%,19,50%,True,Ty Long
2020,2020-10-25,6,7,27.202,LAC,,JAX,W 39-29,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,138,46.00,1,0,0%,0,0%,19,63%,False,Ty Long
2020,2020-11-01,7,8,27.209,LAC,@,DEN,L 30-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,3,117,39.00,0,0,0%,0,0%,16,50%,True,Ty Long
2020,2020-11-08,8,9,27.216,LAC,,LVR,L 26-31,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,1,0,0,3,146,48.67,0,0,0%,0,0%,15,50%,False,Ty Long
2020,2020-11-15,9,10,27.223,LAC,@,MIA,L 21-29,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,4,171,42.75,1,1,2%,0,0%,13,45%,True,Ty Long
2020,2020-11-22,10,11,27.230,LAC,,NYJ,W 34-28,False,1,-28,-28.00,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,2,110,55.00,1,0,0%,0,0%,17,57%,False,Ty Long
2020,2020-11-29,11,12,27.237,LAC,@,BUF,L 17-27,False,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,6,286,47.67,0,0,0%,0,0%,9,33%,True,Ty Long
