Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,,CLE,TAM,L 14-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Colt McCoy,False,14,17
2010.0,2010-09-19,2.0,2.0,,CLE,KAN,L 14-16,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Colt McCoy,False,14,16
2010.0,2010-09-26,3.0,3.0,,CLE,BAL,L 17-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Colt McCoy,False,17,24
2010.0,2010-10-03,4.0,4.0,,CLE,CIN,W 23-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Colt McCoy,True,23,20
2010.0,2010-10-10,5.0,5.0,,CLE,ATL,L 10-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Colt McCoy,False,10,20
2010.0,2010-10-17,6.0,6.0,24.042,CLE,PIT,L 10-28,True,23,33,69.70,281,1,2,80.5,5,23,8.52,6.39,4,22,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Colt McCoy,False,10,28
2010.0,2010-10-24,7.0,7.0,24.049,CLE,NOR,W 30-17,True,9,16,56.25,74,0,0,68.2,1,2,4.63,4.63,5,-5,-1.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Colt McCoy,True,30,17
2010.0,2010-11-07,8.0,9.0,24.063,CLE,NWE,W 34-14,True,14,19,73.68,174,0,0,101.6,0,0,9.16,9.16,3,20,6.67,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Colt McCoy,True,34,14
2010.0,2010-11-14,9.0,10.0,24.07,CLE,NYJ,L 20-26,True,18,31,58.06,205,1,0,88.8,3,9,6.61,7.26,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Colt McCoy,False,20,26
2010.0,2010-11-21,10.0,11.0,24.077,CLE,JAX,L 20-24,True,17,28,60.71,241,1,1,85.6,6,46,8.61,7.71,4,39,9.75,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Colt McCoy,False,20,24
