Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2007,2007-09-09,1,1,22.150,MIA,@,WAS,L 13-16,False,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,,,,,3,70,23.33,0,4,20,5.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-09-16,2,2,22.157,MIA,,DAL,L 20-37,False,2,0,0,,0,0.0%,0.00,1,-3,-3.00,0,0,0,,0,0,0,,,,,,6,121,20.17,0,3,37,12.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-09-23,3,3,22.164,MIA,@,NYJ,L 28-31,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,3,80,26.67,0,2,6,3.00,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-09-30,4,4,22.171,MIA,,OAK,L 17-35,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,58,19.33,0,0,0,,0,,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-10-07,5,5,22.178,MIA,@,HOU,L 19-22,False,3,1,36,36.00,0,33.3%,12.00,0,0,,0,0,0,,0,0,0,,,,,,5,176,35.20,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,1,-9,0,,,,,,,True,Ted Ginn Jr.
2007,2007-10-14,6,6,22.185,MIA,@,CLE,L 31-41,True,2,1,32,32.00,0,50.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,5,122,24.40,0,1,10,10.00,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-10-21,7,7,22.192,MIA,,NWE,L 28-49,True,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,0,0,,,,,,4,86,21.50,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-10-28,8,8,22.199,MIA,,NYG,L 10-13,True,2,1,21,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,3,65,21.67,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-11-11,9,10,22.213,MIA,,BUF,L 10-13,True,3,1,12,12.00,0,33.3%,4.00,1,0,0.00,0,0,0,,0,0,0,,,,,,2,29,14.50,0,2,16,8.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-11-18,10,11,22.220,MIA,@,PHI,L 7-17,False,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,,,,,2,52,26.00,0,3,99,33.00,1,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-11-26,11,12,22.228,MIA,@,PIT,L 0-3,False,6,3,35,11.67,0,50.0%,5.83,1,-1,-1.00,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-12-02,12,13,22.234,MIA,,NYJ,L 13-40,True,9,3,19,6.33,0,33.3%,2.11,0,0,,0,0,0,,0,0,0,,,,,,8,198,24.75,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-12-09,13,14,22.241,MIA,@,BUF,L 17-38,True,10,4,67,16.75,0,40.0%,6.70,0,0,,0,0,0,,0,0,0,,,,,,3,51,17.00,0,4,3,0.75,0,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-12-16,14,15,22.248,MIA,,BAL,W 22-16,True,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,5,112,22.40,0,3,31,10.33,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2007,2007-12-23,15,16,22.255,MIA,@,NWE,L 7-28,True,9,4,27,6.75,0,44.4%,3.00,0,0,,0,0,0,,0,0,0,,,,,,4,79,19.75,0,1,2,2.00,0,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2007,2007-12-30,16,17,22.262,MIA,,CIN,L 25-38,True,8,7,53,7.57,1,87.5%,6.63,0,0,,0,0,0,,0,0,0,,,,,,6,111,18.50,0,1,6,6.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2008,2008-09-07,1,1,23.148,MIA,,NYJ,L 14-20,True,7,2,17,8.50,0,28.6%,2.43,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,3,13,4.33,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2008,2008-09-14,2,2,23.155,MIA,@,ARI,L 10-31,True,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2008,2008-09-21,3,3,23.162,MIA,@,NWE,W 38-13,True,6,5,49,9.80,0,83.3%,8.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2008,2008-10-05,4,5,23.176,MIA,,SDG,W 17-10,True,8,7,55,7.86,0,87.5%,6.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,Ted Ginn Jr.
2008,2008-10-12,5,6,23.183,MIA,@,HOU,L 28-29,True,2,1,-1,-1.00,0,50.0%,-0.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2008,2008-10-19,6,7,23.190,MIA,,BAL,L 13-27,True,7,4,48,12.00,0,57.1%,6.86,0,0,,0,0,0,,0,0,0,,,,,,5,93,18.60,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2008,2008-10-26,7,8,23.197,MIA,,BUF,W 25-16,True,9,7,175,25.00,0,77.8%,19.44,0,0,,0,0,0,,0,0,0,,,,,,3,37,12.33,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,Ted Ginn Jr.
2008,2008-11-02,8,9,23.204,MIA,@,DEN,W 26-17,True,7,3,38,12.67,0,42.9%,5.43,0,0,,0,0,0,,0,0,0,,,,,,1,41,41.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Ted Ginn Jr.
2008,2008-11-09,9,10,23.211,MIA,,SEA,W 21-19,False,8,4,67,16.75,1,50.0%,8.38,0,0,,0,0,0,,0,0,0,,,,,,3,88,29.33,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Ted Ginn Jr.
