Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-12,1,1,23.061,ATL,PHI,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,7,281,40.14,0,,,,,,,False,True,14,10,Michael Koenen
2005,2005-09-18,2,2,23.067,ATL,SEA,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,7,347,49.57,0,,,,,,,True,False,18,21,Michael Koenen
2005,2005-09-25,3,3,23.074,ATL,BUF,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,4,144,36.00,0,,,,,,,True,True,24,16,Michael Koenen
2005,2005-10-02,4,4,23.081,ATL,MIN,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,105,35.00,0,,,,,,,False,True,30,10,Michael Koenen
2005,2005-10-09,5,5,23.088,ATL,NWE,False,0,0,,0,0,0,,,,,,0,0,,0,,,,1,1,100.0,0,3,0.0,1,0,1,0,,0,,0,0,0,0,7,319,45.57,0,,,,,,,False,False,28,31,Michael Koenen
2005,2005-10-16,6,6,23.095,ATL,NOR,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,4,189,47.25,0,,,,,,,True,True,34,31,Michael Koenen
2005,2005-10-24,7,7,23.103,ATL,NYJ,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,4,161,40.25,0,,,,,,,False,True,27,14,Michael Koenen
2005,2005-11-06,8,9,23.116,ATL,MIA,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,3,114,38.00,0,,,,,,,True,True,17,10,Michael Koenen
2005,2005-11-13,9,10,23.123,ATL,GNB,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,5,197,39.40,0,,,,,,,False,False,25,33,Michael Koenen
2005,2005-11-20,10,11,23.130,ATL,TAM,False,0,0,,0,0,0,,,,,,0,0,,0,,,,,1,0.0,0,0,0.0,,,,,,0,,0,0,0,0,2,77,38.50,0,,,,,,,False,False,27,30,Michael Koenen
