Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,,SDG,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,24,28,Vincent Jackson
2005,2005-09-18,2,2,,SDG,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,20,Vincent Jackson
2005,2005-09-25,3,3,,SDG,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,45,23,Vincent Jackson
2005,2005-10-02,4,4,,SDG,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,41,17,Vincent Jackson
2005,2005-10-10,5,5,,SDG,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,22,24,Vincent Jackson
2005,2005-10-16,6,6,22.275,SDG,OAK,False,,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,27,14,Vincent Jackson
2005,2005-10-23,7,7,,SDG,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,20,Vincent Jackson
2005,2005-10-30,8,8,22.289,SDG,KAN,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,28,20,Vincent Jackson
2005,2005-11-06,9,9,22.296,SDG,NYJ,False,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,31,26,Vincent Jackson
2005,2005-11-20,10,11,,SDG,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,48,10,Vincent Jackson
2005,2005-11-27,11,12,22.317,SDG,WAS,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,True,23,17,Vincent Jackson
2005,2005-12-04,12,13,,SDG,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,10,Vincent Jackson
2005,2005-12-11,13,14,22.331,SDG,MIA,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,21,23,Vincent Jackson
2005,2005-12-18,14,15,22.338,SDG,IND,False,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,26,17,Vincent Jackson
2005,2005-12-24,15,16,22.344,SDG,KAN,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,7,20,Vincent Jackson
2005,2005-12-31,16,17,22.351,SDG,DEN,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,False,False,7,23,Vincent Jackson
2006,2006-09-11,1,1,23.240,SDG,OAK,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,0,Vincent Jackson
2006,2006-09-17,2,2,23.246,SDG,TEN,False,3,2,15,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,40,7,Vincent Jackson
2006,2006-10-01,3,4,23.260,SDG,BAL,False,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,16,Vincent Jackson
2006,2006-10-08,4,5,23.267,SDG,PIT,False,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,23,13,Vincent Jackson
2006,2006-10-15,5,6,23.274,SDG,SFO,True,2,1,33,33.00,1,50.0%,16.50,0,0,,0,0,0,,0,,1,6,0.0,0,1,1,0,0,0,,0,0,0,0,,,,,,,True,True,48,19,Vincent Jackson
2006,2006-10-22,6,7,23.281,SDG,KAN,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,27,30,Vincent Jackson
2006,2006-10-29,7,8,23.288,SDG,STL,True,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,38,24,Vincent Jackson
2006,2006-11-05,8,9,23.295,SDG,CLE,False,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,1,0,2,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,32,25,Vincent Jackson
2006,2006-11-12,9,10,23.302,SDG,CIN,False,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,49,41,Vincent Jackson
2006,2006-11-19,10,11,23.309,SDG,DEN,False,5,3,39,13.00,1,60.0%,7.80,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,35,27,Vincent Jackson
2006,2006-11-26,11,12,23.316,SDG,OAK,True,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,14,Vincent Jackson
2006,2006-12-03,12,13,23.323,SDG,BUF,False,2,0,0,,0,0.0%,0.00,1,8,8.00,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,21,Vincent Jackson
2006,2006-12-10,13,14,23.330,SDG,DEN,True,4,3,95,31.67,0,75.0%,23.75,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,48,20,Vincent Jackson
2006,2006-12-17,14,15,23.337,SDG,KAN,True,5,3,66,22.00,0,60.0%,13.20,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,20,9,Vincent Jackson
2006,2006-12-24,15,16,23.344,SDG,SEA,True,14,5,97,19.40,2,35.7%,6.93,2,8,4.00,0,0,0,,0,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,20,17,Vincent Jackson
2006,2006-12-31,16,17,23.351,SDG,ARI,True,6,3,28,9.33,1,50.0%,4.67,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,20,Vincent Jackson
