Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-09-09,1,1,24.047,DEN,,SEA,W 27-24,False,15,71,4.73,0,3,2,31,15.50,1,66.7%,10.33,0,0,,0,0,0,,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,26,35%,0,0%,12,35%,False,Phillip Lindsay
2018,2018-09-16,2,2,24.054,DEN,,OAK,W 20-19,False,14,107,7.64,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,10,38%,False,Phillip Lindsay
2018,2018-09-23,3,3,24.061,DEN,@,BAL,L 14-27,False,4,20,5.00,0,2,0,0,,0,0.0%,0.00,1,18,18.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,16%,0,0%,4,14%,True,Phillip Lindsay
2018,2018-10-01,4,4,24.069,DEN,,KAN,L 23-27,False,12,69,5.75,1,2,2,10,5.00,0,100.0%,5.00,1,32,32.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,24,40%,0,0%,8,29%,False,Phillip Lindsay
2018,2018-10-07,5,5,24.075,DEN,@,NYJ,L 16-34,False,12,61,5.08,0,4,3,20,6.67,0,75.0%,5.00,1,27,27.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,38%,0,0%,12,38%,True,Phillip Lindsay
2018,2018-10-14,6,6,24.082,DEN,,LAR,L 20-23,False,4,18,4.50,0,7,6,48,8.00,0,85.7%,6.86,2,48,24.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,30%,0,0%,9,32%,False,Phillip Lindsay
2018,2018-10-18,7,7,24.086,DEN,@,ARI,W 45-10,False,14,90,6.43,1,1,1,6,6.00,0,100.0%,6.00,2,38,19.00,0,3,23,7.67,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,35,59%,0,0%,8,25%,True,Phillip Lindsay
2018,2018-10-28,8,8,24.096,DEN,@,KAN,L 23-30,True,18,95,5.28,1,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,41,56%,0,0%,0,0%,True,Phillip Lindsay
2018,2018-11-04,9,9,24.103,DEN,,HOU,L 17-19,True,17,60,3.53,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,58%,0,0%,0,0%,False,Phillip Lindsay
2018,2018-11-18,10,11,24.117,DEN,@,LAC,W 23-22,True,11,79,7.18,2,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,32,57%,0,0%,0,0%,True,Phillip Lindsay
2018,2018-11-25,11,12,24.124,DEN,,PIT,W 24-17,True,14,110,7.86,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,36,63%,0,0%,0,0%,False,Phillip Lindsay
2018,2018-12-02,12,13,24.131,DEN,@,CIN,W 24-10,True,19,157,8.26,2,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,25,42%,0,0%,0,0%,True,Phillip Lindsay
2018,2018-12-09,13,14,24.138,DEN,@,SFO,L 14-20,True,14,30,2.14,1,7,4,21,5.25,0,57.1%,3.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,65%,0,0%,0,0%,True,Phillip Lindsay
2018,2018-12-15,14,15,24.144,DEN,,CLE,L 16-17,True,14,24,1.71,0,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,53%,0,0%,0,0%,False,Phillip Lindsay
2018,2018-12-24,15,16,24.153,DEN,@,OAK,L 14-27,True,10,46,4.60,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,7,0,21,31%,0,0%,0,0%,True,Phillip Lindsay
2018,2018-12-30,16,17,,DEN,,LAC,L 9-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Phillip Lindsay
2019,2019-09-09,1,1,25.047,DEN,@,OAK,L 16-24,True,11,43,3.91,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,53%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-09-15,2,2,25.053,DEN,,CHI,L 14-16,True,13,36,2.77,0,7,4,30,7.50,0,57.1%,4.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,48%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-09-22,3,3,25.060,DEN,@,GNB,L 16-27,True,21,81,3.86,2,5,4,49,12.25,0,80.0%,9.80,0,0,,0,0,0,,0,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,41,56%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-09-29,4,4,25.067,DEN,,JAX,L 24-26,True,9,53,5.89,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,45%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-10-06,5,5,25.074,DEN,@,LAC,W 20-13,True,15,114,7.60,1,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-10-13,6,6,25.081,DEN,,TEN,W 16-0,True,15,70,4.67,1,3,2,5,2.50,0,66.7%,1.67,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,28,47%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-10-17,7,7,25.085,DEN,,KAN,L 6-30,True,11,36,3.27,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,40%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-10-27,8,8,25.095,DEN,@,IND,L 13-15,True,14,59,4.21,0,5,5,17,3.40,0,100.0%,3.40,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,36,49%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-11-03,9,9,25.102,DEN,,CLE,W 24-19,True,9,92,10.22,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,23,48%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-11-17,10,11,25.116,DEN,@,MIN,L 23-27,True,16,67,4.19,0,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,65%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-11-24,11,12,25.123,DEN,@,BUF,L 3-20,True,13,57,4.38,0,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,55%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-12-01,12,13,25.130,DEN,,LAC,W 23-20,True,17,58,3.41,0,3,3,4,1.33,0,100.0%,1.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,25,45%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-12-08,13,14,25.137,DEN,@,HOU,W 38-24,True,16,51,3.19,1,2,2,4,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-12-15,14,15,25.144,DEN,@,KAN,L 3-23,True,7,32,4.57,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,23,39%,0,0%,0,0%,True,Phillip Lindsay
2019,2019-12-22,15,16,25.151,DEN,,DET,W 27-17,True,19,109,5.74,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,58%,0,0%,0,0%,False,Phillip Lindsay
2019,2019-12-29,16,17,25.158,DEN,,OAK,W 16-15,True,18,53,2.94,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,57%,0,0%,0,0%,False,Phillip Lindsay
