Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-15,2.0,2.0,23.117,BUF,NYG,W 28-14,True,19,30,63.33,253,1,0,101.1,3,16,8.43,9.10,7,21,3.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,True,Josh Allen,True,28,14
2019.0,2019-09-22,3.0,3.0,23.124,BUF,CIN,W 21-17,True,23,36,63.89,243,1,1,81.1,1,2,6.75,6.06,9,46,5.11,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,76,99%,0,0%,0,0%,False,Josh Allen,True,21,17
2019.0,2019-09-29,4.0,4.0,23.131,BUF,NWE,L 10-16,True,13,28,46.43,153,0,3,24.0,4,31,5.46,0.64,5,26,5.20,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,58,73%,0,0%,0,0%,False,Josh Allen,False,10,16
2019.0,2019-10-06,5.0,5.0,23.138,BUF,TEN,W 14-7,True,23,32,71.88,219,2,1,98.3,4,15,6.84,6.69,10,27,2.70,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Josh Allen,True,14,7
2019.0,2019-10-20,6.0,7.0,23.152,BUF,MIA,W 31-21,True,16,26,61.54,202,2,0,111.4,2,14,7.77,9.31,4,32,8.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%,False,Josh Allen,True,31,21
2019.0,2019-10-27,7.0,8.0,23.159,BUF,PHI,L 13-31,True,16,34,47.06,169,2,0,81.6,4,14,4.97,6.15,8,45,5.63,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,3,1,0,1,0,0,59,100%,0,0%,0,0%,False,Josh Allen,False,13,31
2019.0,2019-11-03,8.0,9.0,23.166,BUF,WAS,W 24-9,True,14,20,70.00,160,1,0,110.4,2,14,8.00,9.00,8,12,1.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,False,Josh Allen,True,24,9
2019.0,2019-11-10,9.0,10.0,23.173,BUF,CLE,L 16-19,True,22,41,53.66,266,0,0,73.8,1,6,6.49,6.49,6,28,4.67,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%,True,Josh Allen,False,16,19
2019.0,2019-11-17,10.0,11.0,23.18,BUF,MIA,W 37-20,True,21,33,63.64,256,3,0,117.7,0,0,7.76,9.58,7,56,8.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Josh Allen,True,37,20
2019.0,2019-11-24,11.0,12.0,23.187,BUF,DEN,W 20-3,True,15,25,60.00,185,2,1,92.9,1,5,7.40,7.20,9,56,6.22,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,False,Josh Allen,True,20,3
2019.0,2019-11-28,12.0,13.0,23.191,BUF,DAL,W 26-15,True,19,24,79.17,231,1,0,120.7,4,27,9.63,10.46,10,43,4.30,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,66,100%,0,0%,0,0%,True,Josh Allen,True,26,15
2019.0,2019-12-08,13.0,14.0,23.201,BUF,BAL,L 17-24,True,17,39,43.59,146,1,0,62.6,6,41,3.74,4.26,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,False,Josh Allen,False,17,24
2019.0,2019-12-15,14.0,15.0,23.208,BUF,PIT,W 17-10,True,13,25,52.00,139,1,1,65.2,1,8,5.56,4.56,7,28,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,True,Josh Allen,True,17,10
2019.0,2019-12-21,15.0,16.0,23.214,BUF,NWE,L 17-24,True,13,26,50.00,208,2,0,102.7,4,32,8.00,9.54,7,43,6.14,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Josh Allen,False,17,24
2019.0,2019-12-29,16.0,17.0,23.222,BUF,NYJ,L 6-13,True,3,5,60.00,5,0,0,64.6,0,0,1.00,1.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,11%,0,0%,0,0%,False,Josh Allen,False,6,13
2020.0,2020-09-13,1.0,1.0,24.115,BUF,NYJ,W 27-17,True,33,46,71.74,312,2,0,104.6,3,6,6.78,7.65,14,57,4.07,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,2,2,0,0,0,0,87,100%,0,0%,0,0%,False,Josh Allen,True,27,17
2020.0,2020-09-20,2.0,2.0,24.122,BUF,MIA,W 31-28,True,24,35,68.57,415,4,0,146.7,1,4,11.86,14.14,4,19,4.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Josh Allen,True,31,28
2020.0,2020-09-27,3.0,3.0,24.129,BUF,LAR,W 35-32,True,24,33,72.73,311,4,1,128.9,4,37,9.42,10.48,4,8,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,False,Josh Allen,True,35,32
2020.0,2020-10-04,4.0,4.0,24.136,BUF,LVR,W 30-23,True,24,34,70.59,288,2,0,115.8,1,14,8.47,9.65,3,-1,-0.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Josh Allen,True,30,23
2020.0,2020-10-13,5.0,5.0,24.145,BUF,TEN,L 16-42,True,26,41,63.41,263,2,2,77.6,1,10,6.41,5.20,4,18,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%,True,Josh Allen,False,16,42
2020.0,2020-10-19,6.0,6.0,24.151,BUF,KAN,L 17-26,True,14,27,51.85,122,2,1,73.4,0,0,4.52,4.33,8,42,5.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,False,Josh Allen,False,17,26
2020.0,2020-10-25,7.0,7.0,24.157,BUF,NYJ,W 18-10,True,30,43,69.77,307,0,0,90.0,2,11,7.14,7.14,11,61,5.55,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%,True,Josh Allen,True,18,10
2020.0,2020-11-01,8.0,8.0,24.164,BUF,NWE,W 24-21,True,11,18,61.11,154,0,1,65.5,1,5,8.56,6.06,10,23,2.30,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,False,Josh Allen,True,24,21
2020.0,2020-11-08,9.0,9.0,24.171,BUF,SEA,W 44-34,True,31,38,81.58,415,3,0,138.5,7,29,10.92,12.50,7,14,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,False,Josh Allen,True,44,34
2020.0,2020-11-15,10.0,10.0,24.178,BUF,ARI,L 30-32,True,32,49,65.31,284,2,2,77.3,0,0,5.80,4.78,7,38,5.43,0,1,1,12,12.00,1,100.0%,12.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,True,Josh Allen,False,30,32
2020.0,2020-11-29,11.0,12.0,24.192,BUF,LAC,W 27-17,True,18,24,75.00,157,1,1,88.4,2,10,6.54,5.50,9,32,3.56,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,1,0,0,-2,0,61,98%,0,0%,0,0%,False,Josh Allen,True,27,17
2020.0,2020-12-07,12.0,13.0,24.2,BUF,SFO,W 34-24,True,32,40,80.00,375,4,0,139.1,1,7,9.38,11.38,6,11,1.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%,True,Josh Allen,True,34,24
2020.0,2020-12-13,13.0,14.0,24.206,BUF,PIT,W 26-15,True,24,43,55.81,238,2,1,77.5,1,8,5.53,5.42,6,28,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,75,100%,0,0%,0,0%,False,Josh Allen,True,26,15
2020.0,2020-12-19,14.0,15.0,24.212,BUF,DEN,W 48-19,True,28,40,70.00,359,2,0,114.5,1,7,8.98,9.98,3,33,11.00,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,1,0,0,1,0,0,72,99%,0,0%,0,0%,True,Josh Allen,True,48,19
2020.0,2020-12-28,15.0,16.0,24.221,BUF,NWE,W 38-9,True,27,36,75.00,320,4,0,138.7,0,0,8.89,11.11,4,35,8.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%,True,Josh Allen,True,38,9
2020.0,2021-01-03,16.0,17.0,24.227,BUF,MIA,W 56-26,True,18,25,72.00,224,3,1,122.3,1,11,8.96,9.56,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,35,55%,0,0%,0,0%,False,Josh Allen,True,56,26
2021.0,2021-09-12,1.0,1.0,25.114,BUF,PIT,L 16-23,True,30,51,58.82,270,1,0,79.7,3,16,5.29,5.69,9,44,4.89,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,85,100%,0,0%,0,0%,False,Josh Allen,False,16,23
2021.0,2021-09-19,2.0,2.0,25.121,BUF,MIA,W 35-0,True,17,33,51.52,179,2,1,75.2,1,8,5.42,5.27,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,97%,0,0%,0,0%,True,Josh Allen,True,35,0
2021.0,2021-09-26,3.0,3.0,25.128,BUF,WAS,W 43-21,True,32,43,74.42,358,4,0,129.8,0,0,8.33,10.19,4,9,2.25,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,71,90%,0,0%,0,0%,False,Josh Allen,True,43,21
2021.0,2021-10-03,4.0,4.0,25.135,BUF,HOU,W 40-0,True,20,30,66.67,248,2,1,100.4,1,5,8.27,8.10,6,41,6.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-2,0,63,88%,0,0%,0,0%,False,Josh Allen,True,40,0
2021.0,2021-10-10,5.0,5.0,25.142,BUF,KAN,W 38-20,True,15,26,57.69,315,3,0,139.1,0,0,12.12,14.42,11,59,5.36,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,True,Josh Allen,True,38,20
2021.0,2021-10-18,6.0,6.0,25.15,BUF,TEN,L 31-34,True,35,47,74.47,353,3,1,107.8,3,18,7.51,7.83,9,26,2.89,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,True,Josh Allen,False,31,34
2021.0,2021-10-31,7.0,8.0,25.163,BUF,MIA,W 26-11,True,29,42,69.05,249,2,0,100.2,0,0,5.93,6.88,8,55,6.88,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,False,Josh Allen,True,26,11
2021.0,2021-11-07,8.0,9.0,25.17,BUF,JAX,L 6-9,True,31,47,65.96,264,0,2,62.7,4,35,5.62,3.70,5,50,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,67,100%,0,0%,0,0%,True,Josh Allen,False,6,9
2021.0,2021-11-14,9.0,10.0,25.177,BUF,NYJ,W 45-17,True,21,28,75.00,366,2,1,125.6,2,16,13.07,12.89,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,True,Josh Allen,True,45,17
2021.0,2021-11-21,10.0,11.0,25.184,BUF,IND,L 15-41,True,21,35,60.00,209,2,2,72.2,1,8,5.97,4.54,2,18,9.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0,0,0,0,1,0,0,0,0,0,50,89%,0,0%,0,0%,False,Josh Allen,False,15,41
2021.0,2021-11-25,11.0,12.0,25.188,BUF,NOR,W 31-6,True,23,28,82.14,260,4,2,115.2,2,12,9.29,8.93,8,43,5.38,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,True,Josh Allen,True,31,6
2021.0,2021-12-06,12.0,13.0,25.199,BUF,NWE,L 10-14,True,15,30,50.00,145,1,0,75.0,2,14,4.83,5.50,6,39,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,-2,0,58,100%,0,0%,0,0%,False,Josh Allen,False,10,14
2021.0,2021-12-12,13.0,14.0,25.205,BUF,TAM,L 27-33,True,36,54,66.67,308,2,1,86.0,3,15,5.70,5.61,12,109,9.08,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,78,100%,0,0%,0,0%,True,Josh Allen,False,27,33
2021.0,2021-12-19,14.0,15.0,25.212,BUF,CAR,W 31-14,True,19,34,55.88,210,3,1,91.5,4,17,6.18,6.62,3,24,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,70,100%,0,0%,0,0%,False,Josh Allen,True,31,14
2021.0,2021-12-26,15.0,16.0,25.219,BUF,NWE,W 33-21,True,30,47,63.83,314,3,0,104.4,0,0,6.68,7.96,12,64,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,Josh Allen,True,33,21
2021.0,2022-01-02,16.0,17.0,25.226,BUF,ATL,W 29-15,True,11,26,42.31,120,0,3,17.0,0,0,4.62,-0.58,15,81,5.40,2,0,0,0,,0,0.0%,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,Josh Allen,True,29,15
2021.0,2022-01-09,17.0,18.0,25.233,BUF,NYJ,W 27-10,True,24,45,53.33,239,2,0,83.5,0,0,5.31,6.20,5,63,12.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77,94%,0,0%,0,0%,False,Josh Allen,True,27,10
,61 Games,,,,,,39-22-0,False,1245,1999,62.28,14114,103,46,91.0,118,773,7.06,7.06,422,2325,5.51,31,2,1,12,12.00,1,50.0%,6.00,3,32,198,0.0,1,0,1,0,0,39,15,0,9,-21,0,,,,,,,False,Josh Allen,False,22,0
