Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,22.061,CLE,PHI,True,19,39,2.05,0,3,1,5,5.00,0,33.3%,1.67,0,0,0,0,0,1,0,0,42,69%,0,0%,0,0%,False,False,16,17,Trent Richardson
2012,2012-09-16,2,2,22.068,CLE,CIN,True,19,109,5.74,1,5,4,36,9.00,1,80.0%,7.20,2,12,0,0,0,0,0,0,46,71%,0,0%,0,0%,True,False,27,34,Trent Richardson
2012,2012-09-23,3,3,22.075,CLE,BUF,True,12,27,2.25,1,7,6,24,4.00,0,85.7%,3.43,1,6,0,0,0,0,0,0,48,76%,0,0%,0,0%,False,False,14,24,Trent Richardson
2012,2012-09-27,4,4,22.079,CLE,BAL,True,14,47,3.36,1,6,4,57,14.25,0,66.7%,9.50,1,6,0,0,0,0,0,0,48,68%,0,0%,0,0%,True,False,16,23,Trent Richardson
2012,2012-10-07,5,5,22.089,CLE,NYG,True,17,81,4.76,1,7,5,47,9.40,0,71.4%,6.71,1,6,0,0,0,0,0,0,49,84%,0,0%,0,0%,True,False,27,41,Trent Richardson
2012,2012-10-14,6,6,22.096,CLE,CIN,True,14,37,2.64,0,3,2,17,8.50,0,66.7%,5.67,0,0,1,0,0,1,0,0,27,42%,0,0%,0,0%,False,True,34,24,Trent Richardson
2012,2012-10-21,7,7,22.103,CLE,IND,True,8,8,1.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,0,0,0,0,0,0,16,27%,0,0%,0,0%,True,False,13,17,Trent Richardson
2012,2012-10-28,8,8,22.110,CLE,SDG,True,24,122,5.08,1,1,1,12,12.00,0,100.0%,12.00,1,6,0,0,0,0,0,0,50,79%,0,0%,0,0%,False,True,7,6,Trent Richardson
2012,2012-11-04,9,9,22.117,CLE,BAL,True,25,105,4.20,0,9,6,31,5.17,0,66.7%,3.44,0,0,1,0,0,0,0,0,64,91%,0,0%,0,0%,False,False,15,25,Trent Richardson
2012,2012-11-18,10,11,22.131,CLE,DAL,True,28,95,3.39,0,8,6,49,8.17,0,75.0%,6.13,0,0,1,0,0,1,0,0,62,89%,0,0%,0,0%,True,False,20,23,Trent Richardson
