Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2005,2005-09-11,1,1,23.143,TAM,MIN,True,27,148,5.48,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,True,True,24,13,Cadillac Williams
2005,2005-09-18,2,2,23.150,TAM,BUF,True,24,128,5.33,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,False,True,19,3,Cadillac Williams
2005,2005-09-25,3,3,23.157,TAM,GNB,True,37,158,4.27,0,1,1,0,0.00,0,100.0%,0.00,0,0,0,,0,0,0,0,True,True,17,16,Cadillac Williams
2005,2005-10-02,4,4,23.164,TAM,DET,True,11,13,1.18,0,3,2,6,3.00,0,66.7%,2.00,0,0,0,,0,0,0,0,False,True,17,13,Cadillac Williams
2005,2005-10-09,5,5,,TAM,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,12,14,Cadillac Williams
2005,2005-10-16,6,6,,TAM,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,13,Cadillac Williams
2005,2005-10-30,7,8,23.192,TAM,SFO,True,13,20,1.54,0,2,1,5,5.00,0,50.0%,2.50,0,0,0,,0,0,0,0,True,False,10,15,Cadillac Williams
2005,2005-11-06,8,9,23.199,TAM,CAR,True,11,29,2.64,0,3,3,25,8.33,0,100.0%,8.33,0,0,1,1,0,0,0,0,False,False,14,34,Cadillac Williams
2005,2005-11-13,9,10,23.206,TAM,WAS,True,10,20,2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,False,True,36,35,Cadillac Williams
2005,2005-11-20,10,11,23.213,TAM,ATL,True,19,116,6.11,1,3,3,13,4.33,0,100.0%,4.33,1,6,0,,0,0,0,0,True,True,30,27,Cadillac Williams
2005,2005-11-27,11,12,23.220,TAM,CHI,True,20,84,4.20,0,2,2,7,3.50,0,100.0%,3.50,0,0,0,,0,0,0,0,False,False,10,13,Cadillac Williams
2005,2005-12-04,12,13,23.227,TAM,NOR,True,22,96,4.36,0,3,2,7,3.50,0,66.7%,2.33,0,0,0,,0,0,0,0,True,True,10,3,Cadillac Williams
2005,2005-12-11,13,14,23.234,TAM,CAR,True,29,112,3.86,2,2,2,4,2.00,0,100.0%,2.00,2,12,0,,0,0,0,0,True,True,20,10,Cadillac Williams
2005,2005-12-17,14,15,23.240,TAM,NWE,True,14,23,1.64,0,3,3,4,1.33,0,100.0%,1.33,0,0,0,,0,1,0,0,True,False,0,28,Cadillac Williams
2005,2005-12-24,15,16,23.247,TAM,ATL,True,31,150,4.84,1,3,1,10,10.00,0,33.3%,3.33,1,6,0,,0,0,0,0,False,True,27,24,Cadillac Williams
2005,2006-01-01,16,17,23.255,TAM,NOR,True,22,81,3.68,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,False,True,27,13,Cadillac Williams
2006,2006-09-10,1,1,24.142,TAM,BAL,True,8,22,2.75,0,6,5,25,5.00,0,83.3%,4.17,0,0,0,,0,0,0,0,False,False,0,27,Cadillac Williams
