Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2006,2006-09-17,2,2,24.149,TAM,ATL,True,15,37,2.47,0,1,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,True,False,3,14,Cadillac Williams
2006,2006-09-24,3,3,24.156,TAM,CAR,True,19,48,2.53,1,3,2,16,8.00,0,66.7%,5.33,1,6,0,,0,0,0,0,False,False,24,26,Cadillac Williams
2006,2006-10-08,4,5,24.170,TAM,NOR,True,20,111,5.55,0,4,3,14,4.67,0,75.0%,3.50,0,0,0,,0,0,0,0,True,False,21,24,Cadillac Williams
2006,2006-10-15,5,6,24.177,TAM,CIN,True,19,94,4.95,0,5,3,10,3.33,0,60.0%,2.00,0,0,0,,0,0,0,0,False,True,14,13,Cadillac Williams
2006,2006-10-22,6,7,24.184,TAM,PHI,True,23,82,3.57,0,3,2,11,5.50,0,66.7%,3.67,0,0,0,,0,0,0,0,False,True,23,21,Cadillac Williams
2006,2006-10-29,7,8,24.191,TAM,NYG,True,8,20,2.50,0,8,5,34,6.80,0,62.5%,4.25,0,0,0,,0,0,0,0,True,False,3,17,Cadillac Williams
2006,2006-11-05,8,9,24.198,TAM,NOR,True,12,39,3.25,0,3,1,5,5.00,0,33.3%,1.67,0,0,0,,0,0,0,0,False,False,14,31,Cadillac Williams
2006,2006-11-13,9,10,24.206,TAM,CAR,True,15,44,2.93,0,1,0,0,,0,0.0%,0.00,0,0,1,1,0,0,0,0,True,False,10,24,Cadillac Williams
2006,2006-11-19,10,11,24.212,TAM,WAS,True,27,122,4.52,0,2,2,34,17.00,0,100.0%,17.00,0,0,0,,0,0,0,0,False,True,20,17,Cadillac Williams
2006,2006-11-23,11,12,24.216,TAM,DAL,True,17,78,4.59,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,False,10,38,Cadillac Williams
2006,2006-12-03,12,13,24.226,TAM,PIT,True,11,27,2.45,0,5,4,30,7.50,0,80.0%,6.00,0,0,1,1,0,0,0,0,True,False,3,20,Cadillac Williams
2006,2006-12-10,13,14,24.233,TAM,ATL,True,20,48,2.40,0,1,1,5,5.00,0,100.0%,5.00,0,0,1,1,0,0,0,0,False,False,6,17,Cadillac Williams
2006,2006-12-17,14,15,24.240,TAM,CHI,True,11,26,2.36,0,2,2,12,6.00,0,100.0%,6.00,0,0,0,,0,0,0,0,True,False,31,34,Cadillac Williams
2006,2006-12-24,15,16,,TAM,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,22,7,Cadillac Williams
2006,2006-12-31,16,17,,TAM,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,23,Cadillac Williams
2007,2007-09-09,1,1,25.141,TAM,SEA,True,12,60,5.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,1,1,0,0,0,0,True,False,6,20,Cadillac Williams
2007,2007-09-16,2,2,25.148,TAM,NOR,True,24,61,2.54,2,0,0,0,,0,0.0%,,2,12,0,,0,0,0,0,False,True,31,14,Cadillac Williams
2007,2007-09-23,3,3,25.155,TAM,STL,True,12,46,3.83,1,1,1,3,3.00,0,100.0%,3.00,1,6,1,1,0,0,0,0,False,True,24,3,Cadillac Williams
2007,2007-09-30,4,4,25.162,TAM,CAR,True,6,41,6.83,0,2,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,True,True,20,7,Cadillac Williams
2007,2007-10-07,5,5,,TAM,IND,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,33,Cadillac Williams
2007,2007-10-14,6,6,,TAM,TEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,13,10,Cadillac Williams
2007,2007-10-21,7,7,,TAM,DET,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,16,23,Cadillac Williams
2007,2007-10-28,8,8,,TAM,JAX,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,24,Cadillac Williams
2007,2007-11-04,9,9,,TAM,ARI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,17,10,Cadillac Williams
2007,2007-11-18,10,11,,TAM,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,31,7,Cadillac Williams
2007,2007-11-25,11,12,,TAM,WAS,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,19,13,Cadillac Williams
2007,2007-12-02,12,13,,TAM,NOR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,27,23,Cadillac Williams
2007,2007-12-09,13,14,,TAM,HOU,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,14,28,Cadillac Williams
2007,2007-12-16,14,15,,TAM,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,37,3,Cadillac Williams
2007,2007-12-23,15,16,,TAM,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,19,21,Cadillac Williams
2007,2007-12-30,16,17,,TAM,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,31,Cadillac Williams
2008,2008-09-07,1,1,,TAM,NOR,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,False,20,24,Cadillac Williams
2008,2008-09-14,2,2,,TAM,ATL,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,True,24,9,Cadillac Williams
2008,2008-09-21,3,3,,TAM,CHI,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,True,27,24,Cadillac Williams
2008,2008-09-28,4,4,,TAM,GNB,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,True,30,21,Cadillac Williams
2008,2008-10-05,5,5,,TAM,DEN,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,False,13,16,Cadillac Williams
2008,2008-10-12,6,6,,TAM,CAR,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,True,27,3,Cadillac Williams
2008,2008-10-19,7,7,,TAM,SEA,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,True,20,10,Cadillac Williams
2008,2008-10-26,8,8,,TAM,DAL,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,False,9,13,Cadillac Williams
2008,2008-11-02,9,9,,TAM,KAN,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,True,30,27,Cadillac Williams
2008,2008-11-16,10,11,,TAM,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,19,13,Cadillac Williams
2008,2008-11-23,11,12,26.216,TAM,DET,False,16,27,1.69,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,True,38,20,Cadillac Williams
2008,2008-11-30,12,13,26.223,TAM,NOR,False,4,20,5.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,False,True,23,20,Cadillac Williams
2008,2008-12-08,13,14,26.231,TAM,CAR,False,9,22,2.44,1,1,1,6,6.00,0,100.0%,6.00,1,6,0,,0,0,0,0,True,False,23,38,Cadillac Williams
2008,2008-12-14,14,15,26.237,TAM,ATL,False,14,59,4.21,0,1,1,0,0.00,0,100.0%,0.00,0,0,0,,0,0,0,0,True,False,10,13,Cadillac Williams
2008,2008-12-21,15,16,26.244,TAM,SDG,False,8,27,3.38,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,False,False,24,41,Cadillac Williams
2008,2008-12-28,16,17,26.251,TAM,OAK,True,12,78,6.50,2,5,5,37,7.40,0,100.0%,7.40,2,12,1,0,0,1,0,0,False,False,24,31,Cadillac Williams
2009,2009-09-13,1,1,27.145,TAM,DAL,True,13,97,7.46,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,False,False,21,34,Cadillac Williams
2009,2009-09-20,2,2,27.152,TAM,BUF,True,7,9,1.29,0,9,7,56,8.00,1,77.8%,6.22,1,6,0,,0,0,0,0,True,False,20,33,Cadillac Williams
2009,2009-09-27,3,3,27.159,TAM,NYG,False,2,8,4.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,0,,0,0,0,0,False,False,0,24,Cadillac Williams
2009,2009-10-04,4,4,27.166,TAM,WAS,True,16,77,4.81,0,5,4,22,5.50,0,80.0%,4.40,0,0,0,,0,0,0,0,True,False,13,16,Cadillac Williams
2009,2009-10-11,5,5,27.173,TAM,PHI,True,10,8,0.80,0,3,3,8,2.67,0,100.0%,2.67,0,0,0,,0,0,0,0,True,False,14,33,Cadillac Williams
2009,2009-10-18,6,6,27.180,TAM,CAR,True,16,77,4.81,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,False,False,21,28,Cadillac Williams
2009,2009-10-25,7,7,27.187,TAM,NWE,True,12,34,2.83,0,2,2,28,14.00,0,100.0%,14.00,0,0,0,,0,0,0,0,False,False,7,35,Cadillac Williams
2009,2009-11-08,8,9,27.201,TAM,GNB,True,16,56,3.50,0,3,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,False,True,38,28,Cadillac Williams
2009,2009-11-15,9,10,27.208,TAM,MIA,True,14,52,3.71,1,1,0,0,,0,0.0%,0.00,1,6,0,,0,1,0,0,True,False,23,25,Cadillac Williams
2009,2009-11-22,10,11,27.215,TAM,NOR,True,11,32,2.91,0,1,1,4,4.00,0,100.0%,4.00,0,0,0,,0,0,0,0,False,False,7,38,Cadillac Williams
2009,2009-11-29,11,12,27.222,TAM,ATL,True,10,30,3.00,0,1,1,8,8.00,1,100.0%,8.00,1,6,0,,0,0,0,0,True,False,17,20,Cadillac Williams
2009,2009-12-06,12,13,27.229,TAM,CAR,True,17,92,5.41,0,3,2,14,7.00,0,66.7%,4.67,0,0,0,,0,0,0,0,True,False,6,16,Cadillac Williams
2009,2009-12-13,13,14,27.236,TAM,NYJ,True,11,14,1.27,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,False,False,3,26,Cadillac Williams
2009,2009-12-20,14,15,27.243,TAM,SEA,True,12,66,5.50,0,1,1,22,22.00,1,100.0%,22.00,1,6,0,,0,0,0,0,True,True,24,7,Cadillac Williams
2009,2009-12-27,15,16,27.250,TAM,NOR,True,24,129,5.38,1,3,3,19,6.33,0,100.0%,6.33,1,6,0,,0,0,0,0,True,True,20,17,Cadillac Williams
2009,2010-01-03,16,17,27.257,TAM,ATL,True,20,42,2.10,0,6,3,33,11.00,0,50.0%,5.50,0,0,1,0,0,0,0,0,False,False,10,20,Cadillac Williams
2010,2010-09-12,1,1,28.144,TAM,CLE,True,22,75,3.41,0,2,2,23,11.50,0,100.0%,11.50,0,0,0,,0,0,0,0,False,True,17,14,Cadillac Williams
2010,2010-09-19,2,2,28.151,TAM,CAR,True,27,51,1.89,0,5,1,8,8.00,0,20.0%,1.60,0,0,0,,0,0,0,0,True,True,20,7,Cadillac Williams
2010,2010-09-26,3,3,28.158,TAM,PIT,True,6,13,2.17,0,7,5,33,6.60,0,71.4%,4.71,0,0,0,,0,0,0,0,False,False,13,38,Cadillac Williams
2010,2010-10-10,4,5,28.172,TAM,CIN,True,11,33,3.00,0,3,0,0,,0,0.0%,0.00,0,0,0,,0,0,0,0,True,True,24,21,Cadillac Williams
2010,2010-10-17,5,6,28.179,TAM,NOR,True,10,18,1.80,0,8,7,63,9.00,0,87.5%,7.88,0,0,1,1,0,0,0,0,False,False,6,31,Cadillac Williams
2010,2010-10-24,6,7,28.186,TAM,STL,True,4,12,3.00,0,8,8,34,4.25,1,100.0%,4.25,1,6,0,,0,0,0,0,False,True,18,17,Cadillac Williams
2010,2010-10-31,7,8,28.193,TAM,ARI,True,4,10,2.50,0,5,3,26,8.67,0,60.0%,5.20,0,0,0,,0,0,0,0,True,True,38,35,Cadillac Williams
2010,2010-11-07,8,9,28.200,TAM,ATL,True,8,13,1.63,0,2,1,9,9.00,0,50.0%,4.50,0,0,0,,0,0,0,0,True,False,21,27,Cadillac Williams
2010,2010-11-14,9,10,28.207,TAM,CAR,True,5,62,12.40,1,2,2,23,11.50,0,100.0%,11.50,1,6,0,,0,0,0,0,False,True,31,16,Cadillac Williams
2010,2010-11-21,10,11,28.214,TAM,SFO,False,7,51,7.29,1,1,1,7,7.00,0,100.0%,7.00,1,6,0,,0,0,0,0,True,True,21,0,Cadillac Williams
2010,2010-11-28,11,12,28.221,TAM,BAL,False,4,19,4.75,0,8,5,41,8.20,0,62.5%,5.13,0,0,0,,0,0,0,0,True,False,10,17,Cadillac Williams
2010,2010-12-05,12,13,28.228,TAM,ATL,False,2,8,4.00,0,3,2,6,3.00,0,66.7%,2.00,0,0,0,,0,0,0,0,False,False,24,28,Cadillac Williams
2010,2010-12-12,13,14,28.235,TAM,WAS,False,3,6,2.00,0,4,4,34,8.50,0,100.0%,8.50,0,0,0,,0,0,0,0,True,True,17,16,Cadillac Williams
2010,2010-12-19,14,15,28.242,TAM,DET,False,7,38,5.43,0,3,2,26,13.00,0,66.7%,8.67,0,0,0,,0,0,0,0,False,False,20,23,Cadillac Williams
2010,2010-12-26,15,16,28.249,TAM,SEA,False,4,21,5.25,0,3,3,22,7.33,0,100.0%,7.33,0,0,0,,0,0,0,0,False,True,38,15,Cadillac Williams
2010,2011-01-02,16,17,28.256,TAM,NOR,False,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,True,23,13,Cadillac Williams
2011,2011-09-11,1,1,29.143,STL,PHI,False,19,91,4.79,0,9,5,49,9.80,0,55.6%,5.44,0,0,0,,0,0,0,0,False,False,13,31,Cadillac Williams
2011,2011-09-19,2,2,29.151,STL,NYG,True,13,36,2.77,0,5,3,4,1.33,0,60.0%,0.80,0,0,0,,0,0,0,0,True,False,16,28,Cadillac Williams
2011,2011-09-25,3,3,29.157,STL,BAL,False,18,75,4.17,0,2,1,4,4.00,0,50.0%,2.00,0,0,0,,0,0,0,0,False,False,7,37,Cadillac Williams
2011,2011-10-02,4,4,,STL,WAS,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,10,17,Cadillac Williams
2011,2011-10-16,5,6,29.178,STL,GNB,False,3,17,5.67,0,4,3,17,5.67,0,75.0%,4.25,0,0,0,,0,0,0,0,True,False,3,24,Cadillac Williams
2011,2011-10-23,6,7,29.185,STL,DAL,False,2,1,0.50,0,1,1,13,13.00,0,100.0%,13.00,0,0,1,1,0,0,0,0,True,False,7,34,Cadillac Williams
2011,2011-10-30,7,8,29.192,STL,NOR,False,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,False,True,31,21,Cadillac Williams
2011,2011-11-06,8,9,29.199,STL,ARI,False,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,False,13,19,Cadillac Williams
2011,2011-11-13,9,10,,STL,CLE,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,13,12,Cadillac Williams
2011,2011-11-20,10,11,,STL,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,24,Cadillac Williams
2011,2011-11-27,11,12,,STL,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,20,23,Cadillac Williams
2011,2011-12-04,12,13,,STL,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,0,26,Cadillac Williams
2011,2011-12-12,13,14,29.235,STL,SEA,False,8,49,6.13,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,False,13,30,Cadillac Williams
2011,2011-12-18,14,15,29.241,STL,CIN,False,3,16,5.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,0,,0,0,0,0,False,False,13,20,Cadillac Williams
2011,2011-12-24,15,16,29.247,STL,PIT,False,9,42,4.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,True,False,0,27,Cadillac Williams
2011,2012-01-01,16,17,29.255,STL,SFO,False,7,17,2.43,1,1,0,0,,0,0.0%,0.00,1,6,0,,0,0,0,0,False,False,27,34,Cadillac Williams
,81 Games,,,,,,False,1055,4038,3.83,21,207,148,1002,6.77,4,71.5%,4.84,25,150,12,9,0,3,0,0,False,False,49,0,Cadillac Williams
