Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2010.0,2010-09-12,1.0,1.0,,ARI,STL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,17,13,Max Hall
2010.0,2010-09-19,2.0,2.0,24.353,ARI,ATL,False,1,2,50.00,3,0,1,16.7,0,0,1.50,-21.00,0,0,,0,0,,0,0,0,0,True,False,7,41,Max Hall
2010.0,2010-09-26,3.0,3.0,,ARI,OAK,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,24,23,Max Hall
2010.0,2010-10-03,4.0,4.0,25.002,ARI,SDG,False,8,14,57.14,82,0,0,74.1,6,39,5.86,5.86,0,0,,0,1,1,0,0,0,0,True,False,10,41,Max Hall
2010.0,2010-10-10,5.0,5.0,25.009,ARI,NOR,True,17,27,62.96,168,0,1,65.0,4,21,6.22,4.56,0,0,,0,2,0,0,0,0,0,False,True,30,20,Max Hall
2010.0,2010-10-24,6.0,7.0,25.023,ARI,SEA,True,4,16,25.00,36,0,1,13.5,2,18,2.25,-0.56,0,0,,0,1,1,0,0,0,0,True,False,10,22,Max Hall
2010.0,2010-10-31,7.0,8.0,25.03,ARI,TAM,True,8,16,50.00,71,1,2,43.5,0,0,4.44,0.06,1,-5,-5.00,0,0,,0,0,0,0,False,False,35,38,Max Hall
2010.0,2010-11-07,8.0,9.0,,ARI,MIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,24,27,Max Hall
2010.0,2010-11-14,9.0,10.0,,ARI,SEA,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,18,36,Max Hall
2010.0,2010-11-21,10.0,11.0,,ARI,KAN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,31,Max Hall
2010.0,2010-11-29,11.0,12.0,,ARI,SFO,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,6,27,Max Hall
2010.0,2010-12-05,12.0,13.0,25.065,ARI,STL,False,1,3,33.33,10,0,1,4.2,2,12,3.33,-11.67,0,0,,0,1,0,0,1,0,0,False,False,6,19,Max Hall
2010.0,2010-12-12,13.0,14.0,,ARI,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,43,13,Max Hall
2010.0,2010-12-19,14.0,15.0,,ARI,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,12,19,Max Hall
2010.0,2010-12-25,15.0,16.0,,ARI,DAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,27,26,Max Hall
2010.0,2011-01-02,16.0,17.0,,ARI,SFO,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,7,38,Max Hall
,6 Games,,,,,,False,39,78,50.00,370,1,6,35.7,14,90,4.74,1.54,1,-5,-5.00,0,5,2,0,1,0,0,False,False,5,0,Max Hall
