Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-09,1.0,1.0,22.303,PHI,WAS,W 33-27,False,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,24,30%,0,0%,11,35%,True,Zach Ertz,True,33,27
2013.0,2013-09-15,2.0,2.0,22.309,PHI,SDG,L 30-33,False,2,2,58,29.00,0,100.0%,29.00,0,0,,0,1,0,0.00,0,,0,0,0,0,0,0,0,0,12,20%,0,0%,16,47%,False,Zach Ertz,False,30,33
2013.0,2013-09-19,3.0,3.0,22.313,PHI,KAN,L 16-26,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,14,22%,0,0%,11,35%,False,Zach Ertz,False,16,26
2013.0,2013-09-29,4.0,4.0,22.323,PHI,DEN,L 20-52,True,2,1,38,38.00,0,50.0%,19.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,44%,0,0%,14,41%,True,Zach Ertz,False,20,52
2013.0,2013-10-06,5.0,5.0,22.33,PHI,NYG,W 36-21,False,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,41%,0,0%,12,32%,True,Zach Ertz,True,36,21
2013.0,2013-10-13,6.0,6.0,22.337,PHI,TAM,W 31-20,False,6,3,13,4.33,0,50.0%,2.17,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,62%,0,0%,10,33%,True,Zach Ertz,True,31,20
2013.0,2013-10-20,7.0,7.0,22.344,PHI,DAL,L 3-17,False,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,23,29%,0,0%,10,34%,False,Zach Ertz,False,3,17
2013.0,2013-10-27,8.0,8.0,22.351,PHI,NYG,L 7-15,False,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,27,44%,0,0%,7,27%,False,Zach Ertz,False,7,15
2013.0,2013-11-03,9.0,9.0,22.358,PHI,OAK,W 49-20,False,6,5,42,8.40,1,83.3%,7.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,35,59%,0,0%,12,31%,True,Zach Ertz,True,49,20
2013.0,2013-11-10,10.0,10.0,23.0,PHI,GNB,W 27-13,False,,,,,,0.0%,,,,,,,,,,,0,0,0,,,0,0,0,33,54%,0,0%,11,44%,True,Zach Ertz,True,27,13
2013.0,2013-11-17,11.0,11.0,23.007,PHI,WAS,W 24-16,False,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,30,45%,0,0%,7,29%,False,Zach Ertz,True,24,16
2013.0,2013-12-01,12.0,13.0,23.021,PHI,ARI,W 24-21,False,6,5,68,13.60,2,83.3%,11.33,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,37,48%,0,0%,8,29%,False,Zach Ertz,True,24,21
2013.0,2013-12-08,13.0,14.0,23.028,PHI,DET,W 34-20,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,27,36%,0,0%,4,17%,False,Zach Ertz,True,34,20
2013.0,2013-12-15,14.0,15.0,23.035,PHI,MIN,L 30-48,False,9,6,57,9.50,1,66.7%,6.33,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,45,65%,0,0%,13,37%,True,Zach Ertz,False,30,48
2013.0,2013-12-22,15.0,16.0,23.042,PHI,CHI,W 54-11,True,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,15,23%,0,0%,11,38%,False,Zach Ertz,True,54,11
