Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-10,1,1,,JAX,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,17,Marcedes Lewis
2006,2006-09-18,2,2,22.122,JAX,PIT,False,0,,,,,0.0%,,,0,0,0,,,0,0,0,,,,,,,False,True,9,0,Marcedes Lewis
2006,2006-09-24,3,3,22.128,JAX,IND,False,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,False,14,21,Marcedes Lewis
2006,2006-10-01,4,4,22.135,JAX,WAS,False,2,2,40,20.00,0,100.0%,20.00,,0,0,0,,0,0,0,0,,,,,,,True,False,30,36,Marcedes Lewis
2006,2006-10-08,5,5,22.142,JAX,NYJ,True,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,True,41,0,Marcedes Lewis
2006,2006-10-22,6,7,22.156,JAX,HOU,False,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,False,7,27,Marcedes Lewis
2006,2006-10-29,7,8,22.163,JAX,PHI,True,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,13,6,Marcedes Lewis
2006,2006-11-05,8,9,22.170,JAX,TEN,False,2,2,11,5.50,0,100.0%,5.50,,0,0,0,,0,0,0,0,,,,,,,False,True,37,7,Marcedes Lewis
2006,2006-11-12,9,10,22.177,JAX,HOU,False,2,1,6,6.00,0,50.0%,3.00,,0,0,0,,0,0,0,0,,,,,,,False,False,10,13,Marcedes Lewis
2006,2006-11-20,10,11,22.185,JAX,NYG,False,1,1,9,9.00,0,100.0%,9.00,,0,0,0,,0,0,0,0,,,,,,,False,True,26,10,Marcedes Lewis
2006,2006-11-26,11,12,22.191,JAX,BUF,False,1,1,1,1.00,1,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,True,False,24,27,Marcedes Lewis
2006,2006-12-03,12,13,22.198,JAX,MIA,False,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,True,True,24,10,Marcedes Lewis
2006,2006-12-10,13,14,22.205,JAX,IND,False,2,1,19,19.00,0,50.0%,9.50,,0,0,0,,0,0,0,0,,,,,,,False,True,44,17,Marcedes Lewis
2006,2006-12-17,14,15,22.212,JAX,TEN,False,8,3,27,9.00,0,37.5%,3.38,,0,0,0,,0,0,0,0,,,,,,,True,False,17,24,Marcedes Lewis
2006,2006-12-24,15,16,22.219,JAX,NWE,False,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,False,False,21,24,Marcedes Lewis
2006,2006-12-31,16,17,22.226,JAX,KAN,True,2,2,13,6.50,0,100.0%,6.50,,0,0,0,,0,0,0,0,,,,,,,True,False,30,35,Marcedes Lewis
2007,2007-09-09,1,1,23.113,JAX,TEN,True,6,4,35,8.75,0,66.7%,5.83,,0,0,0,,0,0,0,0,,,,,,,False,False,10,13,Marcedes Lewis
2007,2007-09-16,2,2,23.120,JAX,ATL,True,3,2,39,19.50,0,66.7%,13.00,,0,0,0,,0,0,0,0,,,,,,,False,True,13,7,Marcedes Lewis
2007,2007-09-23,3,3,23.127,JAX,DEN,True,5,3,44,14.67,0,60.0%,8.80,,0,0,0,,0,0,0,0,,,,,,,True,True,23,14,Marcedes Lewis
2007,2007-10-07,4,5,23.141,JAX,KAN,True,3,3,13,4.33,0,100.0%,4.33,,0,0,0,,0,0,0,0,,,,,,,True,True,17,7,Marcedes Lewis
2007,2007-10-14,5,6,23.148,JAX,HOU,True,4,2,30,15.00,0,50.0%,7.50,,0,0,0,,0,0,0,0,,,,,,,False,True,37,17,Marcedes Lewis
2007,2007-10-22,6,7,23.156,JAX,IND,True,3,2,13,6.50,0,66.7%,4.33,,0,0,0,,0,0,0,0,,,,,,,False,False,7,29,Marcedes Lewis
2007,2007-10-28,7,8,23.162,JAX,TAM,True,1,0,0,,0,0.0%,0.00,,0,0,0,,0,0,0,0,,,,,,,True,True,24,23,Marcedes Lewis
2007,2007-11-04,8,9,23.169,JAX,NOR,True,4,4,46,11.50,0,100.0%,11.50,,0,0,0,,0,0,0,0,,,,,,,True,False,24,41,Marcedes Lewis
2007,2007-11-11,9,10,23.176,JAX,TEN,True,2,1,8,8.00,0,50.0%,4.00,,0,0,0,,0,0,0,0,,,,,,,True,True,28,13,Marcedes Lewis
2007,2007-11-18,10,11,23.183,JAX,SDG,True,1,1,1,1.00,1,100.0%,1.00,,1,6,0,,0,0,0,0,,,,,,,False,True,24,17,Marcedes Lewis
2007,2007-11-25,11,12,23.190,JAX,BUF,True,9,5,57,11.40,0,55.6%,6.33,,0,0,0,,0,0,0,0,,,,,,,False,True,36,14,Marcedes Lewis
2007,2007-12-02,12,13,23.197,JAX,IND,True,6,5,42,8.40,1,83.3%,7.00,,1,6,0,,0,0,0,0,,,,,,,True,False,25,28,Marcedes Lewis
2007,2007-12-09,13,14,23.204,JAX,CAR,True,4,3,25,8.33,0,75.0%,6.25,,0,0,0,,0,0,0,0,,,,,,,False,True,37,6,Marcedes Lewis
