Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,,CHI,@,HOU,L 14-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Jordan Howard
2016,2016-09-19,2,2,21.322,CHI,,PHI,L 14-29,False,3,22,7.33,0,2,2,9,4.50,0,100.0%,4.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,21%,0,0%,4,14%,False,Jordan Howard
2016,2016-09-25,3,3,21.328,CHI,@,DAL,L 17-31,False,9,45,5.00,0,6,4,47,11.75,0,66.7%,7.83,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,49,75%,0,0%,0,0%,True,Jordan Howard
2016,2016-10-02,4,4,21.335,CHI,,DET,W 17-14,True,23,111,4.83,0,4,3,21,7.00,0,75.0%,5.25,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,91%,0,0%,0,0%,False,Jordan Howard
2016,2016-10-09,5,5,21.342,CHI,@,IND,L 23-29,True,16,118,7.38,0,3,3,45,15.00,1,100.0%,15.00,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,0,0%,True,Jordan Howard
2016,2016-10-16,6,6,21.349,CHI,,JAX,L 16-17,True,15,34,2.27,1,4,2,6,3.00,0,50.0%,1.50,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,69%,0,0%,0,0%,False,Jordan Howard
2016,2016-10-20,7,7,21.353,CHI,@,GNB,L 10-26,True,7,22,3.14,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,46%,0,0%,0,0%,True,Jordan Howard
2016,2016-10-31,8,8,21.364,CHI,,MIN,W 20-10,True,26,153,5.88,1,4,4,49,12.25,0,100.0%,12.25,1,6,0.0,0,0,0,,,0,0,0,0,0,0,50,82%,0,0%,0,0%,False,Jordan Howard
2016,2016-11-13,9,10,22.011,CHI,@,TAM,L 10-36,True,15,100,6.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,29,52%,0,0%,0,0%,True,Jordan Howard
2016,2016-11-20,10,11,22.018,CHI,@,NYG,L 16-22,True,17,77,4.53,0,8,1,22,22.00,0,12.5%,2.75,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,73%,0,0%,0,0%,True,Jordan Howard
2016,2016-11-27,11,12,22.025,CHI,,TEN,L 21-27,True,18,84,4.67,0,5,3,43,14.33,0,60.0%,8.60,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,53,66%,0,0%,0,0%,False,Jordan Howard
2016,2016-12-04,12,13,22.032,CHI,,SFO,W 26-6,True,32,117,3.66,3,1,0,0,,0,0.0%,0.00,3,18,0.0,0,0,0,0,0,0,0,0,1,0,0,53,84%,0,0%,0,0%,False,Jordan Howard
2016,2016-12-11,13,14,22.039,CHI,@,DET,L 17-20,True,13,86,6.62,0,5,2,24,12.00,0,40.0%,4.80,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,61%,0,0%,0,0%,True,Jordan Howard
2016,2016-12-18,14,15,22.046,CHI,,GNB,L 27-30,True,17,90,5.29,1,4,4,23,5.75,0,100.0%,5.75,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,49,74%,0,0%,0,0%,False,Jordan Howard
2016,2016-12-24,15,16,22.052,CHI,,WAS,L 21-41,True,18,119,6.61,0,3,1,9,9.00,0,33.3%,3.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,False,Jordan Howard
2016,2017-01-01,16,17,22.060,CHI,@,MIN,L 10-38,True,23,135,5.87,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,38,63%,0,0%,0,0%,True,Jordan Howard
