Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2006.0,2006-09-10,1.0,1.0,,DEN,STL,L 10-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Brandon Marshall,False,10,18
2006.0,2006-09-17,2.0,2.0,22.178,DEN,KAN,W 9-6,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Brandon Marshall,True,9,6
2006.0,2006-09-24,3.0,3.0,22.185,DEN,NWE,W 17-7,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Brandon Marshall,True,17,7
2006.0,2006-10-09,4.0,5.0,22.2,DEN,BAL,W 13-3,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Brandon Marshall,True,13,3
2006.0,2006-10-15,5.0,6.0,22.206,DEN,OAK,W 13-3,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Brandon Marshall,True,13,3
2006.0,2006-10-22,6.0,7.0,22.213,DEN,CLE,W 17-7,False,4,2,22,11.00,1,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Brandon Marshall,True,17,7
2006.0,2006-10-29,7.0,8.0,22.22,DEN,IND,L 31-34,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,Brandon Marshall,False,31,34
2006.0,2006-11-05,8.0,9.0,22.227,DEN,PIT,W 31-20,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Brandon Marshall,True,31,20
2006.0,2006-11-12,9.0,10.0,22.234,DEN,OAK,W 17-13,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,Brandon Marshall,True,17,13
2006.0,2006-11-19,10.0,11.0,22.241,DEN,SDG,L 27-35,False,3,1,33,33.00,0,33.3%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Brandon Marshall,False,27,35
