Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-10-07,5,5,23.242,ATL,@,WAS,W 24-17,True,15,10,94,9.40,1,66.7%,6.27,1,1,1.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,68,82%,0,0%,0,0%,True,Julio Jones
2012,2012-10-14,6,6,23.249,ATL,,OAK,W 23-20,True,8,4,63,15.75,0,50.0%,7.88,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,91%,0,0%,0,0%,False,Julio Jones
2012,2012-10-28,7,8,23.263,ATL,@,PHI,W 30-17,True,5,5,123,24.60,1,100.0%,24.60,1,9,9.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,60,80%,0,0%,1,4%,True,Julio Jones
2012,2012-11-04,8,9,23.270,ATL,,DAL,W 19-13,True,6,5,129,25.80,0,83.3%,21.50,1,8,8.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,61,91%,1,2%,0,0%,False,Julio Jones
2012,2012-11-11,9,10,23.277,ATL,@,NOR,L 27-31,True,5,4,75,18.75,0,80.0%,15.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,45,62%,0,0%,0,0%,True,Julio Jones
2012,2012-11-18,10,11,23.284,ATL,,ARI,W 23-19,True,7,3,33,11.00,0,42.9%,4.71,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48%,0,0%,0,0%,False,Julio Jones
2012,2012-11-25,11,12,23.291,ATL,@,TAM,W 24-23,True,9,6,147,24.50,1,66.7%,16.33,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,85%,0,0%,0,0%,True,Julio Jones
2012,2012-11-29,12,13,23.295,ATL,,NOR,W 23-13,True,8,5,48,9.60,0,62.5%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,46,79%,0,0%,0,0%,False,Julio Jones
2012,2012-12-09,13,14,23.305,ATL,@,CAR,L 20-30,True,11,5,66,13.20,1,45.5%,6.00,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,True,Julio Jones
2012,2012-12-16,14,15,23.312,ATL,,NYG,W 34-0,True,6,6,74,12.33,2,100.0%,12.33,1,18,18.00,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,0,0%,False,Julio Jones
