Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-09-10,1,1,24.021,ARI,SFO,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,3,63,21.00,0,3,1,0.33,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,17,20,Steve Breaston
2007,2007-09-16,2,2,24.027,ARI,SEA,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,2,33,16.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,23,20,Steve Breaston
2007,2007-09-23,3,3,24.034,ARI,BAL,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,1,33,33.00,0,1,13,13.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,23,26,Steve Breaston
2007,2007-09-30,4,4,24.041,ARI,PIT,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,4,101,25.25,1,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,14,Steve Breaston
2007,2007-10-07,5,5,24.048,ARI,STL,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,4,37,9.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,34,31,Steve Breaston
2007,2007-10-14,6,6,24.055,ARI,CAR,False,1,0,0,,0,0.0%,0.00,1,10,10.00,0,0,0,,0,0,0,,0,0,,,5,123,24.60,0,4,21,5.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,10,25,Steve Breaston
2007,2007-10-21,7,7,24.062,ARI,WAS,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,4,57,14.25,0,2,17,8.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,19,21,Steve Breaston
2007,2007-11-04,8,9,24.076,ARI,TAM,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,4,81,20.25,0,4,28,7.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,17,Steve Breaston
2007,2007-11-11,9,10,24.083,ARI,DET,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,2,69,34.50,0,4,69,17.25,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,21,Steve Breaston
2007,2007-11-18,10,11,24.090,ARI,CIN,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,6,122,20.33,0,0,0,,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,35,27,Steve Breaston
2007,2007-11-25,11,12,24.097,ARI,SFO,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,7,153,21.86,0,4,28,7.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,31,37,Steve Breaston
2007,2007-12-02,12,13,24.104,ARI,CLE,False,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,4,117,29.25,0,2,15,7.50,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,27,21,Steve Breaston
2007,2007-12-09,13,14,24.111,ARI,SEA,False,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,6,153,25.50,0,3,-1,-0.33,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,21,42,Steve Breaston
2007,2007-12-16,14,15,24.118,ARI,NOR,False,2,2,16,8.00,0,100.0%,8.00,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,4,92,23.00,0,2,26,13.00,0,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,24,31,Steve Breaston
2007,2007-12-23,15,16,24.125,ARI,ATL,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,6,122,20.33,0,1,0,0.00,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,30,27,Steve Breaston
2007,2007-12-30,16,17,24.132,ARI,STL,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,5,77,15.40,0,2,7,3.50,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,True,48,19,Steve Breaston
2008,2008-09-07,1,1,25.018,ARI,SFO,False,6,3,54,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,39,13.00,0,1,17,17.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,13,Steve Breaston
