Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-08,1.0,1.0,,SDG,ARI,L 17-18,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dontrelle Inman,False,17,18
2014.0,2014-09-14,2.0,2.0,25.226,SDG,SEA,W 30-21,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,4,14%,False,Dontrelle Inman,True,30,21
2014.0,2014-09-21,3.0,3.0,,SDG,BUF,W 22-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dontrelle Inman,True,22,10
2014.0,2014-09-28,4.0,4.0,25.24,SDG,JAX,W 33-14,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,3,12%,False,Dontrelle Inman,True,33,14
2014.0,2014-10-05,5.0,5.0,,SDG,NYJ,W 31-0,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,True,31,0
2014.0,2014-10-12,6.0,6.0,25.254,SDG,OAK,W 31-28,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,1,1%,0,0%,4,13%,True,Dontrelle Inman,True,31,28
2014.0,2014-10-19,7.0,7.0,,SDG,KAN,L 20-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,False,20,23
2014.0,2014-10-23,8.0,8.0,25.265,SDG,DEN,L 21-35,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,4,15%,True,Dontrelle Inman,False,21,35
2014.0,2014-11-02,9.0,9.0,25.275,SDG,MIA,L 0-37,False,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,6,12%,0,0%,11,46%,True,Dontrelle Inman,False,0,37
2014.0,2014-11-16,10.0,11.0,,SDG,OAK,W 13-6,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,True,13,6
2014.0,2014-11-23,11.0,12.0,,SDG,STL,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,True,27,24
2014.0,2014-11-30,12.0,13.0,,SDG,BAL,W 34-33,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dontrelle Inman,True,34,33
2014.0,2014-12-07,13.0,14.0,,SDG,NWE,L 14-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,False,14,23
2014.0,2014-12-14,14.0,15.0,,SDG,DEN,L 10-22,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,False,10,22
2014.0,2014-12-20,15.0,16.0,25.323,SDG,SFO,W 38-35,False,9,7,79,11.29,0,77.8%,8.78,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,65%,0,0%,5,15%,True,Dontrelle Inman,True,38,35
2014.0,2014-12-28,16.0,17.0,25.331,SDG,KAN,L 7-19,False,8,5,79,15.80,0,62.5%,9.88,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,84%,0,0%,5,19%,True,Dontrelle Inman,False,7,19
2015.0,2015-09-13,1.0,1.0,,SDG,DET,W 33-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Dontrelle Inman,True,33,28
2015.0,2015-09-20,2.0,2.0,26.232,SDG,CIN,L 19-24,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,5,20%,True,Dontrelle Inman,False,19,24
2015.0,2015-09-27,3.0,3.0,26.239,SDG,MIN,L 14-31,False,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,12,44%,True,Dontrelle Inman,False,14,31
2015.0,2015-10-04,4.0,4.0,26.246,SDG,CLE,W 30-27,False,5,3,88,29.33,0,60.0%,17.60,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,77%,0,0%,7,21%,False,Dontrelle Inman,True,30,27
2015.0,2015-10-12,5.0,5.0,26.254,SDG,PIT,L 20-24,False,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,76%,0,0%,1,3%,False,Dontrelle Inman,False,20,24
2015.0,2015-10-18,6.0,6.0,26.26,SDG,GNB,L 20-27,False,7,3,18,6.00,1,42.9%,2.57,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,76%,0,0%,0,0%,True,Dontrelle Inman,False,20,27
2015.0,2015-10-25,7.0,7.0,26.267,SDG,OAK,L 29-37,False,2,2,26,13.00,0,100.0%,13.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,35,39%,0,0%,9,28%,False,Dontrelle Inman,False,29,37
2015.0,2015-11-01,8.0,8.0,26.274,SDG,BAL,L 26-29,False,2,1,10,10.00,0,50.0%,5.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,61%,0,0%,11,35%,True,Dontrelle Inman,False,26,29
2015.0,2015-11-09,9.0,9.0,26.282,SDG,CHI,L 19-22,True,5,3,28,9.33,0,60.0%,5.60,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,70,99%,0,0%,1,4%,False,Dontrelle Inman,False,19,22
2015.0,2015-11-22,10.0,11.0,26.295,SDG,KAN,L 3-33,True,5,3,51,17.00,0,60.0%,10.20,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,97%,0,0%,0,0%,False,Dontrelle Inman,False,3,33
2015.0,2015-11-29,11.0,12.0,26.302,SDG,JAX,W 31-25,True,9,5,65,13.00,1,55.6%,7.22,1,6,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,1,3%,True,Dontrelle Inman,True,31,25
2015.0,2015-12-06,12.0,13.0,26.309,SDG,DEN,L 3-17,True,2,1,15,15.00,0,50.0%,7.50,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,14%,0,0%,0,0%,False,Dontrelle Inman,False,3,17
2015.0,2015-12-13,13.0,14.0,,SDG,KAN,L 3-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Dontrelle Inman,False,3,10
2015.0,2015-12-20,14.0,15.0,26.323,SDG,MIA,W 30-14,True,5,3,78,26.00,0,60.0%,15.60,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,89%,0,0%,4,14%,False,Dontrelle Inman,True,30,14
2015.0,2015-12-24,15.0,16.0,26.327,SDG,OAK,L 20-23,True,13,8,82,10.25,1,61.5%,6.31,1,6,0.0,0,0,0,,,0,0,0,0,0,0,76,97%,1,1%,7,20%,True,Dontrelle Inman,False,20,23
2015.0,2016-01-03,16.0,17.0,26.337,SDG,DEN,L 20-27,True,6,3,25,8.33,0,50.0%,4.17,0,0,0.0,0,0,0,,,1,0,0,0,0,0,70,97%,0,0%,1,3%,True,Dontrelle Inman,False,20,27
2016.0,2016-09-11,1.0,1.0,27.224,SDG,KAN,L 27-33,True,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,79%,0,0%,1,3%,True,Dontrelle Inman,False,27,33
2016.0,2016-09-18,2.0,2.0,27.231,SDG,JAX,W 38-14,True,3,1,7,7.00,0,33.3%,2.33,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,2,7%,False,Dontrelle Inman,True,38,14
2016.0,2016-09-25,3.0,3.0,27.238,SDG,IND,L 22-26,True,4,3,32,10.67,0,75.0%,8.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,90%,0,0%,0,0%,True,Dontrelle Inman,False,22,26
2016.0,2016-10-02,4.0,4.0,27.245,SDG,NOR,L 34-35,True,11,7,120,17.14,1,63.6%,10.91,1,6,0.0,0,0,0,,,0,0,0,0,0,0,68,97%,0,0%,0,0%,False,Dontrelle Inman,False,34,35
2016.0,2016-10-09,5.0,5.0,27.252,SDG,OAK,L 31-34,True,3,1,3,3.00,0,33.3%,1.00,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,86%,0,0%,0,0%,True,Dontrelle Inman,False,31,34
2016.0,2016-10-13,6.0,6.0,27.256,SDG,DEN,W 21-13,True,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,91%,0,0%,2,7%,False,Dontrelle Inman,True,21,13
2016.0,2016-10-23,7.0,7.0,27.266,SDG,ATL,W 33-30,True,6,3,58,19.33,0,50.0%,9.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,88%,0,0%,0,0%,True,Dontrelle Inman,True,33,30
2016.0,2016-10-30,8.0,8.0,27.273,SDG,DEN,L 19-27,True,7,4,72,18.00,0,57.1%,10.29,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,98%,0,0%,1,3%,True,Dontrelle Inman,False,19,27
2016.0,2016-11-06,9.0,9.0,27.28,SDG,TEN,W 43-35,True,9,6,56,9.33,0,66.7%,6.22,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,95%,0,0%,1,3%,False,Dontrelle Inman,True,43,35
2016.0,2016-11-13,10.0,10.0,27.287,SDG,MIA,L 24-31,True,9,5,43,8.60,0,55.6%,4.78,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,92%,0,0%,0,0%,False,Dontrelle Inman,False,24,31
2016.0,2016-11-27,11.0,12.0,27.301,SDG,HOU,W 21-13,True,6,6,119,19.83,1,100.0%,19.83,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,95%,0,0%,0,0%,True,Dontrelle Inman,True,21,13
