Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,23.228,IND,@,JAX,L 20-27,False,2,2,100.0,2,3,66.7,0,8,0,0%,0,0%,6,25%,True,Rodrigo Blankenship
2020,2020-09-20,2,2,23.235,IND,,MIN,W 28-11,False,2,2,100.0,4,4,100.0,0,14,0,0%,0,0%,6,24%,False,Rodrigo Blankenship
2020,2020-09-27,3,3,23.242,IND,,NYJ,W 36-7,False,4,4,100.0,2,3,66.7,0,10,0,0%,0,0%,7,26%,False,Rodrigo Blankenship
2020,2020-10-04,4,4,23.249,IND,@,CHI,W 19-11,False,1,1,100.0,4,4,100.0,0,13,0,0%,0,0%,5,19%,True,Rodrigo Blankenship
2020,2020-10-11,5,5,23.256,IND,@,CLE,L 23-32,False,2,2,100.0,3,3,100.0,0,11,0,0%,0,0%,5,18%,True,Rodrigo Blankenship
2020,2020-10-18,6,6,23.263,IND,,CIN,W 31-27,False,4,4,100.0,1,1,100.0,0,7,0,0%,0,0%,5,17%,False,Rodrigo Blankenship
2020,2020-11-01,7,8,23.277,IND,@,DET,W 41-21,False,3,5,60.0,,,,0,3,0,0%,0,0%,5,17%,True,Rodrigo Blankenship
2020,2020-11-08,8,9,23.284,IND,,BAL,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,2,8%,False,Rodrigo Blankenship
2020,2020-11-12,9,10,23.288,IND,@,TEN,W 34-17,False,4,4,100.0,2,2,100.0,0,10,0,0%,0,0%,7,28%,True,Rodrigo Blankenship
2020,2020-11-22,10,11,23.298,IND,,GNB,W 34-31,False,2,2,100.0,4,5,80.0,0,14,0,0%,0,0%,7,22%,False,Rodrigo Blankenship
2020,2020-11-29,11,12,23.305,IND,,TEN,L 26-45,False,2,2,100.0,,,,0,2,0,0%,0,0%,6,19%,False,Rodrigo Blankenship
2020,2020-12-06,12,13,23.312,IND,@,HOU,W 26-20,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,9,32%,True,Rodrigo Blankenship
2020,2020-12-13,13,14,23.319,IND,@,LVR,W 44-27,False,5,5,100.0,3,3,100.0,0,14,0,0%,0,0%,16,55%,True,Rodrigo Blankenship
2020,2020-12-20,14,15,23.326,IND,,HOU,W 27-20,False,3,3,100.0,2,2,100.0,0,9,1,2%,0,0%,5,22%,False,Rodrigo Blankenship
2020,2020-12-27,15,16,23.333,IND,@,PIT,L 24-28,False,3,3,100.0,1,1,100.0,0,6,0,0%,0,0%,5,17%,True,Rodrigo Blankenship
2020,2021-01-03,16,17,23.340,IND,,JAX,W 28-14,False,2,2,100.0,2,4,50.0,0,8,0,0%,0,0%,8,29%,False,Rodrigo Blankenship
2021,2021-09-12,1,1,24.226,IND,,SEA,L 16-28,False,1,1,100.0,1,1,100.0,0,4,0,0%,0,0%,2,8%,False,Rodrigo Blankenship
2021,2021-09-19,2,2,24.233,IND,,LAR,L 24-27,False,1,1,100.0,3,3,100.0,0,10,0,0%,0,0%,4,15%,False,Rodrigo Blankenship
2021,2021-09-26,3,3,24.240,IND,@,TEN,L 16-25,False,1,1,100.0,3,4,75.0,0,10,0,0%,0,0%,5,22%,True,Rodrigo Blankenship
2021,2021-10-03,4,4,24.247,IND,@,MIA,W 27-17,False,3,3,100.0,2,2,100.0,0,9,0,0%,0,0%,5,18%,True,Rodrigo Blankenship
2021,2021-10-11,5,5,24.255,IND,@,BAL,L 25-31,False,1,2,50.0,2,4,50.0,0,7,0,0%,0,0%,6,24%,True,Rodrigo Blankenship
2021,2021-10-17,6,6,,IND,,HOU,W 31-3,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
2021,2021-10-24,7,7,,IND,@,SFO,W 30-18,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rodrigo Blankenship
2021,2021-10-31,8,8,,IND,,TEN,L 31-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
2021,2021-11-04,9,9,,IND,,NYJ,W 45-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
2021,2021-11-14,10,10,,IND,,JAX,W 23-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
2021,2021-11-21,11,11,,IND,@,BUF,W 41-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rodrigo Blankenship
2021,2021-11-28,12,12,,IND,,TAM,L 31-38,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
2021,2021-12-05,13,13,,IND,@,HOU,W 31-0,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Rodrigo Blankenship
2021,2021-12-18,14,15,,IND,,NWE,W 27-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Rodrigo Blankenship
