Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-10-09,5,5,24.240,SDG,@,OAK,L 31-34,False,6,5,117,23.40,1,83.3%,19.50,0,0,,0,1,6,0,0,0,0,0,0,34,67%,0,0%,0,0%,True,Tyrell Williams
2016,2016-10-13,6,6,24.244,SDG,,DEN,W 21-13,True,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,0,0,0,0,0,0,48,73%,0,0%,2,7%,False,Tyrell Williams
2016,2016-10-23,7,7,24.254,SDG,@,ATL,W 33-30,True,10,7,140,20.00,0,70.0%,14.00,0,0,,0,0,0,0,0,0,0,0,0,66,88%,0,0%,0,0%,True,Tyrell Williams
2016,2016-10-30,8,8,24.261,SDG,@,DEN,L 19-27,False,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,0,0,0,0,0,0,59,73%,0,0%,0,0%,True,Tyrell Williams
2016,2016-11-06,9,9,24.268,SDG,,TEN,W 43-35,True,7,6,65,10.83,1,85.7%,9.29,0,0,,0,1,6,0,0,0,0,0,0,66,82%,0,0%,1,3%,False,Tyrell Williams
2016,2016-11-13,10,10,24.275,SDG,,MIA,L 24-31,True,11,5,125,25.00,1,45.5%,11.36,0,0,,0,1,6,0,0,0,0,0,0,73,95%,0,0%,0,0%,False,Tyrell Williams
2016,2016-11-27,11,12,24.289,SDG,@,HOU,W 21-13,True,14,8,70,8.75,1,57.1%,5.00,0,0,,0,1,6,0,0,0,0,0,0,49,88%,0,0%,0,0%,True,Tyrell Williams
2016,2016-12-04,12,13,24.296,SDG,,TAM,L 21-28,True,4,2,47,23.50,1,50.0%,11.75,0,0,,0,1,6,0,0,0,0,0,0,53,96%,0,0%,0,0%,False,Tyrell Williams
2016,2016-12-11,13,14,24.303,SDG,@,CAR,L 16-28,True,5,2,68,34.00,0,40.0%,13.60,0,0,,0,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,True,Tyrell Williams
2016,2016-12-18,14,15,24.310,SDG,,OAK,L 16-19,True,9,4,20,5.00,0,44.4%,2.22,0,0,,0,0,0,0,0,0,0,0,0,52,95%,0,0%,0,0%,False,Tyrell Williams
2016,2016-12-24,15,16,24.316,SDG,@,CLE,L 17-20,True,9,4,64,16.00,1,44.4%,7.11,0,0,,0,1,6,0,0,0,0,0,0,56,82%,0,0%,0,0%,True,Tyrell Williams
2016,2017-01-01,16,17,24.324,SDG,,KAN,L 27-37,True,7,6,70,11.67,0,85.7%,10.00,0,0,,0,0,0,0,0,0,0,0,0,62,94%,0,0%,0,0%,False,Tyrell Williams
2017,2017-09-11,1,1,25.211,LAC,@,DEN,L 21-24,True,7,5,54,10.80,0,71.4%,7.71,0,0,,0,0,0,0,0,0,0,0,0,54,93%,0,0%,0,0%,True,Tyrell Williams
2017,2017-09-17,2,2,25.217,LAC,,MIA,L 17-19,True,4,4,54,13.50,0,100.0%,13.50,0,0,,0,0,0,0,0,0,0,0,0,52,90%,0,0%,0,0%,False,Tyrell Williams
2017,2017-09-24,3,3,25.224,LAC,,KAN,L 10-24,True,7,2,15,7.50,0,28.6%,2.14,0,0,,0,0,0,0,0,0,0,0,0,71,97%,0,0%,0,0%,False,Tyrell Williams
2017,2017-10-01,4,4,25.231,LAC,,PHI,L 24-26,True,6,5,115,23.00,1,83.3%,19.17,0,0,,0,1,6,0,0,0,0,0,0,50,88%,0,0%,0,0%,False,Tyrell Williams
2017,2017-10-08,5,5,25.238,LAC,@,NYG,W 27-22,True,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,0,0,0,0,0,0,66,85%,0,0%,1,3%,True,Tyrell Williams
2017,2017-10-15,6,6,25.245,LAC,@,OAK,W 17-16,True,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,1,1,0,0,0,0,44,68%,0,0%,2,9%,True,Tyrell Williams
2017,2017-10-22,7,7,25.252,LAC,,DEN,W 21-0,True,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,0,0,0,0,0,0,43,74%,0,0%,0,0%,False,Tyrell Williams
