Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-12-11,13.0,14.0,26.082,SFO,NYJ,L 17-23,True,17,193,11.35,0,1,1,7,7.00,1,100.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,30,53%,0,0%,0,0%,False,Carlos Hyde,False,17,23
2016.0,2016-12-18,14.0,15.0,26.089,SFO,ATL,L 13-41,True,13,71,5.46,0,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0,1,1,0,0,0,0,34,62%,0,0%,0,0%,True,Carlos Hyde,False,13,41
2016.0,2016-12-24,15.0,16.0,26.095,SFO,LAR,W 22-21,True,13,38,2.92,0,3,3,24,8.00,1,100.0%,8.00,0,0,,0,,1,6,2,1,0,1,0,0,31,41%,0,0%,0,0%,True,Carlos Hyde,True,22,21
2016.0,2017-01-01,16.0,17.0,,SFO,SEA,L 23-25,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Carlos Hyde,False,23,25
2017.0,2017-09-10,1.0,1.0,26.355,SFO,CAR,L 3-23,True,9,45,5.00,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,,0,0,0,0,0,0,0,0,45,79%,0,0%,0,0%,False,Carlos Hyde,False,3,23
2017.0,2017-09-17,2.0,2.0,26.362,SFO,SEA,L 9-12,True,15,124,8.27,0,6,3,19,6.33,0,50.0%,3.17,0,0,,0,,0,0,0,0,0,0,0,0,40,82%,0,0%,0,0%,True,Carlos Hyde,False,9,12
2017.0,2017-09-21,3.0,3.0,27.001,SFO,LAR,L 39-41,True,25,84,3.36,2,4,3,10,3.33,0,75.0%,2.50,0,0,,0,,2,12,0,0,0,0,0,0,58,73%,0,0%,0,0%,False,Carlos Hyde,False,39,41
2017.0,2017-10-01,4.0,4.0,27.011,SFO,ARI,L 15-18,True,16,68,4.25,0,6,5,27,5.40,0,83.3%,4.50,0,0,,0,,0,0,1,0,0,0,0,0,58,69%,0,0%,0,0%,True,Carlos Hyde,False,15,18
2017.0,2017-10-08,5.0,5.0,27.018,SFO,IND,L 23-26,True,8,11,1.38,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0,0,0,1,0,0,33,46%,0,0%,0,0%,True,Carlos Hyde,False,23,26
2017.0,2017-10-15,6.0,6.0,27.025,SFO,WAS,L 24-26,True,13,28,2.15,2,6,5,47,9.40,0,83.3%,7.83,0,0,,0,,2,12,0,0,0,0,0,0,56,78%,0,0%,0,0%,True,Carlos Hyde,False,24,26
2017.0,2017-10-22,7.0,7.0,27.032,SFO,DAL,L 10-40,True,14,68,4.86,0,8,4,20,5.00,0,50.0%,2.50,0,0,,0,,0,0,0,0,0,0,0,0,51,77%,0,0%,0,0%,False,Carlos Hyde,False,10,40
2017.0,2017-10-29,8.0,8.0,27.039,SFO,PHI,L 10-33,True,12,25,2.08,0,9,4,22,5.50,0,44.4%,2.44,0,0,,0,,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,True,Carlos Hyde,False,10,33
2017.0,2017-11-05,9.0,9.0,27.046,SFO,ARI,L 10-20,True,12,41,3.42,0,11,9,84,9.33,0,81.8%,7.64,0,0,,0,,0,0,0,0,0,0,0,0,56,75%,0,0%,0,0%,False,Carlos Hyde,False,10,20
2017.0,2017-11-12,10.0,10.0,27.053,SFO,NYG,W 31-21,True,17,98,5.76,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,46,75%,0,0%,1,4%,False,Carlos Hyde,True,31,21
2017.0,2017-11-26,11.0,12.0,27.067,SFO,SEA,L 13-24,True,16,47,2.94,0,13,7,21,3.00,0,53.8%,1.62,0,0,,0,,0,0,0,0,0,0,0,0,64,90%,0,0%,0,0%,False,Carlos Hyde,False,13,24
