Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2015,2015-09-27,3,3,29.054,DET,DEN,True,10,6,0.60,1,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,25,34%,0,0%,0,0%,False,False,12,24,Joique Bell
2015,2015-10-05,4,4,,DET,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,13,Joique Bell
2015,2015-10-11,5,5,,DET,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,17,42,Joique Bell
2015,2015-10-18,6,6,,DET,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,34,Joique Bell
2015,2015-10-25,7,7,29.082,DET,MIN,True,3,21,7.00,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,22%,0,0%,0,0%,False,False,19,28,Joique Bell
2015,2015-11-01,8,8,29.089,DET,KAN,True,7,56,8.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,28%,0,0%,0,0%,True,False,10,45,Joique Bell
2015,2015-11-15,9,10,29.103,DET,GNB,True,14,17,1.21,0,3,2,18,9.00,0,66.7%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,60%,0,0%,0,0%,True,True,18,16,Joique Bell
2015,2015-11-22,10,11,29.110,DET,OAK,False,6,22,3.67,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,18%,0,0%,0,0%,False,True,18,13,Joique Bell
2015,2015-11-26,11,12,29.114,DET,PHI,False,7,25,3.57,1,3,2,57,28.50,0,66.7%,19.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,2,6%,False,True,45,14,Joique Bell
2015,2015-12-03,12,13,29.121,DET,GNB,False,8,5,0.63,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,22%,0,0%,3,10%,False,False,23,27,Joique Bell
2015,2015-12-13,13,14,29.131,DET,STL,False,7,50,7.14,0,2,2,25,12.50,0,100.0%,12.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,24%,0,0%,4,16%,True,False,14,21,Joique Bell
