Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-12-21,15.0,16.0,,NOR,ATL,L 14-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Brandin Cooks,False,14,30
2014.0,2014-12-28,16.0,17.0,,NOR,TAM,W 23-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Brandin Cooks,True,23,20
2015.0,2015-09-13,1.0,1.0,21.353,NOR,ARI,L 19-31,True,8,4,49,12.25,0,50.0%,6.13,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,99%,0,0%,0,0%,True,Brandin Cooks,False,19,31
2015.0,2015-09-20,2.0,2.0,21.36,NOR,TAM,L 19-26,True,7,5,62,12.40,0,71.4%,8.86,1,-4,-4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,85%,0,0%,0,0%,False,Brandin Cooks,False,19,26
2015.0,2015-09-27,3.0,3.0,22.002,NOR,CAR,L 22-27,True,8,7,79,11.29,0,87.5%,9.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,80%,0,0%,0,0%,True,Brandin Cooks,False,22,27
2015.0,2015-10-04,4.0,4.0,22.009,NOR,DAL,W 26-20,True,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,93%,0,0%,0,0%,False,Brandin Cooks,True,26,20
2015.0,2015-10-11,5.0,5.0,22.016,NOR,PHI,L 17-39,True,9,5,107,21.40,1,55.6%,11.89,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,61,88%,0,0%,0,0%,True,Brandin Cooks,False,17,39
2015.0,2015-10-15,6.0,6.0,22.02,NOR,ATL,W 31-21,False,5,4,41,10.25,0,80.0%,8.20,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,76%,0,0%,0,0%,False,Brandin Cooks,True,31,21
2015.0,2015-10-25,7.0,7.0,22.03,NOR,IND,W 27-21,True,13,6,81,13.50,0,46.2%,6.23,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,75,85%,0,0%,0,0%,True,Brandin Cooks,True,27,21
2015.0,2015-11-01,8.0,8.0,22.037,NOR,NYG,W 52-49,False,8,6,88,14.67,2,75.0%,11.00,1,-3,-3.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,60,77%,0,0%,0,0%,False,Brandin Cooks,True,52,49
2015.0,2015-11-08,9.0,9.0,22.044,NOR,TEN,L 28-34,True,6,4,71,17.75,1,66.7%,11.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,55,72%,0,0%,0,0%,False,Brandin Cooks,False,28,34
2015.0,2015-11-15,10.0,10.0,22.051,NOR,WAS,L 14-47,True,8,5,98,19.60,2,62.5%,12.25,1,11,11.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,51,89%,0,0%,0,0%,True,Brandin Cooks,False,14,47
2015.0,2015-11-29,11.0,12.0,22.065,NOR,HOU,L 6-24,True,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,88%,0,0%,0,0%,True,Brandin Cooks,False,6,24
2015.0,2015-12-06,12.0,13.0,22.072,NOR,CAR,L 38-41,True,10,6,104,17.33,1,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,92%,0,0%,0,0%,False,Brandin Cooks,False,38,41
2015.0,2015-12-13,13.0,14.0,22.079,NOR,TAM,W 24-17,True,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,72%,0,0%,0,0%,True,Brandin Cooks,True,24,17
2015.0,2015-12-21,14.0,15.0,22.087,NOR,DET,L 27-35,False,13,10,124,12.40,1,76.9%,9.54,0,0,,0,0,0,,0,2,12,6.00,0,,1,6,0,0,0,0,0,0,66,86%,0,0%,4,13%,False,Brandin Cooks,False,27,35
2015.0,2015-12-27,15.0,16.0,22.093,NOR,JAX,W 38-27,True,7,5,123,24.60,1,71.4%,17.57,4,10,2.50,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,64%,0,0%,0,0%,False,Brandin Cooks,True,38,27
2015.0,2016-01-03,16.0,17.0,22.1,NOR,ATL,W 20-17,True,6,5,22,4.40,0,83.3%,3.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,84%,0,0%,0,0%,True,Brandin Cooks,True,20,17
2016.0,2016-09-11,1.0,1.0,22.352,NOR,OAK,L 34-35,True,9,6,143,23.83,2,66.7%,15.89,1,11,11.00,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,62,90%,0,0%,0,0%,False,Brandin Cooks,False,34,35
2016.0,2016-09-18,2.0,2.0,22.359,NOR,NYG,L 13-16,False,9,7,68,9.71,0,77.8%,7.56,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,True,Brandin Cooks,False,13,16
2016.0,2016-09-26,3.0,3.0,23.001,NOR,ATL,L 32-45,False,8,2,13,6.50,0,25.0%,1.63,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,78,96%,0,0%,0,0%,False,Brandin Cooks,False,32,45
2016.0,2016-10-02,4.0,4.0,23.007,NOR,SDG,W 35-34,True,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,True,Brandin Cooks,True,35,34
2016.0,2016-10-16,5.0,6.0,23.021,NOR,CAR,W 41-38,True,9,7,173,24.71,1,77.8%,19.22,1,2,2.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,77%,0,0%,0,0%,False,Brandin Cooks,True,41,38
2016.0,2016-10-23,6.0,7.0,23.028,NOR,KAN,L 21-27,True,9,7,58,8.29,1,77.8%,6.44,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,67,89%,0,0%,0,0%,True,Brandin Cooks,False,21,27
2016.0,2016-10-30,7.0,8.0,23.035,NOR,SEA,W 25-20,True,6,4,44,11.00,1,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,38,50%,0,0%,0,0%,False,Brandin Cooks,True,25,20
2016.0,2016-11-06,8.0,9.0,23.042,NOR,SFO,W 41-23,False,6,5,66,13.20,0,83.3%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,67%,0,0%,0,0%,True,Brandin Cooks,True,41,23
2016.0,2016-11-13,9.0,10.0,23.049,NOR,DEN,L 23-25,True,5,3,98,32.67,1,60.0%,19.60,0,0,,0,0,0,,0,1,2,2.00,0,,1,6,0,0,0,0,0,0,38,75%,0,0%,1,4%,False,Brandin Cooks,False,23,25
2016.0,2016-11-17,10.0,11.0,23.053,NOR,CAR,L 20-23,True,8,7,42,6.00,0,87.5%,5.25,2,7,3.50,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,86%,0,0%,0,0%,True,Brandin Cooks,False,20,23
2016.0,2016-11-27,11.0,12.0,23.063,NOR,LAR,W 49-21,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,45,61%,0,0%,0,0%,False,Brandin Cooks,True,49,21
2016.0,2016-12-04,12.0,13.0,23.07,NOR,DET,L 13-28,True,9,7,73,10.43,0,77.8%,8.11,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,False,Brandin Cooks,False,13,28
2016.0,2016-12-11,13.0,14.0,23.077,NOR,TAM,L 11-16,True,10,5,61,12.20,0,50.0%,6.10,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,True,Brandin Cooks,False,11,16
2016.0,2016-12-18,14.0,15.0,23.084,NOR,ARI,W 48-41,False,8,7,186,26.57,2,87.5%,23.25,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,66,77%,0,0%,1,3%,True,Brandin Cooks,True,48,41
2016.0,2016-12-24,15.0,16.0,23.09,NOR,TAM,W 31-24,True,9,5,98,19.60,0,55.6%,10.89,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,48,68%,0,0%,1,4%,False,Brandin Cooks,True,31,24
2016.0,2017-01-01,16.0,17.0,23.098,NOR,ATL,L 32-38,True,6,3,19,6.33,0,50.0%,3.17,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,71%,0,0%,1,3%,True,Brandin Cooks,False,32,38
2017.0,2017-09-07,1.0,1.0,23.347,NWE,KAN,L 27-42,True,7,3,88,29.33,0,42.9%,12.57,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,83%,0,0%,0,0%,False,Brandin Cooks,False,27,42
2017.0,2017-09-17,2.0,2.0,23.357,NWE,NOR,W 36-20,False,4,2,37,18.50,0,50.0%,9.25,2,6,3.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,86%,0,0%,1,3%,True,Brandin Cooks,True,36,20
2017.0,2017-09-24,3.0,3.0,23.364,NWE,HOU,W 36-33,True,7,5,131,26.20,2,71.4%,18.71,0,0,,0,0,0,,0,0,0,,0,1,2,14,0,0,0,0,0,0,57,89%,0,0%,0,0%,False,Brandin Cooks,True,36,33
2017.0,2017-10-01,4.0,4.0,24.006,NWE,CAR,L 30-33,True,6,3,38,12.67,0,50.0%,6.33,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,False,Brandin Cooks,False,30,33
2017.0,2017-10-05,5.0,5.0,24.01,NWE,TAM,W 19-14,True,8,5,85,17.00,0,62.5%,10.63,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,97%,0,0%,0,0%,True,Brandin Cooks,True,19,14
2017.0,2017-10-15,6.0,6.0,24.02,NWE,NYJ,W 24-17,True,9,6,93,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,97%,0,0%,0,0%,True,Brandin Cooks,True,24,17
2017.0,2017-10-22,7.0,7.0,24.027,NWE,ATL,W 23-7,True,5,4,65,16.25,1,80.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,70,95%,0,0%,0,0%,False,Brandin Cooks,True,23,7
2017.0,2017-10-29,8.0,8.0,24.034,NWE,LAC,W 21-13,True,8,5,26,5.20,0,62.5%,3.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,82,95%,0,0%,0,0%,False,Brandin Cooks,True,21,13
2017.0,2017-11-12,9.0,10.0,24.048,NWE,DEN,W 41-16,True,11,6,74,12.33,0,54.5%,6.73,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,True,Brandin Cooks,True,41,16
2017.0,2017-11-19,10.0,11.0,24.055,NWE,OAK,W 33-8,True,9,6,149,24.83,1,66.7%,16.56,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,93%,0,0%,0,0%,True,Brandin Cooks,True,33,8
2017.0,2017-11-26,11.0,12.0,24.062,NWE,MIA,W 35-17,True,7,6,83,13.83,1,85.7%,11.86,1,11,11.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,62,89%,0,0%,0,0%,False,Brandin Cooks,True,35,17
2017.0,2017-12-03,12.0,13.0,24.069,NWE,BUF,W 23-3,True,3,2,17,8.50,0,66.7%,5.67,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,97%,0,0%,0,0%,True,Brandin Cooks,True,23,3
2017.0,2017-12-11,13.0,14.0,24.077,NWE,MIA,L 20-27,True,7,1,38,38.00,0,14.3%,5.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%,True,Brandin Cooks,False,20,27
2017.0,2017-12-17,14.0,15.0,24.083,NWE,PIT,W 27-24,True,7,4,60,15.00,1,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,95%,0,0%,0,0%,True,Brandin Cooks,True,27,24
2017.0,2017-12-24,15.0,16.0,24.09,NWE,BUF,W 37-16,True,5,2,19,9.50,0,40.0%,3.80,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Brandin Cooks,True,37,16
2017.0,2017-12-31,16.0,17.0,24.097,NWE,NYJ,W 26-6,True,11,5,79,15.80,1,45.5%,7.18,3,8,2.67,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,78,92%,0,0%,1,3%,False,Brandin Cooks,True,26,6
2018.0,2018-09-10,1.0,1.0,24.35,LAR,OAK,W 33-13,True,8,5,87,17.40,0,62.5%,10.88,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,97%,0,0%,0,0%,True,Brandin Cooks,True,33,13
2018.0,2018-09-16,2.0,2.0,24.356,LAR,ARI,W 34-0,True,9,7,159,22.71,0,77.8%,17.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Brandin Cooks,True,34,0
2018.0,2018-09-23,3.0,3.0,24.363,LAR,LAC,W 35-23,True,8,7,90,12.86,0,87.5%,11.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,74,96%,0,0%,0,0%,False,Brandin Cooks,True,35,23
2018.0,2018-09-27,4.0,4.0,25.002,LAR,MIN,W 38-31,True,8,7,116,16.57,1,87.5%,14.50,1,10,10.00,0,0,0,,0,0,0,,0,,1,6,1,0,0,0,0,0,52,95%,0,0%,0,0%,False,Brandin Cooks,True,38,31
2018.0,2018-10-07,5.0,5.0,25.012,LAR,SEA,W 33-31,True,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,Brandin Cooks,True,33,31
2018.0,2018-10-14,6.0,6.0,25.019,LAR,DEN,W 23-20,True,6,2,53,26.50,0,33.3%,8.83,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,92%,0,0%,0,0%,True,Brandin Cooks,True,23,20
2018.0,2018-10-21,7.0,7.0,25.026,LAR,SFO,W 39-10,True,5,4,64,16.00,1,80.0%,12.80,1,7,7.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,82%,0,0%,0,0%,True,Brandin Cooks,True,39,10
2018.0,2018-10-28,8.0,8.0,25.033,LAR,GNB,W 29-27,True,8,3,74,24.67,0,37.5%,9.25,2,9,4.50,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,75,96%,0,0%,0,0%,False,Brandin Cooks,True,29,27
2018.0,2018-11-04,9.0,9.0,25.04,LAR,NOR,L 35-45,True,8,6,114,19.00,1,75.0%,14.25,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,59,98%,0,0%,0,0%,True,Brandin Cooks,False,35,45
2018.0,2018-11-11,10.0,10.0,25.047,LAR,SEA,W 36-31,True,12,10,100,10.00,0,83.3%,8.33,1,9,9.00,1,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,63,97%,0,0%,0,0%,False,Brandin Cooks,True,36,31
2018.0,2018-11-19,11.0,11.0,25.055,LAR,KAN,W 54-51,True,12,8,107,13.38,0,66.7%,8.92,1,0,0.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,70,88%,0,0%,0,0%,False,Brandin Cooks,True,54,51
2018.0,2018-12-02,12.0,13.0,25.068,LAR,DET,W 30-16,True,6,4,62,15.50,0,66.7%,10.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,96%,0,0%,1,3%,True,Brandin Cooks,True,30,16
2018.0,2018-12-09,13.0,14.0,25.075,LAR,CHI,L 6-15,True,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,62,98%,0,0%,0,0%,True,Brandin Cooks,False,6,15
2018.0,2018-12-16,14.0,15.0,25.082,LAR,PHI,L 23-30,True,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,Brandin Cooks,False,23,30
2018.0,2018-12-23,15.0,16.0,25.089,LAR,ARI,W 31-9,True,3,3,35,11.67,0,100.0%,11.67,3,27,9.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,True,Brandin Cooks,True,31,9
2018.0,2018-12-30,16.0,17.0,25.096,LAR,SFO,W 48-32,True,9,5,62,12.40,2,55.6%,6.89,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,54,74%,0,0%,2,6%,False,Brandin Cooks,True,48,32
2019.0,2019-09-08,1.0,1.0,25.348,LAR,CAR,W 30-27,True,6,2,39,19.50,0,33.3%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,70,92%,0,0%,1,3%,True,Brandin Cooks,True,30,27
2019.0,2019-09-15,2.0,2.0,25.355,LAR,NOR,W 27-9,True,4,3,74,24.67,1,75.0%,18.50,1,2,2.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,65,97%,0,0%,0,0%,False,Brandin Cooks,True,27,9
2019.0,2019-09-22,3.0,3.0,25.362,LAR,CLE,W 20-13,True,12,8,112,14.00,0,66.7%,9.33,1,8,8.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,True,Brandin Cooks,True,20,13
2019.0,2019-09-29,4.0,4.0,26.004,LAR,TAM,L 40-55,True,9,6,71,11.83,0,66.7%,7.89,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,80,90%,0,0%,0,0%,False,Brandin Cooks,False,40,55
2019.0,2019-10-03,5.0,5.0,26.008,LAR,SEA,L 29-30,True,3,1,29,29.00,0,33.3%,9.67,1,27,27.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,66%,0,0%,0,0%,True,Brandin Cooks,False,29,30
2019.0,2019-10-13,6.0,6.0,26.018,LAR,SFO,L 7-20,True,3,3,18,6.00,0,100.0%,6.00,2,14,7.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,51,98%,0,0%,0,0%,False,Brandin Cooks,False,7,20
2019.0,2019-10-20,7.0,7.0,26.025,LAR,ATL,W 37-10,True,7,4,59,14.75,0,57.1%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,78%,0,0%,0,0%,True,Brandin Cooks,True,37,10
2019.0,2019-10-27,8.0,8.0,26.032,LAR,CIN,W 24-10,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,3,5%,0,0%,0,0%,False,Brandin Cooks,True,24,10
2019.0,2019-11-10,9.0,10.0,,LAR,PIT,L 12-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Brandin Cooks,False,12,17
