Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-11-17,10.0,11.0,,LAR,CHI,W 17-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Brandin Cooks,True,17,7
2019.0,2019-11-25,11.0,12.0,26.061,LAR,BAL,L 6-45,True,4,2,32,16.00,0,50.0%,8.00,1,1,1.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,40,77%,0,0%,0,0%,False,Brandin Cooks,False,6,45
2019.0,2019-12-01,12.0,13.0,26.067,LAR,ARI,W 34-7,True,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,77%,0,0%,0,0%,True,Brandin Cooks,True,34,7
2019.0,2019-12-08,13.0,14.0,26.074,LAR,SEA,W 28-12,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,26,38%,0,0%,0,0%,False,Brandin Cooks,True,28,12
2019.0,2019-12-15,14.0,15.0,26.081,LAR,DAL,L 21-44,True,8,4,46,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,72%,0,0%,0,0%,True,Brandin Cooks,False,21,44
2019.0,2019-12-21,15.0,16.0,26.087,LAR,SFO,L 31-34,True,6,4,39,9.75,1,66.7%,6.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,41,59%,0,0%,0,0%,True,Brandin Cooks,False,31,34
2019.0,2019-12-29,16.0,17.0,26.095,LAR,ARI,W 31-24,True,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,60%,0,0%,0,0%,False,Brandin Cooks,True,31,24
2020.0,2020-09-10,1.0,1.0,26.351,HOU,KAN,L 20-34,True,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,31,53%,0,0%,0,0%,True,Brandin Cooks,False,20,34
2020.0,2020-09-20,2.0,2.0,26.361,HOU,BAL,L 16-33,True,8,5,95,19.00,0,62.5%,11.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,90%,0,0%,0,0%,False,Brandin Cooks,False,16,33
2020.0,2020-09-27,3.0,3.0,27.002,HOU,PIT,L 21-28,True,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,87%,0,0%,0,0%,True,Brandin Cooks,False,21,28
2020.0,2020-10-04,4.0,4.0,27.009,HOU,MIN,L 23-31,True,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,94%,0,0%,0,0%,False,Brandin Cooks,False,23,31
2020.0,2020-10-11,5.0,5.0,27.016,HOU,JAX,W 30-14,True,12,8,161,20.13,1,66.7%,13.42,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,48,83%,0,0%,0,0%,False,Brandin Cooks,True,30,14
2020.0,2020-10-18,6.0,6.0,27.023,HOU,TEN,L 36-42,True,9,9,68,7.56,1,100.0%,7.56,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,62,87%,0,0%,0,0%,True,Brandin Cooks,False,36,42
2020.0,2020-10-25,7.0,7.0,27.03,HOU,GNB,L 20-35,True,9,7,60,8.57,0,77.8%,6.67,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,81%,0,0%,0,0%,False,Brandin Cooks,False,20,35
2020.0,2020-11-08,8.0,9.0,27.044,HOU,JAX,W 27-25,True,9,3,83,27.67,1,33.3%,9.22,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,58,91%,0,0%,0,0%,True,Brandin Cooks,True,27,25
2020.0,2020-11-15,9.0,10.0,27.051,HOU,CLE,L 7-10,True,8,6,39,6.50,0,75.0%,4.88,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,55,96%,0,0%,0,0%,True,Brandin Cooks,False,7,10
2020.0,2020-11-22,10.0,11.0,27.058,HOU,NWE,W 27-20,True,5,4,85,21.25,0,80.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,93%,0,0%,0,0%,False,Brandin Cooks,True,27,20
2020.0,2020-11-26,11.0,12.0,27.062,HOU,DET,W 41-25,True,5,5,85,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,49,86%,0,0%,0,0%,True,Brandin Cooks,True,41,25
2020.0,2020-12-06,12.0,13.0,27.072,HOU,IND,L 20-26,True,8,5,65,13.00,0,62.5%,8.13,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,False,Brandin Cooks,False,20,26
2020.0,2020-12-13,13.0,14.0,,HOU,CHI,L 7-36,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Brandin Cooks,False,7,36
2020.0,2020-12-20,14.0,15.0,27.086,HOU,IND,L 20-27,True,7,6,59,9.83,0,85.7%,8.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,99%,0,0%,0,0%,True,Brandin Cooks,False,20,27
2020.0,2020-12-27,15.0,16.0,27.093,HOU,CIN,L 31-37,True,10,7,141,20.14,1,70.0%,14.10,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,50,96%,0,0%,0,0%,False,Brandin Cooks,False,31,37
2020.0,2021-01-03,16.0,17.0,27.1,HOU,TEN,L 38-41,True,16,11,166,15.09,2,68.8%,10.38,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,60,95%,0,0%,0,0%,False,Brandin Cooks,False,38,41
2021.0,2021-09-12,1.0,1.0,27.352,HOU,JAX,W 37-21,True,7,5,132,26.40,0,71.4%,18.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,61,78%,0,0%,0,0%,False,Brandin Cooks,True,37,21
2021.0,2021-09-19,2.0,2.0,27.359,HOU,CLE,L 21-31,True,14,9,78,8.67,1,64.3%,5.57,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,56,92%,0,0%,0,0%,True,Brandin Cooks,False,21,31
2021.0,2021-09-23,3.0,3.0,27.363,HOU,CAR,L 9-24,True,11,9,112,12.44,0,81.8%,10.18,1,5,5.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,95%,0,0%,0,0%,False,Brandin Cooks,False,9,24
2021.0,2021-10-03,4.0,4.0,28.008,HOU,BUF,L 0-40,True,7,5,47,9.40,0,71.4%,6.71,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,87%,0,0%,0,0%,True,Brandin Cooks,False,0,40
2021.0,2021-10-10,5.0,5.0,28.015,HOU,NWE,L 22-25,True,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,50,85%,0,0%,0,0%,False,Brandin Cooks,False,22,25
2021.0,2021-10-17,6.0,6.0,28.022,HOU,IND,L 3-31,True,13,9,89,9.89,0,69.2%,6.85,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,91%,0,0%,0,0%,True,Brandin Cooks,False,3,31
2021.0,2021-10-24,7.0,7.0,28.029,HOU,ARI,L 5-31,True,7,5,21,4.20,0,71.4%,3.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,True,Brandin Cooks,False,5,31
2021.0,2021-10-31,8.0,8.0,28.036,HOU,LAR,L 22-38,True,6,6,83,13.83,1,100.0%,13.83,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,54,89%,0,0%,0,0%,False,Brandin Cooks,False,22,38
2021.0,2021-11-07,9.0,9.0,28.043,HOU,MIA,L 9-17,True,14,6,56,9.33,0,42.9%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,67,97%,0,0%,0,0%,True,Brandin Cooks,False,9,17
2021.0,2021-11-21,10.0,11.0,28.057,HOU,TEN,W 22-13,True,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,53,83%,0,0%,0,0%,True,Brandin Cooks,True,22,13
2021.0,2021-11-28,11.0,12.0,28.064,HOU,NYJ,L 14-21,True,5,3,45,15.00,1,60.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,47,82%,0,0%,0,0%,False,Brandin Cooks,False,14,21
2021.0,2021-12-05,12.0,13.0,28.071,HOU,IND,L 0-31,True,6,3,38,12.67,0,50.0%,6.33,1,16,16.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,43,83%,0,0%,0,0%,False,Brandin Cooks,False,0,31
2021.0,2021-12-12,13.0,14.0,28.078,HOU,SEA,L 13-33,True,11,8,101,12.63,0,72.7%,9.18,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,66,81%,0,0%,0,0%,False,Brandin Cooks,False,13,33
2021.0,2021-12-19,14.0,15.0,28.085,HOU,JAX,W 30-16,True,10,7,102,14.57,2,70.0%,10.20,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,49,83%,0,0%,0,0%,True,Brandin Cooks,True,30,16
2021.0,2021-12-26,15.0,16.0,,HOU,LAC,W 41-29,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Brandin Cooks,True,41,29
2021.0,2022-01-02,16.0,17.0,28.099,HOU,SFO,L 7-23,True,11,7,66,9.43,1,63.6%,6.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,53,79%,0,0%,0,0%,True,Brandin Cooks,False,7,23
2021.0,2022-01-09,17.0,18.0,28.106,HOU,TEN,L 25-28,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,18,32%,0,0%,0,0%,False,Brandin Cooks,False,25,28
,119 Games,,,,,,59-60-0,False,871,573,7917,13.82,46,65.8%,9.09,48,302,6.29,2,1,12,12.00,0,13,49,3.77,0,1,48,290,4,0,0,0,0,0,,,,,,,False,Brandin Cooks,False,60,0
