Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,,MIA,NWE,L 11-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tua Tagovailoa,False,11,21
2020.0,2020-09-20,2.0,2.0,,MIA,BUF,L 28-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tua Tagovailoa,False,28,31
2020.0,2020-09-24,3.0,3.0,,MIA,JAX,W 31-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tua Tagovailoa,True,31,13
2020.0,2020-10-04,4.0,4.0,,MIA,SEA,L 23-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Tua Tagovailoa,False,23,31
2020.0,2020-10-11,5.0,5.0,,MIA,SFO,W 43-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Tua Tagovailoa,True,43,17
2020.0,2020-10-18,6.0,6.0,22.23,MIA,NYJ,W 24-0,False,2,2,100.00,9,0,0,85.4,0,0,4.50,4.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,False,Tua Tagovailoa,True,24,0
2020.0,2020-11-01,7.0,8.0,22.244,MIA,LAR,W 28-17,True,12,22,54.55,93,1,0,80.3,1,3,4.23,5.14,2,0,0.00,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,49,100%,0,0%,0,0%,False,Tua Tagovailoa,True,28,17
2020.0,2020-11-08,8.0,9.0,22.251,MIA,ARI,W 34-31,True,20,28,71.43,248,2,0,122.3,3,27,8.86,10.29,7,35,5.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,True,Tua Tagovailoa,True,34,31
2020.0,2020-11-15,9.0,10.0,22.258,MIA,LAC,W 29-21,True,15,25,60.00,169,2,0,106.9,0,0,6.76,8.36,6,-1,-0.17,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,58,100%,0,0%,0,0%,False,Tua Tagovailoa,True,29,21
2020.0,2020-11-22,10.0,11.0,22.265,MIA,DEN,L 13-20,True,11,20,55.00,83,1,0,81.9,6,33,4.15,5.15,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,68%,0,0%,0,0%,True,Tua Tagovailoa,False,13,20
