Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2005,2005-10-31,7,8,29.237,PIT,BAL,True,14,8,75,9.38,0,57.1%,5.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,20,19,Hines Ward
2005,2005-11-06,8,9,29.243,PIT,GNB,True,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,20,10,Hines Ward
2005,2005-11-13,9,10,29.250,PIT,CLE,True,12,8,124,15.50,1,66.7%,10.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,34,21,Hines Ward
2005,2005-11-20,10,11,29.257,PIT,BAL,True,11,6,81,13.50,0,54.5%,7.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,False,13,16,Hines Ward
2005,2005-11-28,11,12,29.265,PIT,IND,True,8,3,28,9.33,1,37.5%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,True,False,7,26,Hines Ward
2005,2005-12-04,12,13,29.271,PIT,CIN,True,14,9,135,15.00,2,64.3%,9.64,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,0,0,0,0,,1,1,0,0,0,0,False,False,31,38,Hines Ward
2005,2005-12-11,13,14,29.278,PIT,CHI,True,5,3,27,9.00,1,60.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,False,True,21,9,Hines Ward
2005,2005-12-18,14,15,29.285,PIT,MIN,True,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,True,True,18,3,Hines Ward
2005,2005-12-24,15,16,29.291,PIT,CLE,True,7,7,105,15.00,1,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,True,True,41,0,Hines Ward
2005,2006-01-01,16,17,29.299,PIT,DET,True,4,1,40,40.00,0,25.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,False,True,35,21,Hines Ward
