Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-25,3.0,3.0,23.336,KAN,NYJ,W 24-3,False,5,3,44,14.67,0,60.0%,8.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,81%,0,0%,0,0%,False,Chris Conley,True,24,3
2016.0,2016-10-02,4.0,4.0,23.343,KAN,PIT,L 14-43,True,7,6,70,11.67,0,85.7%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,93%,0,0%,1,3%,True,Chris Conley,False,14,43
2016.0,2016-10-16,5.0,6.0,23.357,KAN,OAK,W 26-10,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,58%,0,0%,0,0%,True,Chris Conley,True,26,10
2016.0,2016-10-23,6.0,7.0,23.364,KAN,NOR,W 27-21,True,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,58%,0,0%,1,4%,False,Chris Conley,True,27,21
2016.0,2016-10-30,7.0,8.0,24.005,KAN,IND,W 30-14,True,5,3,59,19.67,0,60.0%,11.80,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,73%,0,0%,0,0%,True,Chris Conley,True,30,14
2016.0,2016-11-06,8.0,9.0,24.012,KAN,JAX,W 19-14,True,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,88%,0,0%,2,7%,False,Chris Conley,True,19,14
2016.0,2016-11-13,9.0,10.0,24.019,KAN,CAR,W 20-17,True,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,84%,0,0%,0,0%,True,Chris Conley,True,20,17
2016.0,2016-11-20,10.0,11.0,24.026,KAN,TAM,L 17-19,True,8,4,28,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,51,96%,0,0%,1,4%,False,Chris Conley,False,17,19
2016.0,2016-11-27,11.0,12.0,24.033,KAN,DEN,W 30-27,True,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,85,100%,0,0%,0,0%,True,Chris Conley,True,30,27
2016.0,2016-12-04,12.0,13.0,24.04,KAN,ATL,W 29-28,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,86%,0,0%,0,0%,True,Chris Conley,True,29,28
2016.0,2016-12-08,13.0,14.0,24.044,KAN,OAK,W 21-13,False,3,2,70,35.00,0,66.7%,23.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,67%,0,0%,1,3%,False,Chris Conley,True,21,13
2016.0,2016-12-18,14.0,15.0,24.054,KAN,TEN,L 17-19,False,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,76%,0,0%,1,4%,False,Chris Conley,False,17,19
2016.0,2016-12-25,15.0,16.0,24.061,KAN,DEN,W 33-10,True,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,71%,0,0%,0,0%,False,Chris Conley,True,33,10
2016.0,2017-01-01,16.0,17.0,24.068,KAN,SDG,W 37-27,False,5,4,55,13.75,0,80.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,66%,0,0%,2,7%,True,Chris Conley,True,37,27
2017.0,2017-09-07,1.0,1.0,24.317,KAN,NWE,W 42-27,True,4,2,43,21.50,0,50.0%,10.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,Chris Conley,True,42,27
2017.0,2017-09-17,2.0,2.0,24.327,KAN,PHI,W 27-20,True,4,4,55,13.75,0,100.0%,13.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,87%,0,0%,1,3%,False,Chris Conley,True,27,20
2017.0,2017-09-24,3.0,3.0,24.334,KAN,LAC,W 24-10,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,43,81%,0,0%,0,0%,True,Chris Conley,True,24,10
2017.0,2017-10-02,4.0,4.0,24.342,KAN,WAS,W 29-20,True,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,93%,0,0%,0,0%,False,Chris Conley,True,29,20
2017.0,2017-10-08,5.0,5.0,24.348,KAN,HOU,W 42-34,True,3,3,46,15.33,0,100.0%,15.33,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,88%,0,0%,1,3%,True,Chris Conley,True,42,34
2017.0,2017-10-15,6.0,6.0,,KAN,PIT,L 13-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Conley,False,13,19
2017.0,2017-10-19,7.0,7.0,,KAN,OAK,L 30-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Conley,False,30,31
2017.0,2017-10-30,8.0,8.0,,KAN,DEN,W 29-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Conley,True,29,19
