Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-09-12,1,1,,GNB,@,PHI,W 27-20,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,James Starks
2010,2010-09-19,2,2,,GNB,,BUF,W 34-7,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,James Starks
2010,2010-09-27,3,3,,GNB,@,CHI,L 17-20,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,James Starks
2010,2010-10-03,4,4,,GNB,,DET,W 28-26,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,James Starks
2010,2010-10-10,5,5,,GNB,@,WAS,L 13-16,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,James Starks
2010,2010-10-17,6,6,,GNB,,MIA,L 20-23,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,James Starks
2010,2010-10-24,7,7,,GNB,,MIN,W 28-24,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,James Starks
2010,2010-10-31,8,8,,GNB,@,NYJ,W 9-0,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,True,James Starks
2010,2010-11-07,9,9,,GNB,,DAL,W 45-7,True,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,Physically Unable to Perform,False,James Starks
2010,2010-11-21,10,11,,GNB,@,MIN,W 31-3,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,James Starks
