Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-12-23,15.0,16.0,22.319,STL,TAM,W 28-13,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,335.0,47.86,0.0,0.0,0%,0.0,0%,11.0,46%,True,Johnny Hekker,True,28,13
2012.0,2012-12-30,16.0,17.0,22.326,STL,SEA,L 13-20,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,243.0,48.6,0.0,0.0,0%,0.0,0%,9.0,32%,True,Johnny Hekker,False,13,20
2013.0,2013-09-08,1.0,1.0,23.212,STL,ARI,W 27-24,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,147.0,49.0,0.0,0.0,0%,0.0,0%,8.0,28%,False,Johnny Hekker,True,27,24
2013.0,2013-09-15,2.0,2.0,23.219,STL,ATL,L 24-31,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,6.0,298.0,49.67,0.0,0.0,0%,0.0,0%,10.0,31%,True,Johnny Hekker,False,24,31
2013.0,2013-09-22,3.0,3.0,23.226,STL,DAL,L 7-31,False,0.0,1.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,238.0,47.6,0.0,0.0,0%,0.0,0%,7.0,28%,True,Johnny Hekker,False,7,31
2013.0,2013-09-26,4.0,4.0,23.23,STL,SFO,L 11-35,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,11.0,490.0,44.55,0.0,0.0,0%,0.0,0%,13.0,35%,False,Johnny Hekker,False,11,35
2013.0,2013-10-06,5.0,5.0,23.24,STL,JAX,W 34-20,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,7.0,286.0,40.86,0.0,0.0,0%,0.0,0%,13.0,37%,False,Johnny Hekker,True,34,20
2013.0,2013-10-13,6.0,6.0,23.247,STL,HOU,W 38-13,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,3.0,135.0,45.0,0.0,0.0,0%,0.0,0%,9.0,36%,True,Johnny Hekker,True,38,13
2013.0,2013-10-20,7.0,7.0,23.254,STL,CAR,L 15-30,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,159.0,39.75,0.0,0.0,0%,0.0,0%,7.0,25%,True,Johnny Hekker,False,15,30
2013.0,2013-10-28,8.0,8.0,23.262,STL,SEA,L 9-14,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,4.0,182.0,45.5,0.0,0.0,0%,0.0,0%,8.0,31%,False,Johnny Hekker,False,9,14
2013.0,2013-11-03,9.0,9.0,23.268,STL,TEN,L 21-28,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,242.0,48.4,0.0,0.0,0%,0.0,0%,9.0,33%,False,Johnny Hekker,False,21,28
2013.0,2013-11-10,10.0,10.0,23.275,STL,IND,W 38-8,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,5.0,242.0,48.4,0.0,0.0,0%,0.0,0%,11.0,42%,True,Johnny Hekker,True,38,8
2013.0,2013-11-24,11.0,12.0,23.289,STL,CHI,W 42-21,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,2.0,97.0,48.5,0.0,0.0,0%,0.0,0%,8.0,31%,False,Johnny Hekker,True,42,21
2013.0,2013-12-01,12.0,13.0,23.296,STL,SFO,L 13-23,False,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,,,0,0.0,0.0,0,0,0,5.0,244.0,48.8,0.0,0.0,0%,0.0,0%,9.0,32%,True,Johnny Hekker,False,13,23
