Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-09-12,1,1,21.052,STL,ARI,False,7,50,7.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,20,20.00,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,17,10,Steven Jackson
2004,2004-09-19,2,2,21.059,STL,ATL,False,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,3,59,19.67,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,34,Steven Jackson
2004,2004-09-26,3,3,21.066,STL,NOR,False,2,15,7.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,25,28,Steven Jackson
2004,2004-10-03,4,4,21.073,STL,SFO,False,10,46,4.60,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,24,14,Steven Jackson
2004,2004-10-10,5,5,21.080,STL,SEA,False,5,64,12.80,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,33,27,Steven Jackson
2004,2004-10-18,6,6,21.088,STL,TAM,False,13,48,3.69,0,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,28,21,Steven Jackson
2004,2004-10-24,7,7,21.094,STL,MIA,False,6,27,4.50,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,31,Steven Jackson
2004,2004-11-07,8,9,21.108,STL,NWE,False,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,22,40,Steven Jackson
2004,2004-11-14,9,10,21.115,STL,SEA,True,10,47,4.70,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,23,12,Steven Jackson
2004,2004-11-21,10,11,21.122,STL,BUF,False,7,29,4.14,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,37,Steven Jackson
2004,2004-11-29,11,12,21.130,STL,GNB,True,8,40,5.00,0,3,2,35,17.50,0,66.7%,11.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,45,Steven Jackson
2004,2004-12-05,12,13,21.136,STL,SFO,True,26,119,4.58,0,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,16,6,Steven Jackson
2004,2004-12-12,13,14,,STL,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,20,Steven Jackson
2004,2004-12-19,14,15,,STL,ARI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,7,31,Steven Jackson
2004,2004-12-27,15,16,21.158,STL,PHI,False,24,148,6.17,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,20,7,Steven Jackson
2004,2005-01-02,16,17,21.164,STL,NYJ,False,10,29,2.90,1,4,4,51,12.75,0,100.0%,12.75,0,0,,0,0,0,,,,,,0,0,,0,1,1,8,0,,0,0,0,0,,,,,,,False,True,32,29,Steven Jackson
2005,2005-09-11,1,1,22.051,STL,SFO,True,19,60,3.16,0,4,3,13,4.33,0,75.0%,3.25,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,25,28,Steven Jackson
2005,2005-09-18,2,2,22.058,STL,ARI,True,18,93,5.17,1,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,True,17,12,Steven Jackson
2005,2005-09-25,3,3,22.065,STL,TEN,True,12,48,4.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,31,27,Steven Jackson
2005,2005-10-02,4,4,22.072,STL,NYG,True,10,17,1.70,1,8,5,42,8.40,1,62.5%,5.25,0,0,,0,0,0,,,,,,0,0,,0,,2,12,1,1,0,0,-7,0,,,,,,,True,False,24,44,Steven Jackson
2005,2005-10-09,5,5,22.079,STL,SEA,True,17,77,4.53,1,7,6,62,10.33,0,85.7%,8.86,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,31,37,Steven Jackson
2005,2005-10-17,6,6,22.087,STL,IND,True,17,88,5.18,1,6,5,39,7.80,0,83.3%,6.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,False,28,45,Steven Jackson
2005,2005-10-23,7,7,22.093,STL,NOR,True,20,97,4.85,2,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,True,28,17,Steven Jackson
2005,2005-10-30,8,8,22.100,STL,JAX,True,25,179,7.16,0,3,2,21,10.50,1,66.7%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,24,21,Steven Jackson
2005,2005-11-13,9,10,22.114,STL,SEA,True,17,70,4.12,0,6,5,45,9.00,0,83.3%,7.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,16,31,Steven Jackson
2005,2005-11-20,10,11,22.121,STL,ARI,True,12,6,0.50,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,False,28,38,Steven Jackson
2005,2005-11-27,11,12,22.128,STL,HOU,True,25,110,4.40,1,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,1,0,0,,,,,,,True,True,33,27,Steven Jackson
2005,2005-12-04,12,13,22.135,STL,WAS,True,11,24,2.18,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,9,24,Steven Jackson
2005,2005-12-11,13,14,22.142,STL,MIN,True,19,67,3.53,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,27,Steven Jackson
2005,2005-12-18,14,15,22.149,STL,PHI,True,16,82,5.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,16,17,Steven Jackson
2005,2005-12-24,15,16,22.155,STL,SFO,True,16,28,1.75,1,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,20,24,Steven Jackson
2005,2006-01-01,16,17,,STL,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,10,Steven Jackson
2006,2006-09-10,1,1,23.050,STL,DEN,True,22,121,5.50,0,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,18,10,Steven Jackson
2006,2006-09-17,2,2,23.057,STL,SFO,True,22,103,4.68,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,13,20,Steven Jackson
2006,2006-09-24,3,3,23.064,STL,ARI,True,24,62,2.58,0,3,3,59,19.67,0,100.0%,19.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,1,0,0,,,,,,,True,True,16,14,Steven Jackson
2006,2006-10-01,4,4,23.071,STL,DET,True,22,81,3.68,1,7,6,65,10.83,0,85.7%,9.29,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,41,34,Steven Jackson
2006,2006-10-08,5,5,23.078,STL,GNB,True,23,98,4.26,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Steven Jackson
2006,2006-10-15,6,6,23.085,STL,SEA,True,20,56,2.80,1,8,7,40,5.71,0,87.5%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,False,28,30,Steven Jackson
2006,2006-10-29,7,8,23.099,STL,SDG,True,18,84,4.67,1,5,3,55,18.33,0,60.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,24,38,Steven Jackson
2006,2006-11-05,8,9,23.106,STL,KAN,True,19,86,4.53,1,14,13,133,10.23,0,92.9%,9.50,0,0,,0,0,0,,,,,,0,0,,0,,1,6,2,1,0,0,0,0,,,,,,,False,False,17,31,Steven Jackson
2006,2006-11-12,9,10,23.113,STL,SEA,True,18,93,5.17,1,8,6,40,6.67,0,75.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,False,22,24,Steven Jackson
2006,2006-11-19,10,11,23.120,STL,CAR,True,7,27,3.86,0,8,7,30,4.29,0,87.5%,3.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,0,15,Steven Jackson
2006,2006-11-26,11,12,23.127,STL,SFO,True,23,121,5.26,1,12,9,71,7.89,0,75.0%,5.92,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,True,20,17,Steven Jackson
2006,2006-12-03,12,13,23.134,STL,ARI,True,21,96,4.57,0,11,9,69,7.67,0,81.8%,6.27,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,False,False,20,34,Steven Jackson
2006,2006-12-11,13,14,23.142,STL,CHI,True,18,81,4.50,1,13,10,58,5.80,1,76.9%,4.46,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,False,27,42,Steven Jackson
2006,2006-12-17,14,15,23.148,STL,OAK,True,31,127,4.10,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,2,12,0,,0,1,0,0,,,,,,,True,True,20,0,Steven Jackson
2006,2006-12-24,15,16,23.155,STL,WAS,True,33,150,4.55,1,8,6,102,17.00,1,75.0%,12.75,0,0,,0,0,0,,,,,,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,False,True,37,31,Steven Jackson
2006,2006-12-31,16,17,23.162,STL,MIN,True,25,142,5.68,3,2,2,24,12.00,1,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,,4,24,0,,0,0,0,0,,,,,,,True,True,41,21,Steven Jackson
2007,2007-09-09,1,1,24.049,STL,CAR,True,18,58,3.22,0,7,1,3,3.00,0,14.3%,0.43,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,2,2,0,0,0,0,,,,,,,False,False,13,27,Steven Jackson
2007,2007-09-16,2,2,24.056,STL,SFO,True,21,60,2.86,0,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,16,17,Steven Jackson
2007,2007-09-23,3,3,24.063,STL,TAM,True,30,115,3.83,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,1,0,0,0,0,0,,,,,,,True,False,3,24,Steven Jackson
2007,2007-09-30,4,4,,STL,DAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,7,35,Steven Jackson
2007,2007-10-07,5,5,,STL,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,31,34,Steven Jackson
2007,2007-10-14,6,6,,STL,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,3,22,Steven Jackson
