Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,21.014,JAX,PHI,L 17-34,False,3,1,0,0.00,0,33.3%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,0,0%,True,Allen Robinson,False,17,34
2014.0,2014-09-14,2.0,2.0,21.021,JAX,WAS,L 10-41,False,6,4,75,18.75,0,66.7%,12.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,60%,0,0%,0,0%,True,Allen Robinson,False,10,41
2014.0,2014-09-21,3.0,3.0,21.028,JAX,IND,L 17-44,True,10,7,79,11.29,0,70.0%,7.90,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,False,Allen Robinson,False,17,44
2014.0,2014-09-28,4.0,4.0,21.035,JAX,SDG,L 14-33,True,7,5,38,7.60,0,71.4%,5.43,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,80%,0,0%,0,0%,True,Allen Robinson,False,14,33
2014.0,2014-10-05,5.0,5.0,21.042,JAX,PIT,L 9-17,True,11,5,51,10.20,0,45.5%,4.64,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,0,0%,False,Allen Robinson,False,9,17
2014.0,2014-10-12,6.0,6.0,21.049,JAX,TEN,L 14-16,True,9,8,68,8.50,0,88.9%,7.56,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,91%,0,0%,1,4%,True,Allen Robinson,False,14,16
2014.0,2014-10-19,7.0,7.0,21.056,JAX,CLE,W 24-6,True,7,4,60,15.00,1,57.1%,8.57,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,90%,0,0%,0,0%,False,Allen Robinson,True,24,6
2014.0,2014-10-26,8.0,8.0,21.063,JAX,MIA,L 13-27,True,10,5,82,16.40,1,50.0%,8.20,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,90%,0,0%,1,3%,False,Allen Robinson,False,13,27
2014.0,2014-11-02,9.0,9.0,21.07,JAX,CIN,L 23-33,True,8,4,35,8.75,0,50.0%,4.38,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,87%,0,0%,0,0%,True,Allen Robinson,False,23,33
2014.0,2014-11-09,10.0,10.0,21.077,JAX,DAL,L 17-31,True,10,5,60,12.00,0,50.0%,6.00,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,65,92%,0,0%,1,3%,False,Allen Robinson,False,17,31
2014.0,2014-11-23,11.0,12.0,,JAX,IND,L 3-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Allen Robinson,False,3,23
2014.0,2014-11-30,12.0,13.0,,JAX,NYG,W 25-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Allen Robinson,True,25,24
2014.0,2014-12-07,13.0,14.0,,JAX,HOU,L 13-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Allen Robinson,False,13,27
2014.0,2014-12-14,14.0,15.0,,JAX,BAL,L 12-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Allen Robinson,False,12,20
2014.0,2014-12-18,15.0,16.0,,JAX,TEN,W 21-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Allen Robinson,True,21,13
2014.0,2014-12-28,16.0,17.0,,JAX,HOU,L 17-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Allen Robinson,False,17,23
2015.0,2015-09-13,1.0,1.0,22.02,JAX,CAR,L 9-20,True,6,1,27,27.00,0,16.7%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,90%,0,0%,0,0%,False,Allen Robinson,False,9,20
2015.0,2015-09-20,2.0,2.0,22.027,JAX,MIA,W 23-20,True,12,6,155,25.83,2,50.0%,12.92,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,84%,0,0%,0,0%,False,Allen Robinson,True,23,20
