Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-12-28,16.0,17.0,22.211,NYJ,MIA,W 37-24,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,3,5%,0,0%,18,51%,True,Quincy Enunwa,True,37,24
2015.0,2015-09-13,1.0,1.0,23.105,NYJ,CLE,W 31-10,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,43%,0,0%,11,48%,False,Quincy Enunwa,True,31,10
2015.0,2015-09-21,2.0,2.0,23.113,NYJ,IND,W 20-7,False,3,1,27,27.00,0,33.3%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,42%,0,0%,9,41%,True,Quincy Enunwa,True,20,7
2015.0,2015-09-27,3.0,3.0,23.119,NYJ,PHI,L 17-24,False,10,5,50,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,62%,0,0%,18,55%,False,Quincy Enunwa,False,17,24
2015.0,2015-10-04,4.0,4.0,23.126,NYJ,MIA,W 27-14,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,23,30%,0,0%,19,66%,True,Quincy Enunwa,True,27,14
2015.0,2015-10-18,5.0,6.0,23.14,NYJ,WAS,W 34-20,True,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,73%,0,0%,18,56%,False,Quincy Enunwa,True,34,20
2015.0,2015-10-25,6.0,7.0,,NYJ,NWE,L 23-30,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Quincy Enunwa,False,23,30
2015.0,2015-11-01,7.0,8.0,,NYJ,OAK,L 20-34,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,Quincy Enunwa,False,20,34
2015.0,2015-11-08,8.0,9.0,,NYJ,JAX,W 28-23,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Quincy Enunwa,True,28,23
2015.0,2015-11-12,9.0,10.0,,NYJ,BUF,L 17-22,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,Quincy Enunwa,False,17,22
2015.0,2015-11-22,10.0,11.0,23.175,NYJ,HOU,L 17-24,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,84%,0,0%,16,50%,True,Quincy Enunwa,False,17,24
2015.0,2015-11-29,11.0,12.0,23.182,NYJ,MIA,W 38-20,True,6,2,29,14.50,0,33.3%,4.83,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,53%,0,0%,15,45%,False,Quincy Enunwa,True,38,20
2015.0,2015-12-06,12.0,13.0,23.189,NYJ,NYG,W 23-20,True,4,2,37,18.50,0,50.0%,9.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,68%,0,0%,17,50%,True,Quincy Enunwa,True,23,20
2015.0,2015-12-13,13.0,14.0,23.196,NYJ,TEN,W 30-8,False,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,0.0,2,0,2,0,0,0,0,0,0,0,0,48,66%,0,0%,8,32%,False,Quincy Enunwa,True,30,8
2015.0,2015-12-19,14.0,15.0,23.202,NYJ,DAL,W 19-16,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,68%,0,0%,10,34%,True,Quincy Enunwa,True,19,16
2015.0,2015-12-27,15.0,16.0,23.21,NYJ,NWE,W 26-20,True,4,2,69,34.50,0,50.0%,17.25,0,0,,0,0,0,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,58,82%,0,0%,15,54%,False,Quincy Enunwa,True,26,20
2015.0,2016-01-03,16.0,17.0,23.217,NYJ,BUF,L 17-22,False,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,77%,0,0%,11,39%,True,Quincy Enunwa,False,17,22
2016.0,2016-09-11,1.0,1.0,24.103,NYJ,CIN,L 22-23,True,8,7,54,7.71,1,87.5%,6.75,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,63,89%,0,0%,3,10%,False,Quincy Enunwa,False,22,23
2016.0,2016-09-15,2.0,2.0,24.107,NYJ,BUF,W 37-31,False,6,6,92,15.33,0,100.0%,15.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,62%,0,0%,2,6%,True,Quincy Enunwa,True,37,31
2016.0,2016-09-25,3.0,3.0,24.117,NYJ,KAN,L 3-24,True,11,4,37,9.25,0,36.4%,3.36,0,0,,0,1,54,54.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,82%,0,0%,3,17%,True,Quincy Enunwa,False,3,24
2016.0,2016-10-02,4.0,4.0,24.124,NYJ,SEA,L 17-27,True,7,6,60,10.00,0,85.7%,8.57,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,94%,0,0%,0,0%,False,Quincy Enunwa,False,17,27
2016.0,2016-10-09,5.0,5.0,24.131,NYJ,PIT,L 13-31,True,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,83%,0,0%,0,0%,True,Quincy Enunwa,False,13,31
2016.0,2016-10-17,6.0,6.0,24.139,NYJ,ARI,L 3-28,True,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,93%,0,0%,0,0%,True,Quincy Enunwa,False,3,28
2016.0,2016-10-23,7.0,7.0,24.145,NYJ,BAL,W 24-16,False,4,2,73,36.50,1,50.0%,18.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,44,65%,0,0%,0,0%,False,Quincy Enunwa,True,24,16
2016.0,2016-10-30,8.0,8.0,24.152,NYJ,CLE,W 31-28,False,11,4,93,23.25,1,36.4%,8.45,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,81%,0,0%,1,3%,True,Quincy Enunwa,True,31,28
2016.0,2016-11-06,9.0,9.0,24.159,NYJ,MIA,L 23-27,True,4,1,25,25.00,0,25.0%,6.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,76%,0,0%,0,0%,True,Quincy Enunwa,False,23,27
2016.0,2016-11-13,10.0,10.0,24.166,NYJ,LAR,L 6-9,True,6,1,7,7.00,0,16.7%,1.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Quincy Enunwa,False,6,9
2016.0,2016-11-27,11.0,12.0,24.18,NYJ,NWE,L 17-22,True,5,5,109,21.80,1,100.0%,21.80,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,81%,0,0%,1,4%,False,Quincy Enunwa,False,17,22
2016.0,2016-12-05,12.0,13.0,24.188,NYJ,IND,L 10-41,True,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,92%,0,0%,0,0%,False,Quincy Enunwa,False,10,41
2016.0,2016-12-11,13.0,14.0,24.194,NYJ,SFO,W 23-17,True,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,89%,0,0%,0,0%,True,Quincy Enunwa,True,23,17
2016.0,2016-12-17,14.0,15.0,24.2,NYJ,MIA,L 13-34,True,9,5,64,12.80,0,55.6%,7.11,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,88%,0,0%,0,0%,False,Quincy Enunwa,False,13,34
2016.0,2016-12-24,15.0,16.0,24.207,NYJ,NWE,L 3-41,True,5,1,30,30.00,0,20.0%,6.00,1,12,12.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,96%,0,0%,1,4%,True,Quincy Enunwa,False,3,41
2016.0,2017-01-01,16.0,17.0,24.215,NYJ,BUF,W 30-10,True,8,5,81,16.20,0,62.5%,10.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,73%,0,0%,1,4%,False,Quincy Enunwa,True,30,10
2018.0,2018-09-10,1.0,1.0,26.102,NYJ,DET,W 48-17,True,9,6,63,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,67%,0,0%,0,0%,True,Quincy Enunwa,True,48,17
2018.0,2018-09-16,2.0,2.0,26.108,NYJ,MIA,L 12-20,True,11,7,92,13.14,0,63.6%,8.36,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,1,0,0,1,0,0,52,80%,0,0%,0,0%,False,Quincy Enunwa,False,12,20
2018.0,2018-09-20,3.0,3.0,26.112,NYJ,CLE,L 17-21,True,8,4,57,14.25,0,50.0%,7.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,84%,0,0%,0,0%,True,Quincy Enunwa,False,17,21
2018.0,2018-09-30,4.0,4.0,26.122,NYJ,JAX,L 12-31,True,8,4,66,16.50,0,50.0%,8.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,95%,0,0%,0,0%,True,Quincy Enunwa,False,12,31
2018.0,2018-10-07,5.0,5.0,26.129,NYJ,DEN,W 34-16,True,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,77%,0,0%,1,3%,False,Quincy Enunwa,True,34,16
2018.0,2018-10-14,6.0,6.0,26.136,NYJ,IND,W 42-34,True,1,1,9,9.00,0,100.0%,9.00,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,15,21%,0,0%,0,0%,False,Quincy Enunwa,True,42,34
2018.0,2018-10-21,7.0,7.0,,NYJ,MIN,L 17-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Quincy Enunwa,False,17,37
2018.0,2018-10-28,8.0,8.0,,NYJ,CHI,L 10-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Quincy Enunwa,False,10,24
2018.0,2018-11-04,9.0,9.0,26.157,NYJ,MIA,L 6-13,False,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Quincy Enunwa,False,6,13
2018.0,2018-11-11,10.0,10.0,26.164,NYJ,BUF,L 10-41,True,8,4,18,4.50,0,50.0%,2.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,96%,0,0%,0,0%,False,Quincy Enunwa,False,10,41
2018.0,2018-11-25,11.0,12.0,26.178,NYJ,NWE,L 13-27,True,4,4,73,18.25,0,100.0%,18.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,94%,0,0%,0,0%,False,Quincy Enunwa,False,13,27
2018.0,2018-12-02,12.0,13.0,26.185,NYJ,TEN,L 22-26,True,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,0,0%,True,Quincy Enunwa,False,22,26
2018.0,2018-12-09,13.0,14.0,26.192,NYJ,BUF,W 27-23,True,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,44,81%,0,0%,0,0%,True,Quincy Enunwa,True,27,23
2018.0,2018-12-15,14.0,15.0,,NYJ,HOU,L 22-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Quincy Enunwa,False,22,29
2018.0,2018-12-23,15.0,16.0,,NYJ,GNB,L 38-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Quincy Enunwa,False,38,44
2018.0,2018-12-30,16.0,17.0,,NYJ,NWE,L 3-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Quincy Enunwa,False,3,38
2019.0,2019-09-08,1.0,1.0,27.1,NYJ,BUF,L 16-17,True,3,1,-4,-4.00,0,33.3%,-1.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,65,92%,0,0%,0,0%,False,Quincy Enunwa,False,16,17
2019.0,2019-09-16,2.0,2.0,,NYJ,CLE,L 3-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Quincy Enunwa,False,3,23
2019.0,2019-09-22,3.0,3.0,,NYJ,NWE,L 14-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Quincy Enunwa,False,14,30
2019.0,2019-10-06,4.0,5.0,,NYJ,PHI,L 6-31,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Quincy Enunwa,False,6,31
2019.0,2019-10-13,5.0,6.0,,NYJ,DAL,W 24-22,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Quincy Enunwa,True,24,22
