Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2020,2020-09-13,1,1,21.238,IND,@,JAX,L 20-27,False,9,22,2.44,0,6,6,67,11.17,0,100.0%,11.17,0,0,0,0,0,0,0,0,26,35%,0,0%,0,0%,True,Jonathan Taylor
2020,2020-09-20,2,2,21.245,IND,,MIN,W 28-11,True,26,101,3.88,1,2,2,9,4.50,0,100.0%,4.50,1,6,0,0,0,0,0,0,49,67%,0,0%,0,0%,False,Jonathan Taylor
2020,2020-09-27,3,3,21.252,IND,,NYJ,W 36-7,True,13,59,4.54,1,1,1,3,3.00,0,100.0%,3.00,1,6,0,0,0,0,0,0,24,41%,0,0%,0,0%,False,Jonathan Taylor
2020,2020-10-04,4,4,21.259,IND,@,CHI,W 19-11,True,17,68,4.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,0,0,0,0,0,0,33,46%,0,0%,0,0%,True,Jonathan Taylor
2020,2020-10-11,5,5,21.266,IND,@,CLE,L 23-32,True,12,57,4.75,1,3,2,17,8.50,0,66.7%,5.67,1,6,0,0,0,0,0,0,31,55%,0,0%,0,0%,True,Jonathan Taylor
2020,2020-10-18,6,6,21.273,IND,,CIN,W 31-27,True,12,60,5.00,0,4,4,55,13.75,0,100.0%,13.75,0,0,0,0,0,0,0,0,37,59%,0,0%,0,0%,False,Jonathan Taylor
2020,2020-11-01,7,8,21.287,IND,@,DET,W 41-21,True,11,22,2.00,0,2,2,9,4.50,0,100.0%,4.50,0,0,0,0,0,0,0,0,26,34%,0,0%,0,0%,True,Jonathan Taylor
2020,2020-11-08,8,9,21.294,IND,,BAL,L 10-24,True,6,27,4.50,1,2,2,7,3.50,0,100.0%,3.50,1,6,1,1,0,0,0,0,22,32%,0,0%,0,0%,False,Jonathan Taylor
2020,2020-11-12,9,10,21.298,IND,@,TEN,W 34-17,True,7,12,1.71,0,2,2,25,12.50,0,100.0%,12.50,0,0,0,0,0,0,0,0,17,24%,0,0%,0,0%,True,Jonathan Taylor
2020,2020-11-22,10,11,21.308,IND,,GNB,W 34-31,False,22,90,4.09,0,4,4,24,6.00,0,100.0%,6.00,0,0,0,0,0,0,0,0,46,55%,0,0%,0,0%,False,Jonathan Taylor
2020,2020-11-29,11,12,,IND,,TEN,L 26-45,True,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,False,Jonathan Taylor
