Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2018,2018-10-14,6,6,23.184,BAL,@,TEN,W 21-0,False,10,42,4.20,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,14,18%,0,0%,14,64%,True,Gus Edwards
2018,2018-10-21,7,7,23.191,BAL,,NOR,L 23-24,False,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,7,10%,0,0%,11,46%,False,Gus Edwards
2018,2018-10-28,8,8,23.198,BAL,@,CAR,L 21-36,False,2,12,6.00,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0,0,0,0,0,0,8,12%,0,0%,14,50%,True,Gus Edwards
2018,2018-11-04,9,9,23.205,BAL,,PIT,L 16-23,False,1,10,10.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,2,3%,0,0%,13,52%,False,Gus Edwards
2018,2018-11-18,10,11,23.219,BAL,,CIN,W 24-21,False,17,115,6.76,1,0,0,0,,0,0.0%,,1,1,8,0,0,0,0,0,0,49,62%,0,0%,13,48%,False,Gus Edwards
2018,2018-11-25,11,12,23.226,BAL,,OAK,W 34-17,True,23,118,5.13,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,43,61%,0,0%,0,0%,False,Gus Edwards
2018,2018-12-02,12,13,23.233,BAL,@,ATL,W 26-16,True,21,82,3.90,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,40,49%,0,0%,0,0%,True,Gus Edwards
2018,2018-12-09,13,14,23.240,BAL,@,KAN,L 24-27,True,16,67,4.19,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,31,44%,0,0%,0,0%,True,Gus Edwards
2018,2018-12-16,14,15,23.247,BAL,,TAM,W 20-12,True,19,104,5.47,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,33,43%,0,0%,0,0%,False,Gus Edwards
2018,2018-12-22,15,16,23.253,BAL,@,LAC,W 22-10,True,14,92,6.57,0,1,1,13,13.00,0,100.0%,13.00,,0,0,0,0,0,0,0,0,23,37%,0,0%,0,0%,True,Gus Edwards
2018,2018-12-30,16,17,23.261,BAL,,CLE,W 26-24,True,12,76,6.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,36,47%,0,0%,0,0%,False,Gus Edwards
2019,2019-09-08,1,1,24.148,BAL,@,MIA,W 59-10,False,17,56,3.29,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,29,38%,0,0%,2,6%,True,Gus Edwards
2019,2019-09-15,2,2,24.155,BAL,,ARI,W 23-17,False,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,16,21%,0,0%,4,14%,False,Gus Edwards
2019,2019-09-22,3,3,24.162,BAL,@,KAN,L 28-33,False,7,53,7.57,0,2,2,15,7.50,0,100.0%,7.50,,0,0,0,0,0,0,0,0,22,27%,0,0%,4,15%,True,Gus Edwards
2019,2019-09-29,4,4,24.169,BAL,,CLE,L 25-40,False,6,28,4.67,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0,0,0,0,0,0,21,30%,0,0%,10,36%,False,Gus Edwards
2019,2019-10-06,5,5,24.176,BAL,@,PIT,W 26-23,False,5,17,3.40,0,1,1,6,6.00,0,100.0%,6.00,,0,0,0,0,0,0,0,0,20,25%,0,0%,6,20%,True,Gus Edwards
2019,2019-10-13,6,6,24.183,BAL,,CIN,W 23-17,False,6,34,5.67,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,33,42%,0,0%,6,24%,False,Gus Edwards
2019,2019-10-20,7,7,24.190,BAL,@,SEA,W 30-16,False,8,35,4.38,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,21,36%,0,0%,7,24%,True,Gus Edwards
2019,2019-11-03,8,9,24.204,BAL,,NWE,W 37-20,False,7,27,3.86,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,28,42%,0,0%,7,23%,False,Gus Edwards
2019,2019-11-10,9,10,24.211,BAL,@,CIN,W 49-13,False,4,17,4.25,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,11,24%,0,0%,9,38%,True,Gus Edwards
2019,2019-11-17,10,11,24.218,BAL,,HOU,W 41-7,False,8,112,14.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,25,37%,0,0%,9,38%,False,Gus Edwards
2019,2019-11-25,11,12,24.226,BAL,@,LAR,W 45-6,False,14,55,3.93,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,32,42%,0,0%,3,11%,True,Gus Edwards
2019,2019-12-01,12,13,24.232,BAL,,SFO,W 20-17,False,6,15,2.50,0,1,1,7,7.00,0,100.0%,7.00,,0,0,0,0,0,0,0,0,25,38%,0,0%,2,10%,False,Gus Edwards
2019,2019-12-08,13,14,24.239,BAL,@,BUF,W 24-17,False,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,20,33%,0,0%,14,45%,True,Gus Edwards
2019,2019-12-12,14,15,24.243,BAL,,NYJ,W 42-21,False,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,18,29%,0,0%,3,10%,False,Gus Edwards
2019,2019-12-22,15,16,24.253,BAL,@,CLE,W 31-15,False,12,66,5.50,0,1,1,7,7.00,0,100.0%,7.00,,0,0,1,0,0,1,0,0,30,41%,0,0%,0,0%,True,Gus Edwards
2019,2019-12-29,16,17,24.260,BAL,,PIT,W 28-10,True,21,130,6.19,0,1,1,2,2.00,0,100.0%,2.00,,0,0,1,1,0,0,0,0,46,68%,0,0%,0,0%,False,Gus Edwards
