Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2013,2013-09-08,1,1,23.177,STL,,ARI,W 27-24,False,7,6,41,6.83,0,85.7%,5.86,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,61%,0,0%,4,14%,False,Tavon Austin
2013,2013-09-15,2,2,23.184,STL,@,ATL,L 24-31,True,12,6,47,7.83,2,50.0%,3.92,2,8,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,6,1.50,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,58,75%,0,0%,7,22%,True,Tavon Austin
2013,2013-09-22,3,3,23.191,STL,@,DAL,L 7-31,True,7,6,30,5.00,0,85.7%,4.29,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,71%,0,0%,4,16%,True,Tavon Austin
2013,2013-09-26,4,4,23.195,STL,,SFO,L 11-35,False,8,2,6,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,19,3.17,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,40,60%,0,0%,8,22%,False,Tavon Austin
2013,2013-10-06,5,5,23.205,STL,,JAX,W 34-20,False,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,15,3.75,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,23,32%,0,0%,6,17%,False,Tavon Austin
2013,2013-10-13,6,6,23.212,STL,@,HOU,W 38-13,False,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,7%,0,0%,3,12%,True,Tavon Austin
2013,2013-10-20,7,7,23.219,STL,@,CAR,L 15-30,False,5,5,39,7.80,0,100.0%,7.80,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,3,26,8.67,0,0,0,0.0,0,0,0,,,2,1,0,0,0,0,32,52%,0,0%,11,39%,True,Tavon Austin
2013,2013-10-28,8,8,23.227,STL,,SEA,L 9-14,False,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,3,79,26.33,0,3,7,2.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,28%,0,0%,12,46%,False,Tavon Austin
2013,2013-11-03,9,9,23.233,STL,,TEN,L 21-28,False,2,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,3,33,11.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,41%,0,0%,10,37%,False,Tavon Austin
2013,2013-11-10,10,10,23.240,STL,@,IND,W 38-8,False,3,2,138,69.00,2,66.7%,46.00,1,4,4.00,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,4,145,36.25,1,3,18,0.0,0,0,0,0,0,1,0,0,1,0,0,15,27%,0,0%,8,31%,True,Tavon Austin
2013,2013-11-24,11,12,23.254,STL,,CHI,W 42-21,False,5,2,39,19.50,0,40.0%,7.80,1,65,65.00,1,0,0,,0,0,0,,0,0,,,1,24,24.00,0,1,1,1.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,54%,0,0%,7,27%,False,Tavon Austin
2013,2013-12-01,12,13,23.261,STL,@,SFO,L 13-23,True,7,4,25,6.25,0,57.1%,3.57,1,10,10.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,4,67,16.75,0,1,10,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,71%,0,0%,10,36%,True,Tavon Austin
2013,2013-12-08,13,14,23.268,STL,@,ARI,L 10-30,False,3,1,9,9.00,0,33.3%,3.00,1,56,56.00,0,0,0,,0,0,0,,0,0,,,4,95,23.75,0,1,1,1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,59%,0,0%,8,31%,True,Tavon Austin
2013,2013-12-15,14,15,,STL,,NOR,W 27-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tavon Austin
2013,2013-12-22,15,16,,STL,,TAM,W 23-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tavon Austin
2013,2013-12-29,16,17,,STL,@,SEA,L 9-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Tavon Austin
2014,2014-09-07,1,1,24.176,STL,,MIN,L 6-34,False,3,3,34,11.33,0,100.0%,11.33,3,5,1.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,24,4.80,0,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,29,43%,0,0%,6,19%,False,Tavon Austin
2014,2014-09-14,2,2,24.183,STL,@,TAM,W 19-17,False,1,0,0,,0,0.0%,0.00,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,16%,0,0%,1,4%,True,Tavon Austin
2014,2014-09-21,3,3,,STL,,DAL,L 31-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Tavon Austin
2014,2014-10-05,4,5,24.204,STL,@,PHI,L 28-34,False,2,2,33,16.50,0,100.0%,16.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,31%,0,0%,4,13%,True,Tavon Austin
